,y,prediction,leaf
12057,1,1,27
33060,1,1,25
6583,1,1,27
32947,1,1,27
41613,1,2,22
46916,1,1,27
100,2,2,22
23711,1,1,26
9230,1,1,27
8309,1,1,27
21977,1,1,23
3454,1,1,25
39417,1,1,27
12623,1,1,27
3499,1,2,22
6766,1,1,19
41299,2,2,22
6851,1,1,27
43712,1,1,23
16211,1,1,24
42196,1,2,21
27650,1,2,21
34495,1,1,25
42745,1,1,24
32176,1,1,19
35025,1,1,19
9967,1,1,27
25763,1,1,27
29241,2,2,22
23806,1,1,16
25797,1,1,23
6721,1,1,23
42712,1,1,27
14706,1,1,27
2567,1,1,24
41957,1,2,21
19003,1,1,27
38437,1,1,19
3712,1,1,27
34234,2,1,19
32704,2,2,17
10174,1,1,27
4784,2,2,17
37914,1,1,27
40334,1,1,27
16258,1,1,27
38366,1,1,25
36920,1,1,19
38290,1,1,27
11639,2,1,19
35544,1,1,23
25043,1,1,19
90,1,1,19
33640,1,1,27
25844,1,1,18
11138,1,2,20
30124,1,1,27
41142,1,1,27
46575,2,1,27
40208,1,1,27
27441,1,2,21
39071,1,1,27
12548,1,1,18
14655,2,1,18
41888,1,1,18
22994,1,1,23
15466,2,2,17
3370,1,2,22
18975,1,1,19
4751,1,2,21
16974,2,1,18
527,1,1,27
42739,1,1,27
27752,1,1,25
11699,1,1,27
1877,1,2,21
40346,2,1,27
39953,1,1,18
36674,1,1,27
28462,1,2,21
5297,1,1,23
34199,1,1,27
12420,1,1,27
26000,1,1,27
29300,1,1,24
41149,1,1,18
1305,2,2,21
34966,1,1,18
7845,1,1,27
23927,1,1,27
21420,1,1,27
18453,1,2,20
43577,1,1,27
43581,1,1,19
29107,1,1,27
32210,1,2,21
16472,1,1,27
5726,1,1,27
7444,1,1,27
22737,2,1,18
38768,1,1,25
17036,1,1,18
3023,1,1,27
46594,1,1,27
47412,1,1,23
25249,2,2,17
21585,1,1,24
14490,1,1,27
2189,1,1,27
7125,1,1,19
16167,2,1,19
25179,1,1,27
25474,1,1,27
37055,1,1,18
6744,1,1,18
22567,1,1,27
612,1,1,18
44793,2,1,19
12618,1,1,27
34545,1,1,23
1424,1,1,19
14350,1,1,18
35057,1,2,21
804,1,1,27
29069,1,1,27
4085,1,1,27
11472,2,2,21
34825,1,1,27
5970,2,1,25
47997,2,1,18
9286,1,1,27
41712,1,1,19
5352,1,1,27
2923,1,1,16
30040,1,1,24
820,1,1,27
43476,1,1,23
6088,1,1,27
33249,1,1,27
36183,1,1,24
10711,1,1,27
10213,1,1,27
46980,1,1,27
7681,2,2,21
43209,1,1,18
28801,2,2,21
33671,2,2,21
1852,1,1,27
11495,1,1,27
1432,2,1,27
6029,1,1,25
40696,1,1,18
44767,1,1,27
46889,1,1,27
7625,1,1,27
29223,1,1,27
46672,2,1,18
41183,1,1,27
8337,1,1,19
46259,1,1,18
46427,1,1,23
11885,1,1,27
44687,1,1,24
18400,1,1,27
29498,1,1,27
2182,2,1,25
21244,2,2,21
20691,1,1,27
3498,1,1,18
43043,1,1,19
8767,1,1,16
13392,1,1,23
14278,1,1,27
40923,1,1,25
188,1,2,22
26833,1,1,27
7059,1,1,27
47450,1,1,19
7703,1,1,27
47344,1,2,21
15109,1,1,23
14616,1,1,27
32568,2,2,22
36771,2,2,17
43851,2,2,20
11209,1,1,19
541,1,1,24
13056,2,1,24
6155,1,1,27
44370,1,1,27
37208,1,1,27
40125,1,1,27
9051,1,1,24
31278,1,1,19
35203,1,1,24
9911,1,1,27
21155,1,1,27
5467,1,1,27
5120,1,2,22
35422,1,1,18
31832,1,1,18
12365,1,1,18
6238,1,1,27
24466,1,1,27
11623,1,1,27
1931,1,1,23
23951,1,1,18
31545,1,1,24
41031,1,1,23
12622,2,2,22
3205,1,1,27
37962,1,1,19
29140,1,1,27
21562,1,2,20
22516,2,1,19
39468,1,2,17
11194,1,1,27
19754,1,2,17
26577,1,1,27
41169,1,1,18
35005,1,1,27
42422,1,1,27
4316,1,1,27
44752,1,2,22
7173,1,1,23
13535,2,1,19
38613,1,1,25
8474,1,1,19
2174,1,1,19
13145,1,1,27
6983,1,1,27
46265,1,1,27
41391,1,1,27
15080,1,1,19
39545,1,1,27
14202,2,1,27
181,1,1,27
480,1,1,18
36692,1,1,23
28761,1,1,27
1780,2,2,21
25152,1,2,22
45957,1,1,27
35466,2,1,25
31121,1,1,27
1142,1,1,27
2151,1,1,27
28856,1,1,27
10273,1,1,27
28947,1,1,27
18445,1,1,27
32706,1,1,27
24605,2,1,25
25573,1,1,25
30639,2,2,21
2064,1,1,27
27051,1,1,27
37617,1,1,27
30189,1,1,25
6792,2,1,19
41057,1,1,27
22622,1,1,27
30838,1,1,24
37327,2,1,18
13296,1,1,27
20028,2,2,17
46995,1,1,24
8896,1,2,21
33228,1,1,27
35807,2,2,21
24382,1,1,18
2127,1,1,27
26314,1,1,25
43598,1,1,27
25480,1,1,18
18644,1,1,27
27566,1,2,17
45887,1,2,22
46421,1,1,25
40280,1,1,19
42694,2,2,20
1005,1,2,21
35891,1,1,19
21971,1,1,24
33399,1,1,23
46175,2,2,22
30712,1,1,24
20350,1,1,27
19228,1,1,27
3789,2,2,20
41125,1,2,21
44295,1,1,24
42708,1,1,24
28481,1,1,23
25266,1,2,21
17844,1,1,27
12894,1,1,27
21555,1,1,27
47168,2,2,21
33933,1,1,27
38619,2,1,25
41437,1,2,22
12446,2,2,20
13064,2,1,19
15069,1,1,27
14161,1,1,27
29630,1,1,27
1583,2,1,27
45913,1,1,19
43006,1,1,27
38700,2,2,20
35329,2,1,19
10480,1,1,19
36331,1,1,27
13683,1,1,18
25040,1,1,27
21396,1,1,27
29970,1,1,27
20786,2,1,19
30587,1,1,23
25275,2,1,23
3367,1,2,20
6876,2,2,22
29963,1,1,18
42284,2,1,19
26628,1,1,24
22756,1,1,23
18027,1,1,25
37148,1,1,27
20086,1,1,27
19594,1,1,25
16829,2,2,20
700,1,1,25
8332,1,1,27
31151,2,1,19
11667,1,1,27
24003,1,1,19
16941,1,1,25
1030,1,1,27
33308,2,1,25
45467,1,1,27
11166,1,1,25
35442,1,1,23
41792,2,1,18
46155,1,1,19
41593,1,1,27
20257,2,2,17
22869,1,1,25
16836,1,1,19
9997,1,1,27
29553,2,2,21
8012,1,1,27
18496,1,1,19
22782,2,1,18
21234,2,1,25
33430,1,1,27
23452,2,1,19
30453,1,1,27
24120,2,1,19
17573,2,2,17
27337,1,1,27
8497,2,1,24
24130,1,1,19
4996,2,1,18
333,1,1,23
40191,1,1,24
31791,1,1,16
6997,1,1,27
29281,1,1,27
43760,2,1,19
41104,1,1,27
21456,2,1,25
47799,2,2,21
23864,1,1,27
22861,2,1,19
37785,1,1,25
6747,1,1,27
11079,2,2,17
31128,2,2,22
25912,1,1,27
8121,2,2,20
1089,1,1,27
2252,2,2,22
33278,1,1,27
24045,1,1,19
41370,1,1,27
34276,1,1,27
363,2,1,25
45052,1,1,19
37094,1,1,27
21376,1,1,27
44797,2,2,21
34620,1,1,27
28722,1,1,27
11417,1,1,27
10120,1,1,27
48589,2,2,22
19787,1,1,27
25517,1,1,27
32300,1,2,22
37944,1,1,27
26686,1,1,27
28747,2,2,22
34854,2,2,22
3971,1,1,27
13198,1,1,19
607,1,1,27
18993,1,1,24
33273,2,1,19
32313,1,1,27
10900,1,1,18
30477,2,2,21
32494,1,1,27
24971,1,1,27
35072,1,1,19
27979,2,2,20
1546,1,1,27
19606,1,1,27
17677,1,2,17
29903,1,1,27
7657,2,1,19
48063,1,1,27
27286,1,1,23
15708,2,2,22
35948,1,1,27
13519,1,1,27
24654,2,1,19
29162,1,1,23
18278,1,1,19
4801,1,1,25
22999,1,1,24
29065,1,1,18
32012,2,2,22
19907,1,1,27
2048,2,1,18
44186,1,1,27
10180,1,1,27
34687,1,1,27
2172,1,1,19
40437,1,1,27
14208,1,1,25
48208,1,2,20
19507,2,2,20
18262,2,2,21
38904,1,2,17
22130,1,2,22
4919,1,1,27
45728,1,1,18
41340,1,1,27
18360,1,1,25
48166,1,1,27
29273,2,1,19
15064,1,1,27
21104,2,2,22
21324,1,1,27
9584,1,1,27
9698,1,1,27
30006,2,2,22
31452,2,2,22
35782,2,1,24
18369,1,1,24
20698,1,1,24
35368,2,1,19
26124,2,1,19
5681,1,1,23
11353,1,1,27
39926,1,2,21
34506,2,1,19
14233,1,2,17
19993,1,1,27
3222,1,1,27
11083,1,1,19
12232,2,2,17
43207,1,1,27
48346,2,2,17
21252,2,1,24
48027,1,1,19
21703,1,1,27
46817,1,1,23
43980,1,1,27
46073,1,1,18
11775,1,1,18
29596,1,1,24
32806,1,1,19
14720,1,1,27
16010,1,1,19
23828,1,1,27
11178,2,1,27
4292,1,1,27
29315,1,1,24
20069,1,1,24
32149,1,1,27
43009,1,1,27
20433,1,1,19
19305,1,1,27
34866,2,2,21
31657,1,1,23
20838,1,1,27
3689,1,2,17
37867,1,1,27
16774,1,1,27
33739,1,1,27
33796,1,1,27
42947,2,1,19
37359,1,1,24
21676,1,1,25
22377,1,1,19
28348,2,2,17
734,1,1,19
13972,1,1,25
31457,2,1,27
33339,1,1,24
8904,1,1,27
35716,1,1,27
31954,1,1,27
32654,1,1,25
542,1,1,27
28448,1,1,18
18675,2,1,18
40560,1,1,27
9187,2,1,19
6910,1,2,20
14134,1,1,18
39263,1,1,27
29657,2,1,19
781,1,1,27
48553,1,1,27
45385,2,1,24
19222,1,1,27
1555,1,1,27
9516,2,1,19
36023,2,1,19
9805,1,2,17
21019,2,1,19
23416,2,1,23
8206,1,1,25
8084,2,2,22
14029,1,1,27
7666,1,1,25
44560,1,1,27
22668,2,2,22
41434,1,1,19
13604,1,1,19
11613,2,1,19
