,y,prediction,leaf
12057,1,1,110
33060,1,1,103
6583,1,1,111
32947,1,1,111
41613,1,2,88
46916,1,1,111
100,2,2,90
23711,1,1,107
9230,1,1,109
8309,1,1,111
21977,1,1,93
3454,1,1,99
39417,1,1,109
12623,1,1,109
3499,1,2,89
6766,1,1,79
41299,2,2,89
6851,1,1,110
43712,1,1,95
16211,1,1,101
42196,1,1,86
27650,1,2,84
34495,1,1,99
42745,1,1,98
32176,1,1,75
35025,1,1,79
9967,1,1,111
25763,1,1,109
29241,2,2,89
23806,1,1,65
25797,1,1,93
6721,1,1,95
42712,1,1,109
14706,1,1,110
2567,1,1,101
41957,1,2,84
19003,1,1,109
38437,1,1,75
3712,1,1,109
34234,2,2,78
32704,2,2,71
10174,1,1,109
4784,2,1,70
37914,1,1,109
40334,1,1,109
16258,1,1,110
38366,1,1,99
36920,1,2,78
38290,1,1,109
11639,2,1,75
35544,1,1,95
25043,1,1,75
90,1,1,79
33640,1,1,111
25844,1,1,73
11138,1,2,83
30124,1,1,110
41142,1,1,109
46575,2,1,110
40208,1,1,109
27441,1,2,87
39071,1,1,109
12548,1,1,77
14655,2,1,73
41888,1,1,73
22994,1,1,95
15466,2,1,70
3370,1,2,89
18975,1,1,79
4751,1,2,84
16974,2,1,73
527,1,1,111
42739,1,1,110
27752,1,1,99
11699,1,1,111
1877,1,2,87
40346,2,1,110
39953,1,1,77
36674,1,1,109
28462,1,2,84
5297,1,1,95
34199,1,1,109
12420,1,1,110
26000,1,1,109
29300,1,1,98
41149,1,1,73
1305,2,2,87
34966,1,1,77
7845,1,1,111
23927,1,1,109
21420,1,1,109
18453,1,2,83
43577,1,1,109
43581,1,1,79
29107,1,1,109
32210,1,2,84
16472,1,1,109
5726,1,1,109
7444,1,1,111
22737,2,1,77
38768,1,1,101
17036,1,1,73
3023,1,1,110
46594,1,1,111
47412,1,1,95
25249,2,2,71
21585,1,1,98
14490,1,1,111
2189,1,1,111
7125,1,1,79
16167,2,1,75
25179,1,1,109
25474,1,1,109
37055,1,1,77
6744,1,1,73
22567,1,1,111
612,1,1,73
44793,2,1,75
12618,1,1,111
34545,1,1,95
1424,1,1,75
14350,1,1,77
35057,1,2,87
804,1,1,109
29069,1,1,111
4085,1,1,111
11472,2,2,84
34825,1,1,110
5970,2,1,99
47997,2,1,72
9286,1,1,109
41712,1,1,79
5352,1,1,109
2923,1,1,65
30040,1,1,98
820,1,1,110
43476,1,1,95
6088,1,1,109
33249,1,1,111
36183,1,1,98
10711,1,1,109
10213,1,1,109
46980,1,1,109
7681,2,2,84
43209,1,1,73
28801,2,2,87
33671,2,2,87
1852,1,1,109
11495,1,1,111
1432,2,1,109
6029,1,1,99
40696,1,1,77
44767,1,1,110
46889,1,1,109
7625,1,1,109
29223,1,1,110
46672,2,1,77
41183,1,1,109
8337,1,1,74
46259,1,1,77
46427,1,1,95
11885,1,1,111
44687,1,1,98
18400,1,1,109
29498,1,1,109
2182,2,1,101
21244,2,2,87
20691,1,1,111
3498,1,1,73
43043,1,1,75
8767,1,1,65
13392,1,1,93
14278,1,1,111
40923,1,1,99
188,1,2,89
26833,1,1,111
7059,1,1,111
47450,1,1,75
7703,1,1,109
47344,1,2,84
15109,1,1,95
14616,1,1,109
32568,2,2,89
36771,2,2,71
43851,2,2,83
11209,1,1,75
541,1,1,103
13056,2,1,101
6155,1,1,109
44370,1,1,109
37208,1,1,110
40125,1,1,109
9051,1,1,98
31278,1,1,79
35203,1,1,98
9911,1,1,109
21155,1,1,110
5467,1,1,109
5120,1,2,89
35422,1,1,73
31832,1,1,76
12365,1,1,73
6238,1,1,109
24466,1,1,109
11623,1,1,111
1931,1,1,95
23951,1,1,73
31545,1,1,98
41031,1,1,95
12622,2,2,89
3205,1,1,109
37962,1,1,79
29140,1,1,109
21562,1,2,83
22516,2,1,75
39468,1,2,71
11194,1,1,109
19754,1,1,70
26577,1,1,109
41169,1,1,73
35005,1,1,109
42422,1,1,111
4316,1,1,111
44752,1,2,89
7173,1,1,95
13535,2,1,75
38613,1,1,99
8474,1,1,75
2174,1,1,75
13145,1,1,109
6983,1,1,109
46265,1,1,109
41391,1,1,110
15080,1,1,75
39545,1,1,111
14202,2,1,110
181,1,1,111
480,1,1,77
36692,1,1,95
28761,1,1,109
1780,2,2,87
25152,1,2,89
45957,1,1,109
35466,2,1,103
31121,1,1,109
1142,1,1,111
2151,1,1,109
28856,1,1,109
10273,1,1,109
28947,1,1,110
18445,1,1,110
32706,1,1,111
24605,2,1,99
25573,1,1,99
30639,2,2,87
2064,1,1,111
27051,1,1,109
37617,1,1,109
30189,1,1,99
6792,2,1,79
41057,1,1,110
22622,1,1,110
30838,1,1,100
37327,2,1,77
13296,1,1,111
20028,2,1,70
46995,1,1,98
8896,1,2,87
33228,1,1,111
35807,2,2,87
24382,1,1,73
2127,1,1,109
26314,1,1,99
43598,1,1,109
25480,1,1,73
18644,1,1,109
27566,1,2,71
45887,1,2,91
46421,1,1,99
40280,1,1,75
42694,2,2,83
1005,1,2,87
35891,1,1,79
21971,1,1,101
33399,1,1,95
46175,2,2,89
30712,1,1,98
20350,1,1,109
19228,1,1,111
3789,2,2,83
41125,1,2,84
44295,1,1,98
42708,1,1,98
28481,1,1,95
25266,1,2,87
17844,1,1,111
12894,1,1,109
21555,1,1,111
47168,2,2,87
33933,1,1,109
38619,2,1,100
41437,1,2,91
12446,2,2,83
13064,2,1,75
15069,1,1,109
14161,1,1,111
29630,1,1,109
1583,2,1,110
45913,1,1,79
43006,1,1,109
38700,2,2,83
35329,2,1,79
10480,1,1,75
36331,1,1,109
13683,1,1,73
25040,1,1,109
21396,1,1,109
29970,1,1,109
