,y,prediction,leaf
12057,1,1,443
33060,1,1,415
6583,1,1,447
32947,1,1,447
41613,1,2,353
46916,1,1,445
100,2,1,362
23711,1,1,425
9230,1,1,439
8309,1,1,445
21977,1,1,371
3454,1,1,395
39417,1,1,439
12623,1,1,439
3499,1,2,359
6766,1,1,317
41299,2,2,354
6851,1,1,443
43712,1,1,383
16211,1,1,401
42196,1,2,347
27650,1,2,338
34495,1,1,393
42745,1,1,394
32176,1,1,303
35025,1,2,319
9967,1,1,447
25763,1,1,439
29241,2,2,359
23806,1,1,263
25797,1,1,371
6721,1,1,383
42712,1,1,439
14706,1,1,443
2567,1,1,403
41957,1,2,338
19003,1,1,439
38437,1,1,303
3712,1,1,439
34234,2,2,318
32704,2,2,285
10174,1,1,439
4784,2,2,282
37914,1,1,439
40334,1,1,439
16258,1,1,443
38366,1,1,393
36920,1,2,318
38290,1,1,439
11639,2,1,303
35544,1,1,383
25043,1,1,303
90,1,2,319
33640,1,1,447
25844,1,1,294
11138,1,2,329
30124,1,1,443
41142,1,1,439
46575,2,1,443
40208,1,1,439
27441,1,2,347
39071,1,1,439
12548,1,1,309
14655,2,1,294
41888,1,1,294
22994,1,1,383
15466,2,2,282
3370,1,2,353
18975,1,1,315
4751,1,2,338
16974,2,1,294
527,1,1,447
42739,1,1,443
27752,1,1,395
11699,1,1,447
1877,1,2,351
40346,2,1,443
39953,1,1,309
36674,1,1,439
28462,1,2,338
5297,1,1,383
34199,1,1,439
12420,1,1,443
26000,1,1,439
29300,1,1,392
41149,1,1,294
1305,2,2,347
34966,1,1,309
7845,1,1,447
23927,1,1,439
21420,1,1,439
18453,1,2,335
43577,1,1,439
43581,1,2,319
29107,1,1,439
32210,1,2,338
16472,1,1,439
5726,1,1,439
7444,1,1,445
22737,2,1,309
38768,1,1,407
17036,1,1,294
3023,1,1,443
46594,1,1,447
47412,1,1,383
25249,2,2,287
21585,1,1,392
14490,1,1,447
2189,1,1,447
7125,1,1,315
16167,2,1,303
25179,1,1,439
25474,1,1,439
37055,1,1,308
6744,1,1,294
22567,1,1,447
612,1,1,294
44793,2,1,303
12618,1,1,447
34545,1,2,380
1424,1,1,303
14350,1,1,309
35057,1,2,345
804,1,1,439
29069,1,1,446
4085,1,1,447
11472,2,2,338
34825,1,1,443
5970,2,1,393
47997,2,2,289
9286,1,1,439
41712,1,2,319
5352,1,1,439
2923,1,1,263
30040,1,1,398
820,1,1,443
43476,1,1,383
6088,1,1,439
33249,1,1,445
36183,1,1,397
10711,1,1,439
10213,1,1,439
46980,1,1,439
7681,2,2,338
43209,1,1,294
28801,2,2,345
33671,2,2,351
1852,1,1,439
11495,1,1,447
1432,2,1,439
6029,1,1,395
40696,1,1,310
44767,1,1,443
46889,1,1,439
7625,1,1,439
29223,1,1,443
46672,2,1,309
41183,1,1,439
8337,1,1,299
46259,1,1,309
46427,1,1,383
11885,1,1,447
44687,1,1,392
18400,1,1,439
29498,1,1,439
2182,2,1,406
21244,2,2,351
20691,1,1,447
3498,1,1,294
43043,1,1,303
8767,1,1,261
13392,1,1,374
14278,1,1,447
40923,1,1,395
188,1,2,359
26833,1,1,447
7059,1,1,447
47450,1,1,303
7703,1,1,439
47344,1,2,338
15109,1,1,383
14616,1,1,439
32568,2,2,358
36771,2,2,287
43851,2,2,331
11209,1,1,302
541,1,1,412
13056,2,1,401
6155,1,1,439
44370,1,1,439
37208,1,1,443
40125,1,1,439
9051,1,1,392
31278,1,1,317
35203,1,1,399
9911,1,1,439
21155,1,1,442
5467,1,1,439
5120,1,2,354
35422,1,1,294
31832,1,1,309
12365,1,1,294
6238,1,1,439
24466,1,1,439
11623,1,1,447
1931,1,1,383
23951,1,1,294
31545,1,1,392
41031,1,1,383
12622,2,2,353
3205,1,1,439
37962,1,1,315
29140,1,1,439
21562,1,2,331
22516,2,1,303
39468,1,2,287
11194,1,1,439
19754,1,1,283
26577,1,1,439
41169,1,1,294
35005,1,1,439
42422,1,1,447
4316,1,1,447
44752,1,2,359
7173,1,1,383
13535,2,2,301
38613,1,1,394
8474,1,1,303
2174,1,1,303
13145,1,1,435
6983,1,1,439
46265,1,1,439
41391,1,1,443
15080,1,1,303
39545,1,1,445
14202,2,1,441
181,1,1,447
480,1,1,309
36692,1,1,379
28761,1,1,439
1780,2,2,345
25152,1,2,359
45957,1,1,439
35466,2,2,414
31121,1,1,439
1142,1,1,447
2151,1,1,439
28856,1,1,439
10273,1,1,439
28947,1,1,441
18445,1,1,443
32706,1,1,447
24605,2,1,393
25573,1,1,393
30639,2,2,347
2064,1,1,447
27051,1,1,439
37617,1,1,439
30189,1,1,393
6792,2,2,319
41057,1,1,442
22622,1,1,443
30838,1,1,402
37327,2,1,309
13296,1,1,447
20028,2,1,283
46995,1,1,392
8896,1,2,347
33228,1,1,447
35807,2,2,345
24382,1,1,294
2127,1,1,439
26314,1,1,394
43598,1,1,439
25480,1,1,294
18644,1,1,439
27566,1,2,287
45887,1,2,367
46421,1,1,393
40280,1,1,303
42694,2,2,331
1005,1,2,347
35891,1,2,319
21971,1,1,401
33399,1,1,383
46175,2,2,353
30712,1,1,392
20350,1,1,439
19228,1,1,447
3789,2,2,329
41125,1,2,338
44295,1,1,392
42708,1,1,392
28481,1,1,383
25266,1,2,351
17844,1,1,447
12894,1,1,439
21555,1,1,447
47168,2,2,351
33933,1,1,439
38619,2,2,405
41437,1,2,365
12446,2,2,329
13064,2,1,303
15069,1,1,439
14161,1,1,447
29630,1,1,439
1583,2,1,443
45913,1,2,319
43006,1,1,439
38700,2,2,335
35329,2,2,319
10480,1,1,302
36331,1,1,437
13683,1,1,294
25040,1,1,439
21396,1,1,437
29970,1,1,439
20786,2,1,303
30587,1,1,383
25275,2,2,380
3367,1,2,331
6876,2,2,354
29963,1,1,305
42284,2,1,317
26628,1,1,392
22756,1,1,383
18027,1,1,395
37148,1,1,439
20086,1,1,447
19594,1,1,395
16829,2,2,331
700,1,1,393
8332,1,1,443
31151,2,2,319
11667,1,1,439
24003,1,1,299
16941,1,1,393
1030,1,1,439
33308,2,2,410
45467,1,1,439
11166,1,1,395
35442,1,1,371
41792,2,1,294
46155,1,1,303
41593,1,1,439
20257,2,1,283
22869,1,1,407
16836,1,2,319
9997,1,1,439
29553,2,2,347
8012,1,1,447
18496,1,1,303
22782,2,1,294
21234,2,1,395
33430,1,1,439
23452,2,1,303
30453,1,1,439
24120,2,1,303
17573,2,2,286
27337,1,1,439
8497,2,1,392
24130,1,2,319
4996,2,1,294
333,1,1,374
40191,1,1,392
31791,1,1,263
6997,1,1,447
29281,1,1,439
43760,2,2,319
41104,1,1,439
21456,2,1,407
47799,2,2,338
23864,1,1,447
22861,2,2,319
37785,1,1,406
6747,1,1,439
11079,2,1,283
31128,2,2,358
25912,1,1,447
8121,2,2,329
1089,1,1,443
2252,2,2,367
33278,1,1,439
24045,1,2,301
41370,1,1,447
34276,1,1,447
363,2,1,394
45052,1,1,303
37094,1,1,439
21376,1,1,447
44797,2,2,338
34620,1,1,439
28722,1,1,447
11417,1,1,439
10120,1,1,439
48589,2,2,354
19787,1,1,439
25517,1,1,439
32300,1,2,358
37944,1,1,439
26686,1,1,439
28747,2,2,365
34854,2,2,354
3971,1,1,443
13198,1,1,303
607,1,1,439
18993,1,1,392
33273,2,2,319
32313,1,1,443
10900,1,1,309
30477,2,2,346
32494,1,1,443
24971,1,1,439
35072,1,2,319
27979,2,2,335
1546,1,1,439
19606,1,1,447
17677,1,2,287
29903,1,1,439
7657,2,1,303
48063,1,1,439
27286,1,1,383
15708,2,2,354
35948,1,1,447
13519,1,1,443
24654,2,2,319
29162,1,1,371
18278,1,2,319
4801,1,1,406
22999,1,1,392
29065,1,1,309
32012,2,2,363
19907,1,1,439
2048,2,1,291
44186,1,1,439
10180,1,1,439
34687,1,1,447
2172,1,1,303
40437,1,1,437
14208,1,1,393
48208,1,2,329
19507,2,2,331
18262,2,2,338
38904,1,2,284
22130,1,2,367
4919,1,1,439
45728,1,1,294
41340,1,1,445
18360,1,1,393
48166,1,1,447
29273,2,1,312
15064,1,1,439
21104,2,2,363
21324,1,1,439
9584,1,1,439
9698,1,1,439
30006,2,2,355
31452,2,2,358
35782,2,1,400
18369,1,1,395
20698,1,1,392
35368,2,1,303
26124,2,1,303
5681,1,1,383
11353,1,1,443
39926,1,2,338
34506,2,1,312
14233,1,2,287
19993,1,1,439
3222,1,1,437
11083,1,2,319
12232,2,2,280
43207,1,1,439
48346,2,2,284
21252,2,1,395
48027,1,1,303
21703,1,1,439
46817,1,1,371
43980,1,1,443
46073,1,1,294
11775,1,1,294
29596,1,1,392
32806,1,1,303
14720,1,1,439
16010,1,2,319
23828,1,1,439
11178,2,1,445
4292,1,1,447
29315,1,1,392
20069,1,1,392
32149,1,1,439
43009,1,1,439
20433,1,1,303
19305,1,1,443
34866,2,2,345
31657,1,1,383
20838,1,1,439
3689,1,2,284
37867,1,1,439
16774,1,1,447
33739,1,1,447
33796,1,1,447
42947,2,1,303
37359,1,1,392
21676,1,1,394
22377,1,1,303
28348,2,2,287
734,1,2,319
13972,1,1,395
31457,2,1,443
33339,1,1,395
8904,1,1,447
35716,1,1,439
31954,1,1,439
32654,1,1,395
542,1,1,439
28448,1,1,309
18675,2,1,305
40560,1,1,439
9187,2,2,319
6910,1,2,329
14134,1,1,294
39263,1,1,439
29657,2,2,319
781,1,1,439
48553,1,1,439
45385,2,1,392
19222,1,1,447
1555,1,1,443
9516,2,1,303
36023,2,2,301
9805,1,1,277
21019,2,1,303
23416,2,1,382
8206,1,1,395
8084,2,2,365
14029,1,1,439
7666,1,1,407
44560,1,1,439
22668,2,2,354
41434,1,1,302
13604,1,1,303
11613,2,1,317
33658,2,2,351
5160,2,2,351
31651,1,1,412
1000,1,1,439
4975,1,1,294
4772,2,1,447
6229,1,1,447
38000,1,1,439
41120,1,1,383
28263,1,1,439
38289,2,2,358
47922,1,2,423
29444,1,1,439
14556,1,1,439
24223,2,2,319
9927,1,1,439
4704,2,1,315
27745,1,1,303
40104,2,1,309
6250,2,2,347
438,1,1,309
8565,1,1,439
6785,2,2,319
27105,2,2,345
4102,1,1,383
32446,1,1,447
25335,2,2,367
41571,1,1,294
2858,1,1,439
17106,1,1,439
18208,1,1,439
10585,1,1,392
14209,1,1,407
4728,1,1,392
19153,1,1,439
40502,1,1,439
31439,1,1,439
35688,1,1,439
19528,1,1,433
32576,2,2,363
34179,1,1,447
13582,1,1,283
43228,1,1,443
14974,1,1,439
3788,2,2,284
7750,1,1,439
47792,1,1,443
44212,1,1,439
8074,2,1,294
45436,2,1,303
34008,2,1,399
12136,1,1,439
14386,1,1,393
48183,2,1,294
46493,1,1,309
21846,1,1,439
28680,2,2,331
22428,2,1,383
9316,1,1,443
4895,1,1,443
30805,2,1,443
38985,2,1,305
36293,1,1,383
31320,1,1,392
18275,2,2,345
33454,1,1,439
46606,1,1,439
11204,2,2,365
44427,1,1,443
27599,1,1,447
3640,1,1,393
3103,1,1,439
37846,1,1,383
36101,1,1,439
37024,2,1,303
1551,1,1,439
32560,2,2,284
17638,2,2,331
22633,1,1,439
28324,1,1,392
12512,1,2,318
37362,1,1,439
36442,1,1,439
36985,1,2,338
39457,1,1,395
22558,1,1,303
19506,2,2,354
11454,1,1,283
9003,1,1,446
10865,1,1,392
45922,1,1,303
20538,1,1,303
5615,1,1,447
31312,1,1,309
48270,2,1,303
31800,1,2,280
35562,2,2,287
46811,1,2,319
23976,1,1,309
11389,1,1,302
15582,1,1,439
2347,1,1,439
17465,1,1,303
5943,2,2,338
25704,1,1,439
20040,1,1,439
907,1,1,397
27661,1,1,392
6482,2,2,351
36837,1,1,439
21692,1,1,439
19158,1,1,439
5774,1,1,447
36743,1,1,439
16455,1,1,439
44242,2,2,287
6646,1,1,443
6174,1,1,439
2682,1,1,395
7156,2,1,443
12901,1,1,439
16754,1,1,392
46115,2,2,319
43665,1,1,447
14045,2,1,303
45295,2,1,439
38074,1,1,303
41654,2,2,282
34316,1,2,319
18816,1,1,443
17988,1,1,447
12165,2,1,442
42207,1,1,443
32608,1,2,319
24052,1,1,299
25146,1,1,303
16880,1,1,439
18279,1,2,284
6892,1,1,442
44996,2,2,359
10903,1,1,447
34466,1,1,439
