,y,prediction,leaf
0,1,1,204
1,1,2,164
2,1,1,221
3,1,1,191
4,1,2,172
5,1,2,180
6,1,1,223
7,2,1,136
8,2,1,193
9,2,2,169
10,2,2,157
11,2,2,172
12,1,1,195
13,1,1,217
14,2,2,159
15,1,1,189
16,1,1,217
17,1,1,217
18,1,1,191
19,2,2,202
20,2,2,179
21,1,1,223
22,1,1,189
23,1,1,187
24,1,1,223
25,2,2,173
26,1,1,217
27,2,2,159
28,1,1,221
29,1,1,141
30,1,1,219
31,1,1,217
32,1,1,204
33,1,1,151
34,1,1,148
35,1,1,221
36,1,1,217
37,1,1,219
38,2,1,151
39,1,1,155
40,1,1,189
41,1,2,173
42,1,2,172
43,1,1,223
44,1,1,217
45,2,2,173
46,1,1,141
47,1,2,202
48,1,2,159
49,1,1,217
50,1,1,147
51,1,1,217
52,2,2,179
53,2,1,204
54,1,1,221
55,2,2,159
56,1,1,191
57,1,1,149
58,1,1,141
59,1,1,135
60,1,2,172
61,1,1,217
62,1,1,141
63,2,2,179
64,1,1,219
65,1,1,141
66,1,1,217
67,2,1,141
68,2,2,157
69,1,1,217
70,1,1,217
71,1,1,197
72,2,2,172
73,1,1,217
74,1,1,158
75,1,1,217
76,1,2,159
77,1,1,191
78,1,1,219
79,1,1,189
80,1,1,217
81,1,2,173
82,1,1,141
83,1,1,141
84,2,1,223
85,1,1,223
86,2,1,141
87,1,2,178
88,1,1,217
89,2,1,207
90,1,2,159
91,1,1,223
92,1,1,219
93,1,1,130
94,2,2,172
95,1,1,217
96,2,2,179
97,2,2,159
98,1,1,223
99,1,1,217
100,2,2,180
101,2,2,169
102,1,1,203
103,1,1,217
104,1,1,217
105,2,1,135
106,1,1,62
107,1,1,217
108,1,1,217
109,1,1,141
110,1,1,195
111,2,2,179
112,2,1,141
113,1,1,151
114,1,1,223
115,1,1,191
116,1,2,159
117,2,2,159
118,1,2,159
119,1,1,217
120,1,1,217
121,1,2,169
122,1,1,195
123,2,2,172
124,1,1,217
125,2,2,170
126,1,1,217
127,2,1,151
128,1,1,135
129,1,1,221
130,1,1,219
131,1,1,217
132,1,1,141
133,1,2,173
134,1,1,223
135,2,2,179
136,1,1,143
137,1,1,151
138,1,1,219
139,2,2,159
140,1,1,141
141,1,1,217
142,1,1,217
143,2,1,223
144,1,1,221
145,1,1,217
146,1,1,148
147,1,1,223
148,1,1,191
149,1,1,223
150,1,1,223
151,1,1,217
152,1,1,195
153,1,1,217
154,2,1,221
155,1,1,141
156,1,1,193
157,1,1,221
158,1,1,219
159,1,1,204
160,1,1,223
161,1,1,217
162,1,2,202
163,1,1,217
164,2,2,181
165,1,1,223
166,1,1,221
167,1,1,203
168,1,1,219
169,1,1,223
170,1,1,217
171,1,1,135
172,2,2,159
173,1,1,193
174,2,2,172
175,1,1,219
176,1,1,217
