,y,prediction,leaf
0,1,1,190
1,1,1,151
2,1,1,249
3,1,1,223
4,1,2,138
5,1,2,155
6,1,1,254
7,2,1,200
8,2,1,161
9,2,2,155
10,2,2,203
11,2,2,138
12,1,1,163
13,1,1,244
14,2,2,207
15,1,1,219
16,1,1,245
17,1,1,245
18,1,1,223
19,2,1,183
20,2,2,143
21,1,1,254
22,1,1,219
23,1,1,215
24,1,1,254
25,2,2,157
26,1,1,245
27,2,2,207
28,1,1,249
29,1,1,205
30,1,1,244
31,1,1,245
32,1,1,178
33,1,1,199
34,1,1,199
35,1,1,249
36,1,1,245
37,1,1,241
38,2,1,199
39,1,2,207
40,1,1,219
41,1,2,141
42,1,2,157
43,1,1,254
44,1,1,244
45,2,2,141
46,1,1,205
47,1,1,183
48,1,2,207
49,1,1,244
50,1,1,195
51,1,1,245
52,2,2,143
53,2,1,178
54,1,1,249
55,2,2,207
56,1,1,223
57,1,1,199
58,1,1,205
59,1,1,197
60,1,2,156
61,1,1,244
62,1,1,205
63,2,2,143
64,1,1,244
65,1,1,205
66,1,1,244
67,2,1,205
68,2,2,203
69,1,1,245
70,1,1,245
71,1,1,165
72,2,2,156
73,1,1,244
74,1,2,207
75,1,1,245
76,1,2,207
77,1,1,223
78,1,1,245
79,1,1,219
80,1,1,244
81,1,2,157
82,1,1,205
83,1,1,205
84,2,1,254
85,1,1,254
86,2,1,205
87,1,2,138
88,1,1,244
89,2,1,189
90,1,2,207
91,1,1,254
92,1,1,245
93,1,1,196
94,2,2,157
95,1,1,244
96,2,2,143
97,2,2,207
98,1,1,254
99,1,1,245
100,2,2,155
101,2,2,155
102,1,1,190
103,1,1,245
104,1,1,244
105,2,1,197
106,1,2,247
107,1,1,245
108,1,1,244
109,1,1,205
110,1,1,163
111,2,2,143
112,2,1,205
113,1,1,199
114,1,1,254
115,1,1,223
116,1,2,207
117,2,2,207
118,1,2,207
119,1,1,244
120,1,1,245
121,1,2,155
122,1,1,163
123,2,2,138
124,1,1,245
125,2,2,155
126,1,1,245
127,2,1,199
128,1,1,197
129,1,1,249
130,1,1,244
131,1,1,244
132,1,1,205
133,1,2,156
134,1,1,254
135,2,2,143
136,1,1,205
137,1,1,199
138,1,1,245
139,2,2,207
140,1,1,205
141,1,1,245
142,1,1,245
143,2,1,254
144,1,1,249
145,1,1,245
146,1,1,199
147,1,1,254
148,1,1,223
149,1,1,254
150,1,1,254
151,1,1,244
152,1,1,163
153,1,1,245
154,2,1,249
155,1,1,205
156,1,1,161
157,1,1,249
158,1,1,244
159,1,1,190
160,1,1,254
161,1,1,245
162,1,1,183
163,1,1,244
164,2,2,156
165,1,1,254
166,1,1,249
167,1,1,190
168,1,1,245
169,1,1,254
170,1,1,244
171,1,1,197
172,2,2,207
173,1,1,161
174,2,2,138
175,1,1,245
176,1,1,245
177,1,1,244
178,1,1,245
179,1,2,138
180,2,2,203
181,1,1,254
182,1,1,244
183,2,1,223
184,2,2,207
185,1,1,197
186,1,1,178
187,1,1,190
188,1,2,138
189,2,1,131
190,1,1,254
191,1,1,199
192,1,2,157
193,1,2,207
194,1,1,149
195,1,1,219
196,1,1,249
197,2,2,181
198,2,2,138
199,1,1,244
200,1,1,161
201,1,1,245
202,2,2,155
203,1,1,254
204,1,1,254
205,1,1,245
206,2,2,157
207,1,1,244
208,2,1,205
209,1,1,245
210,1,1,205
211,2,1,205
212,1,1,244
213,1,1,205
214,2,1,223
215,2,1,178
216,1,1,254
217,1,2,156
218,1,2,140
219,1,1,244
220,1,1,199
221,1,1,249
222,1,1,239
223,1,1,204
224,1,1,254
225,1,1,245
226,1,1,254
227,1,1,205
228,1,1,254
229,1,1,254
230,1,1,244
231,1,1,254
232,1,1,244
233,1,1,245
234,2,1,160
235,1,1,205
236,1,1,254
237,2,2,155
238,2,2,155
239,1,1,245
240,2,2,140
241,1,1,204
242,1,1,199
243,1,1,245
244,1,1,249
245,1,1,205
246,2,1,205
247,1,1,244
248,2,2,207
249,1,1,205
250,2,2,143
251,1,2,157
252,1,1,254
253,1,1,245
254,1,1,249
255,2,1,205
256,1,1,245
257,1,1,244
