,y,prediction,leaf
0,1,1,411
1,1,1,331
2,1,1,443
3,1,1,383
4,1,2,346
5,1,2,360
6,1,1,447
7,2,1,274
8,2,1,385
9,2,2,337
10,2,2,315
11,2,2,346
12,1,1,391
13,1,1,435
14,2,2,319
15,1,1,379
16,1,1,435
17,1,1,435
18,1,1,383
19,2,2,406
20,2,2,359
21,1,1,447
22,1,1,379
23,1,1,375
24,1,1,447
25,2,2,347
26,1,1,435
27,2,2,319
28,1,1,442
29,1,1,283
30,1,1,437
31,1,1,435
32,1,1,410
33,1,1,303
34,1,1,296
35,1,1,443
36,1,1,435
37,1,1,439
38,2,1,303
39,1,1,311
40,1,1,379
41,1,2,345
42,1,2,346
43,1,1,447
44,1,1,435
45,2,2,347
46,1,1,283
47,1,2,406
48,1,2,319
49,1,1,435
50,1,1,293
51,1,1,435
52,2,2,359
53,2,1,410
54,1,1,442
55,2,2,319
56,1,1,383
57,1,1,299
58,1,1,283
59,1,1,268
60,1,2,346
61,1,1,435
62,1,1,283
63,2,2,359
64,1,1,437
65,1,1,283
66,1,1,435
67,2,1,283
68,2,2,315
69,1,1,435
70,1,1,435
71,1,1,395
72,2,2,345
73,1,1,435
74,1,1,317
75,1,1,435
76,1,2,319
77,1,1,383
78,1,1,439
79,1,1,379
80,1,1,435
81,1,2,347
82,1,1,283
83,1,1,283
84,2,1,447
85,1,1,447
86,2,1,283
87,1,2,357
88,1,1,435
89,2,2,412
90,1,2,319
91,1,1,447
92,1,1,439
93,1,1,130
94,2,2,346
95,1,1,435
96,2,2,359
97,2,2,319
98,1,1,447
99,1,1,435
100,2,2,361
101,2,2,337
102,1,1,407
103,1,1,435
104,1,1,435
105,2,1,268
106,1,1,62
107,1,1,435
108,1,1,435
109,1,1,283
110,1,1,391
111,2,2,359
112,2,2,281
113,1,1,303
114,1,1,447
115,1,1,383
116,1,2,319
117,2,2,319
118,1,2,319
119,1,1,435
120,1,1,435
121,1,2,337
122,1,1,391
123,2,2,346
124,1,1,435
125,2,2,340
126,1,1,435
127,2,1,303
128,1,1,268
129,1,1,443
130,1,1,437
131,1,1,435
132,1,1,283
133,1,2,347
134,1,1,447
135,2,2,359
136,1,1,287
137,1,1,303
138,1,1,439
139,2,2,319
140,1,1,283
141,1,1,435
142,1,1,435
143,2,1,447
144,1,1,443
145,1,1,435
146,1,1,296
147,1,1,447
148,1,1,383
149,1,1,447
150,1,1,447
151,1,1,435
152,1,1,391
153,1,1,435
154,2,1,443
155,1,1,283
156,1,1,385
157,1,1,443
