,y,prediction,leaf
0,1,1,172
1,1,2,164
2,1,1,247
5,1,2,165
6,1,1,247
7,2,1,192
8,2,1,185
9,2,2,165
10,2,2,217
11,2,1,161
12,1,1,159
13,1,1,250
14,2,2,223
16,1,1,231
17,1,1,247
18,1,1,207
19,2,2,187
20,2,2,183
21,1,1,247
22,1,1,203
23,1,1,203
24,1,1,245
25,2,2,167
27,2,2,223
28,1,1,251
29,1,1,198
30,1,1,239
31,1,1,239
32,1,1,172
33,1,1,221
34,1,1,213
35,1,1,247
36,1,1,227
37,1,1,231
38,2,1,221
39,1,1,222
41,1,2,162
42,1,1,143
43,1,1,247
44,1,1,231
45,2,2,162
46,1,1,198
47,1,1,170
49,1,1,250
51,1,1,231
52,2,2,182
53,2,2,188
54,1,1,251
55,2,2,223
56,1,1,203
58,1,1,199
59,1,1,198
60,1,2,167
61,1,1,247
62,1,1,198
63,2,2,183
64,1,1,250
65,1,1,198
66,1,1,227
67,2,1,198
68,2,2,219
69,1,1,227
70,1,1,227
71,1,1,175
73,1,1,227
74,1,2,223
75,1,1,231
76,1,2,223
77,1,1,203
78,1,1,231
79,1,1,203
80,1,1,231
81,1,1,166
83,1,1,199
84,2,1,247
85,1,1,247
86,2,1,198
87,1,2,183
88,1,1,247
89,2,2,191
90,1,2,223
91,1,1,247
92,1,1,227
93,1,1,198
94,2,2,167
95,1,1,250
97,2,1,221
98,1,1,246
99,1,1,247
100,2,2,165
101,2,2,180
102,1,1,186
104,1,1,247
105,2,1,198
106,1,1,231
107,1,1,247
108,1,1,247
109,1,1,198
110,1,1,159
111,2,2,163
112,2,1,199
113,1,1,213
114,1,1,247
115,1,1,207
116,1,2,223
117,2,2,223
118,1,2,223
119,1,1,239
120,1,1,227
121,1,2,180
122,1,1,172
123,2,2,183
124,1,1,227
125,2,2,165
126,1,1,227
127,2,1,221
128,1,1,198
129,1,1,247
130,1,1,239
131,1,1,231
132,1,1,198
133,1,2,183
134,1,1,245
135,2,2,163
136,1,1,199
137,1,1,213
138,1,1,227
139,2,2,223
140,1,1,198
141,1,1,227
142,1,1,227
143,2,1,243
144,1,1,244
146,1,1,213
147,1,1,247
148,1,1,203
149,1,1,247
150,1,1,247
151,1,1,247
152,1,1,175
153,1,1,231
154,2,1,251
155,1,1,199
156,1,1,159
157,1,1,247
158,1,1,250
159,1,1,190
160,1,1,247
161,1,1,231
162,1,1,170
163,1,1,231
164,2,2,167
165,1,1,247
167,1,1,171
168,1,1,231
169,1,1,243
170,1,1,231
171,1,1,197
173,1,1,158
174,2,2,138
175,1,1,231
176,1,1,231
177,1,1,247
178,1,1,231
179,1,2,183
180,2,2,219
181,1,1,247
182,1,1,250
184,2,1,221
185,1,1,198
186,1,1,175
187,1,1,190
188,1,2,183
189,2,2,163
191,1,1,213
192,1,2,167
193,1,2,223
194,1,2,167
195,1,1,203
196,1,1,247
197,2,2,184
198,2,2,160
199,1,1,231
200,1,1,159
201,1,1,231
202,2,2,180
203,1,1,243
204,1,1,247
205,1,1,231
206,2,1,166
207,1,1,250
208,2,1,198
209,1,1,231
210,1,1,198
211,2,1,198
212,1,1,247
214,2,1,203
215,2,1,189
216,1,1,247
218,1,2,183
219,1,1,231
220,1,1,221
221,1,1,247
222,1,1,247
223,1,1,198
224,1,1,247
226,1,1,247
227,1,1,199
228,1,1,247
229,1,1,247
231,1,1,247
232,1,1,239
234,2,2,72
235,1,1,198
236,1,1,247
237,2,2,180
239,1,1,231
240,2,2,162
241,1,1,198
242,1,1,215
243,1,1,227
244,1,1,247
245,1,1,198
247,1,1,247
248,2,2,223
250,2,2,163
251,1,2,167
252,1,1,247
254,1,1,247
255,2,1,198
256,1,1,231
257,1,1,247
258,1,1,255
259,1,1,247
260,1,1,175
261,1,1,199
262,1,1,231
263,1,2,223
265,2,2,217
266,1,1,227
268,1,1,190
269,2,1,198
270,2,2,195
272,1,1,178
275,1,1,198
276,2,2,223
277,1,1,246
278,1,1,227
279,2,1,215
280,1,1,159
281,2,2,223
282,1,1,255
283,1,1,190
284,1,1,231
285,2,2,167
286,2,2,182
287,1,1,251
288,1,1,159
290,1,2,183
291,1,1,243
292,1,1,190
294,1,1,159
295,1,1,198
296,1,1,190
297,1,2,167
298,1,1,231
299,1,1,251
300,2,2,167
301,1,1,227
302,2,1,199
303,2,1,198
304,1,1,213
305,1,1,247
306,1,1,239
307,1,1,243
308,2,1,221
309,2,2,223
310,1,1,159
311,2,2,165
312,1,1,227
314,1,1,227
315,1,1,227
316,1,1,222
317,1,1,201
318,1,1,245
319,1,1,247
320,1,1,193
321,1,2,223
322,1,1,250
323,1,1,246
324,1,2,167
325,1,1,199
326,1,1,231
327,2,2,223
329,1,1,251
330,1,1,251
331,1,1,159
333,1,1,203
335,1,1,239
336,1,1,247
337,1,1,185
338,1,1,231
339,1,1,198
340,1,1,231
342,2,1,198
343,1,1,247
344,1,1,227
345,1,1,190
346,1,1,203
348,1,1,247
349,1,1,172
350,2,2,165
351,1,1,197
352,2,2,165
353,1,1,201
354,2,2,167
355,2,1,198
356,1,1,247
359,1,1,203
361,2,2,163
362,1,2,183
363,2,1,189
364,1,1,239
365,1,1,197
366,1,1,222
367,1,1,231
368,2,2,188
369,1,1,247
370,1,1,227
371,1,1,231
372,2,2,223
373,1,1,198
374,1,1,247
375,1,1,227
377,1,1,227
378,1,1,170
379,1,1,199
381,1,1,255
383,1,1,247
384,1,1,221
385,1,1,231
386,1,1,247
387,2,2,223
389,1,1,231
390,2,1,198
391,1,1,158
392,1,1,247
393,2,2,180
394,1,1,247
395,1,2,223
397,1,1,231
400,1,1,227
401,1,1,227
403,1,1,255
404,1,1,203
405,2,2,181
406,1,1,197
407,1,1,198
408,2,1,213
409,1,2,217
410,1,1,247
411,1,1,231
412,1,1,246
413,2,2,181
414,1,1,221
416,1,1,203
417,1,1,247
418,1,1,247
419,1,1,247
420,1,1,213
421,1,1,231
422,2,2,165
423,1,1,247
424,1,1,247
425,1,1,197
427,1,1,239
428,2,2,195
429,1,2,163
430,1,1,247
431,1,1,231
432,1,1,175
433,2,1,221
434,1,1,227
435,2,2,183
436,1,1,250
437,1,1,247
439,1,2,223
440,1,1,172
441,1,1,247
442,1,1,231
443,2,2,223
444,1,1,231
445,1,1,227
446,1,1,246
447,1,1,198
448,1,1,197
449,1,1,231
450,1,1,231
451,2,2,223
452,2,1,198
453,2,2,219
454,2,1,198
455,2,2,223
456,1,2,195
457,1,2,223
458,1,1,197
459,1,1,221
460,1,1,247
461,1,1,198
462,1,2,183
463,1,1,247
464,1,1,159
465,1,1,199
466,1,1,247
467,1,2,223
468,2,2,181
469,2,2,167
470,2,1,242
471,1,1,227
472,1,1,247
473,1,1,250
474,1,1,247
475,1,1,175
476,1,1,231
477,1,1,227
478,1,1,231
479,1,1,231
480,1,1,221
482,1,1,159
483,1,1,247
485,1,1,227
486,1,1,201
487,1,1,199
489,2,2,183
490,1,1,247
491,1,1,247
492,1,1,255
493,1,1,243
494,1,1,172
495,1,1,247
496,1,1,227
497,1,1,231
498,1,1,227
500,1,1,231
501,1,1,198
502,1,2,223
503,1,1,255
504,1,1,159
505,1,1,159
506,1,1,227
507,1,2,219
508,1,1,247
509,1,1,247
510,1,1,251
511,1,1,247
513,2,2,220
514,1,1,239
515,1,1,247
516,1,1,227
517,1,1,227
518,1,1,227
519,2,2,183
520,2,2,180
521,2,2,195
522,1,1,239
523,2,1,221
524,2,1,251
525,1,1,213
526,2,2,165
527,1,1,247
528,1,1,199
529,1,2,163
530,1,1,255
531,1,1,231
532,1,1,198
533,2,2,219
534,2,2,182
535,1,1,207
537,1,1,247
538,1,1,190
539,1,1,247
540,1,2,223
543,1,1,231
545,1,1,255
546,1,1,203
547,1,1,221
548,1,1,231
549,1,1,227
551,1,1,247
552,1,1,247
553,1,1,198
554,2,1,247
555,1,1,247
556,1,1,198
557,1,1,247
559,1,1,203
560,1,1,158
561,2,2,167
562,2,2,223
563,1,1,231
564,2,2,179
565,1,1,239
567,1,1,247
569,1,2,184
570,1,1,231
571,1,1,198
572,1,1,231
573,2,1,221
574,1,1,158
575,2,2,165
576,1,1,231
577,1,1,247
578,1,1,175
579,1,1,215
580,2,2,223
581,2,1,198
582,1,1,198
583,1,1,197
584,1,1,172
585,1,1,227
586,1,1,250
587,1,1,231
589,1,1,190
590,1,1,198
591,1,1,198
592,2,1,251
593,2,2,160
595,1,1,231
596,1,1,227
597,2,2,177
598,1,1,227
599,1,1,190
600,1,1,172
601,1,1,227
602,1,1,247
603,1,1,203
605,1,1,247
606,2,2,167
607,1,1,247
608,1,1,246
609,1,1,231
610,1,1,186
611,1,1,231
612,1,1,197
613,1,1,159
614,1,1,159
615,1,1,251
617,1,1,192
618,1,2,183
619,2,2,182
620,1,1,159
621,1,1,247
622,1,1,247
623,1,1,221
624,1,1,247
625,1,1,250
626,2,1,199
627,1,1,199
628,2,2,217
629,2,2,167
630,1,1,247
631,1,1,247
632,2,2,223
633,2,2,167
634,1,1,199
635,1,1,231
636,1,1,159
637,2,2,180
638,1,1,207
639,2,2,179
640,1,1,239
641,1,1,198
642,1,1,227
643,2,1,221
644,1,1,221
645,2,2,173
646,1,1,247
647,1,1,198
648,1,1,199
649,2,2,167
650,1,1,227
651,1,1,234
653,1,1,255
654,1,1,231
655,1,1,247
656,1,1,247
657,1,1,199
658,1,1,203
659,2,1,198
660,2,1,201
661,1,2,187
663,1,1,171
664,1,1,227
665,2,1,243
666,1,1,213
667,2,1,198
668,1,1,231
669,1,1,231
670,1,1,246
672,1,1,231
673,2,2,165
674,2,1,199
675,1,1,231
676,1,1,231
677,1,1,221
678,1,1,250
679,1,1,249
681,2,1,221
682,2,1,198
683,1,1,227
684,1,1,231
685,1,1,246
687,1,2,183
688,1,1,170
689,1,1,231
690,1,2,223
692,1,2,223
693,1,1,227
694,1,1,159
695,1,1,239
697,2,2,167
698,1,1,175
699,1,1,231
701,1,1,175
702,1,1,227
703,1,1,221
704,2,2,191
705,2,1,189
706,1,1,203
707,1,1,247
708,1,1,198
709,1,1,231
710,1,1,136
711,1,1,247
712,1,1,172
713,1,2,223
714,1,1,175
715,1,1,247
716,1,1,198
717,1,1,231
718,1,1,227
719,2,2,180
721,1,1,199
722,1,1,172
723,2,2,195
724,2,2,180
725,2,1,172
726,1,1,198
727,1,1,227
728,1,1,198
729,2,1,206
730,1,1,227
731,1,1,247
732,1,1,215
733,1,1,231
734,1,2,223
735,1,1,221
736,1,1,247
737,1,2,183
738,1,1,247
740,1,1,227
741,1,1,199
742,2,2,187
743,1,1,231
744,1,1,231
745,2,2,162
746,2,1,198
747,1,1,247
748,1,1,247
749,1,2,162
750,2,2,165
752,1,1,203
753,1,1,239
754,1,1,247
755,1,1,231
756,2,1,198
757,1,1,190
758,2,1,198
759,1,1,247
760,1,1,247
761,2,1,198
762,1,1,247
763,2,2,181
764,2,1,190
765,1,1,255
766,1,1,247
767,1,1,213
768,1,1,190
769,1,1,247
770,1,1,227
771,1,1,247
772,1,1,250
773,2,1,221
774,1,1,247
775,1,1,239
776,1,1,247
777,1,2,160
778,2,2,183
779,1,1,244
780,1,2,223
782,2,2,219
783,1,1,218
784,2,1,190
785,1,1,247
786,1,1,199
788,1,1,198
789,1,1,231
790,2,2,223
791,1,2,167
792,1,1,227
793,1,1,231
794,2,1,199
795,1,1,227
796,1,1,198
797,1,1,231
798,2,1,171
799,2,2,165
800,1,1,247
801,1,1,231
802,1,1,247
803,1,1,247
804,1,1,231
805,2,1,199
807,2,2,183
808,2,2,162
809,1,1,231
810,1,1,247
811,1,1,227
812,1,1,251
813,1,1,227
815,1,1,199
816,1,1,255
817,2,2,223
818,1,1,199
819,2,1,199
821,1,1,186
822,1,1,244
823,1,1,247
824,1,2,195
825,2,1,251
826,1,1,247
827,1,1,247
828,1,1,247
829,1,1,77
830,1,1,201
832,1,1,227
833,1,1,192
834,1,1,247
835,1,1,198
836,1,1,231
837,2,1,190
838,1,1,158
839,1,1,247
840,1,1,231
841,1,1,221
842,2,2,223
843,1,1,190
844,2,1,198
845,1,1,242
846,1,1,255
848,1,2,167
850,2,1,171
851,1,1,239
852,1,1,199
856,1,1,247
857,2,1,198
858,1,1,175
859,2,2,188
860,1,1,231
861,1,1,198
862,1,1,206
863,1,1,215
864,1,1,198
865,1,1,227
866,1,1,231
867,1,1,231
868,2,2,223
869,1,1,172
870,2,2,165
871,1,1,239
872,2,2,167
873,2,2,167
874,1,1,247
875,2,2,180
876,1,1,231
877,1,1,247
878,2,1,198
879,1,1,231
880,1,1,247
881,2,2,167
882,1,1,197
883,2,2,183
884,1,1,221
885,1,2,223
886,1,1,159
887,1,1,221
888,1,1,198
889,1,1,255
890,1,1,247
892,1,1,213
893,2,2,183
894,2,2,177
895,1,2,163
896,1,1,251
897,1,1,158
898,2,2,180
899,1,1,197
900,1,1,207
901,1,1,203
902,1,1,231
903,1,1,213
905,1,1,247
906,1,1,250
907,1,1,159
908,1,1,247
909,1,2,223
910,1,1,231
911,1,1,251
912,1,1,207
913,1,1,247
914,1,1,231
916,1,2,183
919,1,1,227
920,1,1,227
921,1,1,227
922,1,1,201
924,1,1,198
925,1,1,198
926,1,1,198
927,2,2,181
928,1,1,239
929,1,1,247
930,1,1,251
932,1,1,201
934,2,1,207
935,2,1,199
936,1,1,171
937,2,2,163
938,1,1,198
939,2,1,172
940,1,1,247
941,1,1,198
942,2,2,195
943,1,1,239
944,1,1,197
945,1,1,246
946,1,1,247
947,2,2,180
948,1,1,247
949,1,1,247
950,2,1,198
951,2,2,181
952,1,1,247
953,1,1,231
954,1,2,219
955,1,1,201
956,2,2,223
957,1,1,247
958,2,2,164
959,2,2,219
960,1,1,211
961,1,1,247
962,1,2,183
964,1,1,197
965,1,1,231
966,2,1,221
967,1,1,198
968,2,2,165
969,1,1,247
970,2,1,198
971,1,1,159
972,2,1,172
973,1,1,198
974,1,1,251
975,1,1,227
976,1,1,227
977,2,2,163
978,1,1,247
979,1,1,247
980,1,1,255
981,1,1,231
982,1,1,231
983,1,1,249
984,2,1,247
985,1,1,247
987,1,1,247
988,1,1,247
989,1,1,243
990,1,1,172
991,1,2,223
993,2,1,199
994,1,1,250
997,2,1,189
998,1,2,223
999,2,2,180
1000,1,1,227
1001,2,2,183
1002,2,1,198
1003,1,1,158
1004,1,1,247
1005,1,2,167
1006,1,1,247
1007,2,2,195
1009,1,1,215
1011,1,1,247
1012,2,1,198
1014,1,2,163
1015,1,1,203
1016,2,1,221
1017,1,1,247
1018,1,1,231
1019,1,1,231
1020,1,1,251
1021,2,2,163
1022,1,1,247
1023,1,1,221
1024,1,1,231
1025,1,1,199
1026,1,1,190
1027,2,2,195
1028,1,1,203
1029,1,2,187
1030,1,1,247
1032,1,1,227
1033,1,1,247
1034,1,1,247
1035,1,1,231
1036,1,1,203
1038,1,1,247
1039,1,1,203
1040,1,1,247
1041,1,1,227
1042,1,1,247
1043,2,2,180
1045,1,1,73
1046,1,1,247
1047,1,1,213
1048,1,1,239
1049,2,2,183
1052,2,2,167
1053,2,1,222
1055,1,2,167
1056,1,1,207
1057,1,1,247
1058,2,2,163
1059,2,1,199
1060,1,1,193
1061,1,1,198
1062,1,1,198
1063,1,1,247
1064,2,2,223
1066,2,2,182
1067,1,1,203
1068,1,2,180
1069,1,1,255
1070,1,1,159
1071,2,1,198
1072,2,1,199
