,y,prediction,leaf
0,1,1,7
1,1,1,7
3,1,1,7
4,1,2,5
5,1,1,7
6,1,1,7
7,1,1,7
8,1,1,7
9,1,1,7
11,1,1,7
12,1,1,7
13,1,1,4
14,1,1,7
15,1,1,7
16,1,1,7
17,1,1,7
18,1,1,7
19,1,1,7
20,1,1,7
21,1,2,5
22,1,1,7
23,1,1,7
24,1,1,7
25,1,1,7
26,1,1,7
27,1,1,4
28,1,1,7
29,1,1,7
30,1,2,5
31,1,1,7
32,1,1,7
33,1,1,4
35,1,1,7
36,1,1,7
37,1,1,7
38,1,1,7
39,1,1,7
40,1,1,7
41,1,1,4
42,1,1,4
43,1,1,7
44,1,1,7
45,1,1,4
47,1,1,4
48,1,1,7
49,1,1,7
50,1,1,7
51,1,1,7
52,1,1,7
53,1,1,7
54,1,1,7
55,1,1,7
56,1,1,7
58,1,1,7
59,1,1,4
60,1,1,7
61,1,1,7
62,1,1,7
64,1,1,7
65,1,1,7
66,1,1,7
67,1,1,7
68,1,1,7
69,1,1,4
71,1,1,7
72,1,1,7
73,1,1,7
74,1,1,7
75,1,1,7
76,1,1,7
77,1,2,5
78,1,1,4
80,1,1,7
81,1,1,7
82,1,1,7
83,1,1,7
84,1,1,7
85,1,1,7
86,1,2,5
87,1,1,7
88,1,1,7
90,1,1,7
91,1,1,7
93,1,1,7
94,1,1,7
95,1,2,5
97,1,1,7
98,1,1,7
99,1,2,6
101,1,1,7
102,1,1,7
103,1,1,7
104,1,1,7
105,1,1,7
106,1,1,7
108,1,1,7
110,1,1,7
111,1,1,7
112,1,1,7
113,1,1,7
114,1,1,7
115,1,1,7
116,1,1,7
117,1,1,7
118,1,1,7
119,1,1,7
120,1,1,7
122,1,1,4
123,1,2,5
124,1,1,4
125,1,1,7
127,1,1,7
128,1,1,7
129,1,1,7
130,1,1,7
131,1,1,7
132,1,1,7
133,1,2,5
134,1,1,4
135,1,1,7
136,1,1,7
137,1,1,7
138,1,1,7
139,1,1,4
141,1,1,7
142,1,1,7
143,1,1,7
144,1,1,7
145,1,1,7
146,1,1,7
148,1,1,7
149,1,1,7
150,1,1,7
151,1,1,4
152,1,1,7
153,1,1,7
154,1,1,7
155,1,1,7
156,1,1,7
157,1,1,7
