,y,prediction
0,2,2
2,2,2
3,2,2
4,2,2
5,2,2
6,2,2
8,2,2
9,2,2
10,2,2
12,2,2
13,2,2
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,1,1
20,1,1
21,1,1
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,1,1
38,2,2
39,2,2
41,2,2
43,2,2
44,2,2
45,2,2
46,1,1
47,2,2
49,1,1
50,1,1
51,1,1
52,1,1
53,2,2
54,2,2
55,1,1
56,2,2
57,2,2
58,1,1
59,1,1
60,1,1
61,1,1
62,2,2
63,1,1
64,2,2
65,2,2
66,1,1
67,1,1
68,1,1
69,1,1
70,2,2
71,1,1
73,2,2
74,1,1
75,2,2
76,1,1
77,2,2
79,1,1
80,1,1
81,1,2
82,2,2
83,2,2
84,1,1
85,2,2
86,2,2
88,1,1
89,1,1
90,1,1
91,2,2
92,1,1
93,1,1
94,2,2
95,2,2
96,1,1
97,1,1
98,1,1
99,2,2
100,2,2
102,1,1
103,1,1
104,1,1
105,2,2
106,1,1
107,1,1
109,1,1
110,1,1
111,1,2
112,1,2
113,1,1
114,1,1
115,1,1
116,1,1
117,2,2
118,2,2
119,2,2
120,1,1
121,2,2
122,2,2
123,1,1
124,1,1
125,1,1
126,2,2
127,2,2
128,1,1
129,2,2
130,1,1
131,2,2
132,2,2
133,1,1
135,2,1
136,1,1
137,1,1
138,2,2
139,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,2,2
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,2,2
157,1,1
158,1,1
159,1,1
160,1,1
161,2,2
162,2,2
163,1,1
164,2,2
165,1,1
166,1,1
167,2,2
168,2,2
169,1,1
171,2,2
172,2,2
173,1,1
175,1,1
176,1,1
177,2,2
178,1,1
179,1,1
180,2,2
181,2,2
182,2,2
183,1,1
184,2,1
185,1,1
186,2,2
187,1,1
