,y,prediction,leaf
310,1,1,243
1666,1,2,252
694,3,3,113
1625,3,3,13
720,3,3,4
1400,1,1,255
574,3,3,12
335,1,3,244
1092,3,3,5
625,3,3,12
691,1,1,239
257,1,1,241
16,3,3,246
1285,2,2,252
168,3,3,5
1256,4,4,253
994,3,1,255
1684,1,2,252
1203,3,3,5
326,3,3,13
2,3,3,13
56,3,3,13
997,1,1,255
301,3,3,13
1105,1,1,251
454,3,3,237
340,1,1,245
523,3,3,112
1641,3,3,5
624,3,3,5
1034,3,3,13
485,3,3,116
409,3,3,13
496,3,3,112
1276,3,3,13
1477,1,1,254
644,1,1,117
543,3,3,5
1304,3,3,13
401,1,1,245
877,3,1,255
240,3,3,5
1692,3,3,4
252,3,3,4
1700,4,4,253
1121,1,4,249
118,3,3,247
100,3,3,246
84,3,3,5
657,3,3,4
298,3,3,13
551,1,1,228
1187,4,4,249
347,1,1,245
50,3,3,246
395,1,1,245
371,1,3,244
1589,4,4,249
544,3,3,12
1330,3,3,13
1547,3,3,13
659,1,1,228
284,1,1,241
1116,3,3,4
1380,3,3,5
278,3,3,13
597,3,3,5
361,3,3,244
940,1,1,255
787,3,3,12
1286,4,4,253
885,3,3,5
97,3,3,246
831,3,3,5
963,3,3,4
1084,3,3,13
1297,3,3,13
51,3,3,5
1146,3,3,5
510,3,3,5
48,3,3,5
1682,3,3,13
1268,4,4,253
1394,1,1,255
76,3,3,246
1149,3,3,5
565,1,1,236
516,3,3,5
130,3,3,247
947,3,3,13
1253,2,4,253
1158,3,3,5
1131,3,3,5
811,3,3,12
286,1,1,243
617,1,1,117
884,3,1,254
74,3,3,246
352,3,3,13
1370,1,1,254
478,3,3,112
1443,3,3,5
1538,4,4,249
798,3,3,5
1504,1,1,254
939,3,3,5
654,3,3,5
923,3,3,13
919,3,3,13
1315,3,1,254
1601,3,3,13
382,3,3,13
1566,3,3,4
221,3,3,13
1195,3,3,13
1405,3,3,13
571,3,3,12
712,3,3,113
1290,3,3,5
1382,3,3,13
721,3,3,113
1432,3,3,13
1043,1,1,255
1726,2,2,252
767,1,1,228
843,3,3,5
616,1,1,239
899,3,3,13
453,3,3,5
1322,1,1,255
393,3,3,5
1014,3,3,5
358,3,3,13
1090,1,1,251
610,1,1,239
1483,1,1,255
894,3,3,5
1067,1,1,255
568,3,3,12
184,3,3,247
1101,3,3,5
501,3,3,5
1544,3,3,13
504,3,3,4
704,3,3,12
78,3,3,5
672,3,3,5
805,1,1,239
390,3,3,5
1620,3,3,4
26,3,3,246
1466,3,3,13
208,3,3,247
338,1,1,245
914,1,1,255
1497,3,3,5
998,1,1,255
1500,3,3,5
569,3,3,12
1002,3,3,5
1265,4,4,253
1020,3,3,5
323,1,1,241
1605,3,3,5
890,1,1,255
1144,1,1,251
1585,1,2,250
473,3,3,116
465,3,3,5
1469,1,1,254
421,1,1,245
313,1,1,243
182,3,3,247
1689,3,3,5
479,3,3,230
1694,2,4,253
480,3,3,5
62,3,3,13
749,1,1,231
365,1,1,245
1410,3,3,5
589,1,1,239
1695,3,3,5
389,1,3,244
1097,4,4,249
324,3,3,4
1632,3,3,5
1042,1,1,255
10,3,3,246
1180,1,1,251
1179,3,3,4
623,3,3,12
197,3,3,13
1413,3,3,4
75,3,3,5
65,3,3,246
1066,1,1,255
878,1,1,255
151,3,3,247
1281,3,3,5
1617,3,3,5
932,1,1,255
1572,3,3,5
1221,3,3,5
824,1,1,117
1130,4,4,249
547,3,3,12
9,3,3,4
373,1,1,245
591,3,3,5
276,3,3,5
13,3,3,246
303,3,3,5
307,3,3,242
1238,4,4,253
832,1,1,239
461,3,3,12
267,3,3,5
1473,3,3,5
82,3,3,13
622,3,3,12
134,3,3,247
776,3,3,229
532,3,3,112
888,3,3,5
354,3,3,5
1528,2,2,250
427,1,1,245
1569,3,3,5
1656,3,3,4
567,3,3,4
1393,1,1,255
1363,1,1,255
955,3,1,254
1590,3,3,5
705,3,3,5
444,3,3,5
770,1,1,117
558,3,3,4
960,3,3,5
530,3,3,116
367,1,1,245
1402,1,1,255
696,3,3,5
1420,1,1,255
793,3,3,113
1603,1,2,250
1580,4,4,249
1574,3,3,13
1668,3,3,5
1406,3,3,13
174,3,3,5
746,1,1,117
912,3,3,5
70,3,3,246
1216,3,3,13
1583,4,4,249
128,3,3,247
1133,4,4,249
212,3,3,247
437,3,3,12
1249,3,3,13
715,1,1,239
1181,1,2,248
8,3,3,13
291,3,3,5
1353,3,3,5
979,3,3,13
667,3,3,113
1513,3,3,13
664,1,1,236
1484,4,1,255
1711,1,2,252
1559,2,2,248
1454,4,1,255
1411,3,3,13
237,3,3,5
693,3,3,4
72,3,3,4
1584,3,3,4
982,3,1,254
678,3,3,5
1593,3,3,4
978,3,3,5
1120,1,1,251
1266,3,3,5
229,3,1,243
1639,3,2,252
807,3,3,5
1076,1,1,255
1644,3,3,5
1125,3,3,4
782,1,1,117
835,1,1,239
1294,2,2,252
59,3,3,13
374,1,1,245
1019,1,1,254
1071,3,3,4
349,1,1,245
898,3,3,13
49,3,3,246
849,3,3,5
1628,3,3,13
63,3,3,4
984,3,3,5
1722,3,3,5
557,1,1,117
445,3,3,237
867,3,3,5
282,3,3,5
1275,3,3,5
1032,3,3,5
1248,3,3,5
1604,2,2,248
1049,1,1,255
1060,3,3,13
1199,2,4,253
1157,4,4,249
714,3,3,5
1511,4,1,255
660,3,3,5
1277,3,3,13
847,3,3,113
39,3,3,5
779,1,1,117
339,3,3,5
1581,3,3,5
1642,1,2,252
642,3,3,5
297,3,3,4
508,3,3,238
203,3,3,247
988,1,1,255
94,3,3,246
1521,3,3,4
875,1,1,254
1173,3,3,5
846,3,3,4
1492,3,3,13
4,3,3,13
771,3,3,5
1494,3,3,4
292,1,1,243
1361,1,1,254
1366,1,1,255
1412,3,3,13
456,3,3,5
729,3,3,4
941,1,1,255
1387,3,1,254
1156,1,1,251
1123,1,1,251
754,1,1,239
457,3,1,236
778,3,3,237
329,3,3,13
1568,3,3,13
275,3,3,13
1226,2,4,253
66,3,3,5
1704,3,3,5
41,3,3,246
1095,3,3,5
407,3,3,13
1415,1,1,254
224,3,3,13
1147,1,1,251
1600,3,3,13
1082,3,3,13
190,3,3,13
1132,1,1,251
954,3,3,4
801,3,3,4
863,1,1,117
133,3,3,247
1009,3,1,254
1192,3,3,13
19,3,3,246
635,1,1,117
1062,3,3,4
800,1,1,117
386,3,3,13
392,1,1,245
1522,1,2,250
1194,3,3,5
1154,1,2,248
683,3,3,12
1005,3,3,5
1434,3,3,5
916,1,1,255
1148,4,4,249
1354,3,3,13
404,1,1,245
723,3,3,5
1035,3,3,4
344,3,3,244
886,3,1,255
584,1,1,117
566,1,1,117
772,1,1,236
814,3,3,12
1302,3,3,5
686,1,1,231
265,1,1,243
1540,3,3,13
1650,3,3,5
360,3,3,4
364,3,1,245
555,3,3,5
1439,3,3,13
232,1,1,243
142,3,3,13
1690,2,2,252
185,3,3,247
626,3,3,12
1416,3,3,5
435,3,3,5
550,3,3,113
1305,3,3,4
1717,2,2,252
1312,1,1,255
881,1,1,255
1680,3,3,5
1626,3,3,5
1520,3,3,13
663,3,3,5
106,3,3,246
424,3,3,244
533,3,3,230
1273,3,3,13
1446,3,3,5
477,3,3,4
269,1,1,241
230,1,1,240
1365,3,3,5
1141,3,3,13
809,1,1,117
241,1,1,243
417,3,3,5
631,3,3,113
1211,2,4,253
1308,3,3,5
1200,3,3,5
239,1,1,240
773,1,1,117
124,3,3,247
176,3,3,247
840,3,3,5
585,3,3,4
236,3,1,240
857,1,1,231
1250,3,3,13
127,3,3,247
17,3,3,246
42,3,3,5
910,3,1,254
499,3,3,238
968,1,1,255
155,3,3,247
1138,3,3,13
1352,3,3,13
1142,3,3,13
1306,3,1,254
1427,1,1,255
1126,1,1,251
1368,3,3,4
211,3,3,247
1597,3,3,13
486,3,3,4
1440,3,3,4
656,3,3,12
1661,2,4,253
1310,1,1,255
1526,2,4,249
512,3,3,116
1100,3,2,248
377,1,1,245
1240,2,2,252
1202,2,4,253
171,3,3,4
930,3,3,5
612,3,3,4
1243,3,3,13
945,3,3,4
1725,3,3,5
938,1,1,254
1050,3,3,5
1046,1,1,254
300,3,3,5
1053,3,3,4
482,3,3,116
1596,3,3,5
487,3,3,12
1458,3,3,4
165,3,3,5
1232,4,4,253
45,3,3,4
1184,4,4,249
927,3,3,4
419,1,1,245
414,3,3,4
618,3,3,5
952,3,3,13
708,3,3,5
1373,1,1,255
1074,3,3,5
1093,1,1,251
1068,3,3,5
1103,1,4,249
1618,2,2,250
25,3,3,246
277,3,3,13
1712,2,4,253
235,3,3,242
1623,3,3,5
253,3,3,242
559,3,3,113
353,3,3,13
1607,4,4,249
1191,3,3,5
394,1,1,245
139,3,3,13
158,3,3,247
764,3,3,12
186,3,3,5
1280,2,4,253
1241,4,4,253
713,1,1,231
1527,3,3,5
458,3,3,116
146,3,3,247
873,3,3,4
296,1,1,241
590,1,1,117
742,1,1,239
1552,1,2,250
1624,3,3,13
1499,4,1,255
1505,1,1,254
1442,1,1,254
1619,4,4,249
