,y,prediction,leaf
310,1,3,30
1666,1,1,31
694,3,1,29
1625,3,3,13
720,3,3,4
1400,1,1,31
574,3,3,12
335,1,3,30
1092,3,3,5
625,3,3,12
691,1,1,29
257,1,3,30
16,3,3,30
1285,2,1,31
168,3,3,5
1256,4,1,31
994,3,1,31
1684,1,1,31
1203,3,3,5
326,3,3,13
2,3,3,13
56,3,3,13
997,1,1,31
301,3,3,13
1105,1,1,31
454,3,3,28
340,1,3,30
523,3,3,28
1641,3,3,5
624,3,3,5
1034,3,3,13
485,3,3,28
409,3,3,13
496,3,3,28
1276,3,3,13
1477,1,1,31
644,1,1,29
543,3,3,5
1304,3,3,13
401,1,3,30
877,3,1,31
240,3,3,5
1692,3,3,4
252,3,3,4
1700,4,1,31
1121,1,1,31
118,3,3,30
100,3,3,30
84,3,3,5
657,3,3,4
298,3,3,13
551,1,1,29
1187,4,1,31
347,1,3,30
50,3,3,30
395,1,3,30
371,1,3,30
1589,4,1,31
544,3,3,12
1330,3,3,13
1547,3,3,13
659,1,1,29
284,1,3,30
1116,3,3,4
1380,3,3,5
278,3,3,13
597,3,3,5
361,3,3,30
940,1,1,31
787,3,3,12
1286,4,1,31
885,3,3,5
97,3,3,30
831,3,3,5
963,3,3,4
1084,3,3,13
1297,3,3,13
51,3,3,5
1146,3,3,5
510,3,3,5
48,3,3,5
1682,3,3,13
1268,4,1,31
1394,1,1,31
76,3,3,30
1149,3,3,5
565,1,1,29
516,3,3,5
130,3,3,30
947,3,3,13
1253,2,1,31
1158,3,3,5
1131,3,3,5
811,3,3,12
286,1,3,30
617,1,1,29
884,3,1,31
74,3,3,30
352,3,3,13
1370,1,1,31
478,3,3,28
1443,3,3,5
1538,4,1,31
798,3,3,5
1504,1,1,31
939,3,3,5
654,3,3,5
923,3,3,13
919,3,3,13
1315,3,1,31
1601,3,3,13
382,3,3,13
1566,3,3,4
221,3,3,13
1195,3,3,13
1405,3,3,13
571,3,3,12
712,3,1,29
1290,3,3,5
1382,3,3,13
721,3,1,29
1432,3,3,13
1043,1,1,31
1726,2,1,31
767,1,1,29
843,3,3,5
616,1,1,29
899,3,3,13
453,3,3,5
1322,1,1,31
393,3,3,5
1014,3,3,5
358,3,3,13
1090,1,1,31
610,1,1,29
1483,1,1,31
894,3,3,5
1067,1,1,31
568,3,3,12
184,3,3,30
1101,3,3,5
501,3,3,5
1544,3,3,13
504,3,3,4
704,3,3,12
78,3,3,5
672,3,3,5
805,1,1,29
390,3,3,5
1620,3,3,4
26,3,3,30
1466,3,3,13
208,3,3,30
338,1,3,30
914,1,1,31
1497,3,3,5
998,1,1,31
1500,3,3,5
569,3,3,12
1002,3,3,5
1265,4,1,31
1020,3,3,5
323,1,3,30
1605,3,3,5
890,1,1,31
1144,1,1,31
1585,1,1,31
473,3,3,28
465,3,3,5
1469,1,1,31
421,1,3,30
313,1,3,30
182,3,3,30
1689,3,3,5
479,3,3,28
1694,2,1,31
480,3,3,5
62,3,3,13
749,1,1,29
365,1,3,30
1410,3,3,5
589,1,1,29
1695,3,3,5
389,1,3,30
1097,4,1,31
324,3,3,4
1632,3,3,5
1042,1,1,31
10,3,3,30
1180,1,1,31
1179,3,3,4
623,3,3,12
197,3,3,13
1413,3,3,4
75,3,3,5
65,3,3,30
1066,1,1,31
878,1,1,31
151,3,3,30
1281,3,3,5
1617,3,3,5
932,1,1,31
1572,3,3,5
1221,3,3,5
824,1,1,29
1130,4,1,31
547,3,3,12
9,3,3,4
373,1,3,30
591,3,3,5
276,3,3,5
13,3,3,30
303,3,3,5
307,3,3,30
1238,4,1,31
832,1,1,29
461,3,3,12
267,3,3,5
1473,3,3,5
82,3,3,13
622,3,3,12
134,3,3,30
776,3,1,29
532,3,3,28
888,3,3,5
354,3,3,5
1528,2,1,31
427,1,3,30
1569,3,3,5
1656,3,3,4
567,3,3,4
1393,1,1,31
1363,1,1,31
955,3,1,31
1590,3,3,5
705,3,3,5
444,3,3,5
770,1,1,29
558,3,3,4
960,3,3,5
530,3,3,28
367,1,3,30
1402,1,1,31
696,3,3,5
1420,1,1,31
793,3,1,29
1603,1,1,31
1580,4,1,31
1574,3,3,13
1668,3,3,5
1406,3,3,13
174,3,3,5
746,1,1,29
912,3,3,5
70,3,3,30
1216,3,3,13
1583,4,1,31
128,3,3,30
1133,4,1,31
212,3,3,30
437,3,3,12
1249,3,3,13
715,1,1,29
1181,1,1,31
8,3,3,13
291,3,3,5
1353,3,3,5
979,3,3,13
667,3,1,29
1513,3,3,13
664,1,1,29
1484,4,1,31
1711,1,1,31
1559,2,1,31
1454,4,1,31
1411,3,3,13
237,3,3,5
693,3,3,4
72,3,3,4
1584,3,3,4
982,3,1,31
678,3,3,5
1593,3,3,4
978,3,3,5
1120,1,1,31
1266,3,3,5
229,3,3,30
1639,3,1,31
807,3,3,5
1076,1,1,31
1644,3,3,5
1125,3,3,4
782,1,1,29
835,1,1,29
1294,2,1,31
59,3,3,13
374,1,3,30
1019,1,1,31
1071,3,3,4
349,1,3,30
898,3,3,13
49,3,3,30
849,3,3,5
1628,3,3,13
63,3,3,4
984,3,3,5
1722,3,3,5
557,1,1,29
445,3,3,28
867,3,3,5
282,3,3,5
1275,3,3,5
1032,3,3,5
1248,3,3,5
1604,2,1,31
1049,1,1,31
1060,3,3,13
1199,2,1,31
1157,4,1,31
714,3,3,5
1511,4,1,31
660,3,3,5
1277,3,3,13
847,3,1,29
39,3,3,5
779,1,1,29
339,3,3,5
1581,3,3,5
1642,1,1,31
642,3,3,5
297,3,3,4
508,3,3,28
203,3,3,30
988,1,1,31
94,3,3,30
1521,3,3,4
875,1,1,31
1173,3,3,5
846,3,3,4
1492,3,3,13
4,3,3,13
771,3,3,5
1494,3,3,4
292,1,3,30
1361,1,1,31
1366,1,1,31
1412,3,3,13
456,3,3,5
729,3,3,4
941,1,1,31
1387,3,1,31
1156,1,1,31
1123,1,1,31
754,1,1,29
457,3,3,28
778,3,1,29
329,3,3,13
1568,3,3,13
275,3,3,13
1226,2,1,31
66,3,3,5
1704,3,3,5
41,3,3,30
1095,3,3,5
407,3,3,13
1415,1,1,31
224,3,3,13
1147,1,1,31
1600,3,3,13
1082,3,3,13
190,3,3,13
1132,1,1,31
954,3,3,4
801,3,3,4
863,1,1,29
133,3,3,30
1009,3,1,31
1192,3,3,13
19,3,3,30
635,1,1,29
1062,3,3,4
800,1,1,29
386,3,3,13
392,1,3,30
1522,1,1,31
1194,3,3,5
1154,1,1,31
683,3,3,12
1005,3,3,5
1434,3,3,5
916,1,1,31
1148,4,1,31
1354,3,3,13
404,1,3,30
723,3,3,5
1035,3,3,4
344,3,3,30
886,3,1,31
584,1,1,29
566,1,1,29
772,1,1,29
814,3,3,12
1302,3,3,5
686,1,1,29
265,1,3,30
1540,3,3,13
1650,3,3,5
360,3,3,4
364,3,3,30
555,3,3,5
1439,3,3,13
232,1,3,30
142,3,3,13
1690,2,1,31
185,3,3,30
626,3,3,12
1416,3,3,5
435,3,3,5
550,3,1,29
1305,3,3,4
1717,2,1,31
1312,1,1,31
881,1,1,31
1680,3,3,5
1626,3,3,5
1520,3,3,13
663,3,3,5
106,3,3,30
424,3,3,30
533,3,3,28
1273,3,3,13
1446,3,3,5
477,3,3,4
269,1,3,30
230,1,3,30
1365,3,3,5
1141,3,3,13
809,1,1,29
241,1,3,30
417,3,3,5
631,3,1,29
1211,2,1,31
1308,3,3,5
1200,3,3,5
239,1,3,30
773,1,1,29
124,3,3,30
176,3,3,30
840,3,3,5
585,3,3,4
236,3,3,30
857,1,1,29
1250,3,3,13
127,3,3,30
17,3,3,30
42,3,3,5
910,3,1,31
499,3,3,28
968,1,1,31
155,3,3,30
1138,3,3,13
1352,3,3,13
1142,3,3,13
1306,3,1,31
1427,1,1,31
1126,1,1,31
1368,3,3,4
211,3,3,30
1597,3,3,13
486,3,3,4
1440,3,3,4
