,y,prediction,leaf
0,2,2,30
1,2,2,30
2,2,2,30
3,2,2,30
4,2,2,30
5,2,2,30
6,2,2,30
7,2,2,30
8,2,2,30
9,2,2,30
10,2,2,30
11,2,2,30
12,2,2,30
13,2,2,30
14,2,2,30
15,2,2,30
16,2,2,30
17,2,2,30
18,2,2,30
19,2,2,30
20,2,2,30
21,2,2,30
22,2,2,30
23,2,2,30
24,2,2,30
25,2,2,30
26,2,2,30
27,2,2,30
28,2,2,30
29,2,2,30
30,2,2,30
31,2,2,30
33,2,2,31
34,2,2,31
35,2,2,31
36,2,2,31
37,2,2,31
38,2,2,31
39,2,2,31
40,2,2,30
41,2,2,30
42,2,2,30
43,2,2,30
45,2,2,31
46,2,2,31
47,2,2,31
48,2,2,31
49,2,2,30
50,2,2,30
51,2,2,30
52,2,2,30
53,2,2,30
54,2,2,30
56,2,2,31
57,2,2,31
58,2,2,30
59,2,2,30
60,2,2,30
61,2,2,30
63,2,2,30
65,2,2,30
66,2,2,30
67,2,2,30
68,2,2,30
69,2,1,23
70,2,2,30
71,2,2,30
72,2,2,30
73,2,2,30
74,2,2,30
75,2,2,30
76,2,2,30
77,2,2,30
78,2,2,30
79,2,2,31
80,2,1,23
81,2,2,31
82,2,1,23
83,2,2,30
84,2,2,30
85,2,2,30
86,2,2,30
87,2,2,30
89,2,2,30
90,2,2,30
91,2,2,30
92,2,2,30
93,2,2,31
94,2,2,31
95,2,2,31
96,2,2,31
97,2,2,31
100,2,2,30
102,2,2,30
103,2,2,30
104,2,2,30
105,2,2,30
106,2,2,30
107,2,2,30
108,2,2,30
109,2,2,31
110,2,2,30
112,2,2,30
113,2,2,30
114,2,2,30
115,2,2,30
116,2,2,30
118,2,2,30
119,2,2,30
120,2,2,30
121,2,2,30
122,2,2,30
123,2,2,30
124,2,1,19
125,2,2,30
126,2,2,30
127,2,2,30
128,2,2,30
129,2,2,30
130,2,2,30
131,2,2,30
132,2,1,19
133,2,2,30
134,2,2,30
136,2,2,30
137,2,2,30
138,2,2,30
139,2,2,30
140,2,2,30
141,2,2,30
142,2,2,30
143,2,2,30
144,2,2,30
145,2,2,30
146,2,2,30
147,2,2,30
148,2,2,30
149,2,2,30
150,2,2,30
151,2,2,31
153,2,2,31
154,2,2,31
155,2,2,31
156,2,2,31
157,2,2,31
158,2,2,31
159,2,2,31
160,2,2,31
161,2,2,31
162,2,2,30
163,2,2,30
164,2,2,30
166,2,2,30
167,2,2,30
168,2,2,30
169,2,2,30
170,2,2,30
171,2,2,30
172,2,2,30
173,2,2,31
175,2,2,31
176,2,2,31
177,2,2,31
178,2,2,31
179,2,2,31
180,2,2,30
182,2,2,30
183,2,2,30
184,2,2,30
185,2,2,30
186,2,2,30
188,2,2,31
189,2,2,31
190,2,2,31
191,2,2,30
192,2,2,30
193,2,2,30
194,2,2,30
195,2,2,30
196,2,2,30
197,2,2,30
198,2,2,30
199,2,2,30
200,2,2,30
201,2,2,31
202,2,2,30
203,2,2,30
204,2,2,30
205,2,2,30
206,2,2,30
207,2,2,30
208,2,2,30
209,2,2,30
210,2,2,30
211,2,1,23
212,2,2,30
213,2,2,30
215,2,2,30
216,2,2,30
218,2,1,23
219,2,2,30
220,2,2,30
221,2,2,30
222,2,2,30
223,2,2,30
224,2,2,30
225,2,2,30
226,2,2,31
227,2,2,31
228,2,2,31
229,2,1,23
230,2,2,31
231,2,2,31
232,2,2,31
233,2,1,23
234,2,2,30
235,2,2,30
236,2,2,30
237,2,2,30
238,2,2,30
239,2,2,30
240,2,2,30
241,2,2,30
242,2,2,31
243,2,2,31
245,2,2,31
246,2,2,30
247,2,2,30
249,2,2,30
250,2,2,30
