,y,prediction
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
6,1,1
8,1,1
9,1,1
10,1,1
12,1,1
13,2,1
14,1,1
15,2,1
16,1,1
17,1,1
18,2,1
19,1,1
20,2,1
21,1,1
22,1,1
23,1,1
24,2,1
25,1,1
26,2,1
27,1,1
28,2,1
29,1,1
30,1,1
31,2,1
32,2,1
33,1,1
34,2,1
35,2,1
36,1,1
37,2,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
46,1,1
47,2,1
48,1,1
49,2,1
50,1,1
51,2,1
52,1,1
54,1,1
55,1,1
56,2,1
57,1,1
58,1,1
59,1,1
60,2,1
61,1,1
63,2,1
64,1,1
65,1,1
66,2,1
67,1,1
68,2,1
69,1,1
70,1,1
71,2,1
72,1,1
73,1,1
74,1,1
75,1,1
76,2,1
77,1,1
78,2,1
79,2,1
80,1,1
81,2,1
82,1,1
83,1,1
84,1,1
86,1,1
87,2,1
88,1,1
89,1,1
90,2,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,2,1
97,1,1
98,2,1
99,1,1
100,1,1
101,2,1
102,2,1
103,2,1
104,2,1
105,2,1
106,2,1
107,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,2,1
117,2,1
118,1,1
119,2,1
120,1,1
121,1,1
122,2,1
123,2,1
124,1,1
125,2,1
126,1,1
127,2,1
128,1,1
129,2,1
130,2,1
131,2,1
132,2,1
133,1,1
134,1,1
135,1,1
136,2,1
138,2,1
139,2,1
140,2,1
141,1,1
142,2,1
143,2,1
144,1,1
146,1,1
147,2,1
148,1,1
149,2,1
150,1,1
151,1,1
153,2,1
154,1,1
155,1,1
157,1,1
158,1,1
159,2,1
160,1,1
161,1,1
162,2,1
163,1,1
165,1,1
166,2,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,2,1
205,1,1
206,2,1
207,1,1
208,2,1
209,1,1
210,1,1
211,1,1
212,2,1
213,1,1
215,1,1
216,2,1
217,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
228,2,1
229,1,1
230,2,1
231,1,1
232,2,1
233,1,1
234,1,1
236,2,1
237,1,1
238,2,1
240,2,1
241,1,1
242,1,1
243,1,1
244,2,1
245,1,1
246,2,1
247,1,1
248,2,1
249,1,1
250,2,1
251,2,1
252,1,1
253,2,1
255,2,1
256,1,1
257,1,1
258,2,1
260,1,1
261,2,1
262,1,1
263,2,1
264,1,1
265,1,1
266,1,1
268,1,1
269,1,1
270,1,1
271,1,1
272,1,1
274,1,1
275,1,1
276,2,1
278,2,1
279,1,1
280,2,1
281,1,1
282,1,1
283,1,1
284,2,1
285,1,1
286,2,1
288,2,1
289,1,1
290,1,1
291,1,1
292,2,1
293,1,1
294,2,1
295,1,1
296,2,1
297,1,1
298,2,1
299,2,1
300,1,1
301,2,1
302,1,1
303,2,1
305,1,1
306,2,1
307,2,1
308,1,1
309,2,1
310,1,1
311,2,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,2,1
325,1,1
326,2,1
327,1,1
329,1,1
331,1,1
332,2,1
334,2,1
336,2,1
337,1,1
338,1,1
339,1,1
340,2,1
342,2,1
344,2,1
345,1,1
346,2,1
347,2,1
348,1,1
349,2,1
350,1,1
351,2,1
352,1,1
353,1,1
355,2,1
356,1,1
357,2,1
358,1,1
359,2,1
360,1,1
361,1,1
362,1,1
363,1,1
364,2,1
365,1,1
366,2,1
367,1,1
368,2,1
369,1,1
370,2,1
371,2,1
372,1,1
373,2,1
374,1,1
376,1,1
377,1,1
378,2,1
379,2,1
380,1,1
381,2,1
382,1,1
383,2,1
384,1,1
385,1,1
386,2,1
387,2,1
388,1,1
389,2,1
390,1,1
391,2,1
392,1,1
393,2,1
394,1,1
395,1,1
396,1,1
397,1,1
398,1,1
399,1,1
400,1,1
401,2,1
403,1,1
404,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
412,2,1
413,1,1
414,2,1
415,1,1
416,2,1
417,1,1
418,2,1
419,2,1
420,1,1
421,2,1
422,1,1
423,2,1
424,1,1
426,2,1
427,2,1
428,1,1
429,2,1
431,2,1
432,1,1
433,1,1
434,2,1
435,2,1
437,2,1
438,1,1
439,2,1
440,1,1
441,2,1
442,1,1
443,1,1
445,1,1
446,1,1
447,1,1
449,2,1
450,1,1
451,1,1
452,1,1
453,1,1
454,1,1
455,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
467,1,1
468,2,1
469,1,1
470,2,1
472,2,1
475,1,1
476,2,1
477,1,1
478,2,1
479,1,1
480,2,1
481,1,1
482,1,1
483,1,1
484,2,1
485,1,1
488,2,1
489,1,1
490,2,1
491,2,1
492,1,1
493,2,1
496,1,1
497,1,1
498,2,1
499,2,1
500,1,1
501,2,1
502,1,1
503,2,1
504,1,1
505,1,1
506,1,1
507,1,1
508,2,1
510,2,1
511,1,1
512,2,1
513,1,1
515,2,1
516,1,1
517,2,1
518,1,1
519,2,1
520,1,1
521,1,1
522,2,1
523,2,1
524,1,1
526,1,1
527,2,1
528,1,1
529,1,1
530,2,1
531,2,1
532,1,1
534,1,1
535,2,1
536,1,1
538,1,1
539,1,1
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,2,1
546,1,1
547,1,1
548,1,1
549,1,1
550,1,1
551,1,1
552,1,1
553,1,1
554,1,1
556,2,1
557,1,1
558,2,1
559,1,1
560,2,1
561,1,1
562,2,1
563,2,1
564,1,1
565,2,1
566,1,1
567,2,1
568,1,1
569,1,1
572,1,1
573,2,1
574,1,1
575,2,1
576,1,1
577,1,1
579,2,1
580,1,1
582,1,1
583,2,1
584,1,1
585,2,1
586,1,1
587,1,1
588,1,1
589,1,1
591,1,1
592,1,1
593,2,1
594,1,1
595,1,1
596,1,1
597,1,1
598,1,1
599,1,1
600,1,1
