,y,prediction,leaf
1,1,1,27
2,1,1,26
4,1,1,26
5,1,1,26
7,1,1,27
8,1,1,27
9,1,1,48
10,1,1,32
11,1,1,49
12,1,1,49
13,2,2,36
14,1,2,36
15,2,2,36
16,1,1,40
17,1,1,41
18,2,2,43
19,1,1,26
20,2,2,43
21,1,1,26
22,1,1,27
23,1,1,41
24,2,2,43
25,1,1,27
26,2,2,43
27,1,1,27
28,2,2,43
29,1,1,50
30,1,1,50
31,2,2,51
32,2,2,51
33,1,2,51
34,2,1,37
35,2,2,51
36,1,1,37
37,2,2,51
39,1,1,40
40,1,1,42
42,1,1,42
43,1,1,26
44,2,2,43
45,2,2,43
46,1,1,26
47,2,2,43
48,1,1,27
49,2,2,43
50,1,1,50
51,2,2,33
52,1,1,50
53,2,1,37
54,1,1,37
56,2,2,51
58,1,2,45
60,2,2,45
61,1,1,44
62,2,2,45
63,2,2,45
64,1,1,62
65,1,1,56
66,2,2,34
67,1,1,56
69,1,1,39
71,2,1,38
72,1,1,39
73,1,1,39
74,1,1,39
75,1,1,59
76,2,2,46
78,2,2,63
79,2,2,63
80,1,1,47
81,2,2,63
82,1,2,57
83,1,1,35
84,1,1,35
85,2,2,57
86,1,1,35
87,2,2,60
88,1,1,39
89,1,1,61
90,2,2,60
91,1,1,61
92,1,1,39
93,1,1,39
94,1,1,58
95,1,2,46
97,1,2,63
98,2,2,63
99,1,1,47
100,1,1,47
101,2,1,47
102,2,2,63
103,2,2,63
104,2,1,35
105,2,2,57
106,2,2,57
107,1,1,35
108,2,2,60
109,1,1,61
110,1,1,39
112,1,1,39
113,1,1,39
114,1,1,59
115,1,1,44
116,2,2,45
117,2,2,45
118,1,1,62
119,2,2,45
120,1,1,62
121,1,1,44
122,2,2,45
123,2,2,45
124,1,1,56
126,1,1,56
127,2,2,34
128,1,1,56
130,2,1,61
131,2,1,38
132,2,1,61
133,1,1,39
135,1,2,46
136,2,2,46
137,1,1,59
139,2,1,47
140,2,2,63
141,1,2,63
142,2,2,63
143,2,2,63
144,1,1,47
145,1,2,57
146,1,1,35
147,2,2,57
148,1,1,35
149,2,2,60
150,1,1,61
151,1,1,39
152,1,1,39
153,2,2,60
154,1,1,39
155,1,1,39
156,1,1,58
158,1,1,58
160,1,1,47
161,1,2,57
162,2,2,60
164,1,1,61
165,1,1,39
166,2,2,60
167,1,1,61
168,1,1,39
169,1,1,27
170,1,1,40
171,1,1,27
172,1,1,42
173,1,1,27
174,1,1,42
175,1,1,27
178,1,1,41
179,1,1,26
180,1,2,43
181,1,1,26
182,1,2,43
183,1,1,26
184,1,2,43
185,1,1,27
186,1,1,41
187,1,1,27
188,1,2,43
189,1,1,27
190,1,2,43
191,1,1,27
192,1,2,43
193,1,1,48
194,1,1,32
195,1,1,48
196,1,1,32
197,1,1,48
198,1,1,32
199,1,1,48
200,1,1,32
201,1,1,49
202,1,2,36
203,1,1,49
204,2,2,36
205,1,1,49
206,2,2,36
207,1,1,49
209,1,1,49
211,1,1,49
212,2,2,36
213,1,1,49
214,2,2,36
215,1,1,49
216,2,2,36
217,1,1,27
218,1,1,40
219,1,1,27
220,1,1,42
221,1,1,27
222,1,1,42
223,1,1,27
224,1,1,42
225,1,1,26
226,1,1,41
227,1,1,26
228,2,2,43
229,1,1,26
231,1,1,26
232,2,2,43
233,1,1,27
234,1,1,41
235,1,1,27
236,2,2,43
237,1,1,27
238,2,2,43
239,1,1,27
240,2,2,43
241,1,1,50
243,1,1,50
244,2,2,33
245,1,1,50
246,2,2,33
247,1,1,50
248,2,2,33
249,1,2,51
250,2,1,37
251,2,2,51
252,1,1,37
253,2,2,51
254,1,1,37
255,2,2,51
257,1,2,51
259,2,2,51
260,1,1,37
261,2,2,51
262,1,1,37
263,2,2,51
264,1,1,37
266,1,1,40
267,1,1,27
268,1,1,42
269,1,1,27
270,1,1,42
271,1,1,27
272,1,1,42
273,1,1,26
274,1,1,41
275,1,1,26
276,2,2,43
277,1,1,26
278,2,2,43
279,1,1,26
280,2,2,43
281,1,1,27
282,1,1,41
283,1,1,27
284,2,2,43
285,1,1,27
286,2,2,43
287,1,1,27
289,1,1,50
290,1,2,33
291,1,1,50
292,2,2,33
293,1,1,50
294,2,2,33
295,1,1,50
296,2,2,33
297,1,2,51
298,2,1,37
299,2,2,51
300,1,1,37
301,2,2,51
302,1,1,37
303,2,2,51
304,1,1,37
305,1,2,51
306,2,1,37
307,2,2,51
308,1,1,37
309,2,2,51
310,1,1,37
311,2,2,51
312,1,1,37
313,1,1,59
314,1,1,44
315,1,1,59
316,1,2,45
317,1,1,59
318,1,2,45
319,1,1,59
320,1,2,45
321,1,1,62
322,1,1,44
323,1,1,62
324,2,2,45
325,1,1,62
326,2,2,45
327,1,1,62
328,2,2,45
329,1,1,62
330,1,1,44
331,1,1,62
332,2,2,45
333,1,1,62
335,1,1,62
336,2,2,45
337,1,1,56
338,1,2,34
339,1,1,56
340,2,2,34
341,1,1,56
342,2,2,34
343,1,1,56
344,2,2,34
345,1,2,60
346,2,1,38
347,2,1,61
348,1,1,39
349,2,1,61
350,1,1,39
351,2,1,61
352,1,1,39
354,2,1,38
355,2,1,61
356,1,1,39
358,1,1,39
359,2,1,61
360,1,1,39
361,1,1,59
362,1,2,46
363,1,1,59
364,2,2,46
365,1,1,59
366,2,2,46
367,1,1,59
368,2,2,46
369,1,2,63
370,2,1,47
372,1,1,47
373,2,2,63
374,1,1,47
375,2,2,63
377,1,2,63
378,2,1,47
379,2,2,63
382,1,1,47
383,2,2,63
384,1,1,47
385,1,2,57
386,2,1,35
387,2,2,57
388,1,1,35
389,2,2,57
391,2,2,57
392,1,1,35
393,2,2,60
394,1,1,38
395,1,1,61
396,1,1,39
397,1,1,61
398,1,1,39
399,1,1,61
400,1,1,39
401,2,2,60
402,1,1,38
403,1,1,61
405,1,1,61
406,1,1,39
407,1,1,61
408,1,1,39
410,1,2,46
411,1,1,58
412,2,2,46
413,1,1,58
414,2,2,46
415,1,1,58
416,2,2,46
417,1,2,63
418,2,1,47
420,1,1,47
421,2,2,63
422,1,1,47
424,1,1,47
425,1,2,63
426,2,1,47
427,2,2,63
428,1,1,47
429,2,2,63
430,1,1,47
431,2,2,63
432,1,1,47
433,1,2,57
434,2,1,35
436,1,1,35
437,2,2,57
439,2,2,57
441,2,2,60
442,1,1,38
443,1,1,61
444,1,1,39
445,1,1,61
446,1,1,39
447,1,1,61
448,1,1,39
449,2,2,60
450,1,1,38
451,1,1,61
452,1,1,39
453,1,1,61
454,1,1,39
456,1,1,39
457,1,1,59
458,1,1,44
460,1,2,45
461,1,1,59
462,1,2,45
464,1,2,45
465,1,1,62
466,1,1,44
467,1,1,62
469,1,1,62
470,2,2,45
471,1,1,62
472,2,2,45
473,1,1,62
474,1,1,44
475,1,1,62
476,2,2,45
477,1,1,62
478,2,2,45
479,1,1,62
480,2,2,45
481,1,1,56
482,1,2,34
483,1,1,56
484,2,2,34
485,1,1,56
486,2,2,34
487,1,1,56
488,2,2,34
489,1,2,60
490,2,1,38
493,2,1,61
494,1,1,39
495,2,1,61
496,1,1,39
497,1,2,60
498,2,1,38
499,2,1,61
500,1,1,39
501,2,1,61
502,1,1,39
503,2,1,61
505,1,1,59
507,1,1,59
508,2,2,46
509,1,1,59
511,1,1,59
512,2,2,46
513,1,2,63
514,2,1,47
515,2,2,63
516,1,1,47
517,2,2,63
518,1,1,47
519,2,2,63
521,1,2,63
522,2,1,47
523,2,2,63
524,1,1,47
525,2,2,63
526,1,1,47
527,2,2,63
528,1,1,47
529,1,2,57
530,2,1,35
531,2,2,57
532,1,1,35
533,2,2,57
534,1,1,35
535,2,2,57
536,1,1,35
537,2,2,60
538,1,1,38
539,1,1,61
540,1,1,39
541,1,1,61
542,1,1,39
543,1,1,61
545,2,2,60
547,1,1,61
548,1,1,39
549,1,1,61
550,1,1,39
551,1,1,61
554,1,2,46
555,1,1,58
556,2,2,46
557,1,1,58
558,2,2,46
559,1,1,58
560,2,2,46
561,1,2,63
562,2,1,47
563,2,2,63
564,1,1,47
565,2,2,63
566,1,1,47
567,2,2,63
568,1,1,47
569,1,2,63
570,2,1,47
571,2,2,63
572,1,1,47
573,2,2,63
574,1,1,47
575,2,2,63
576,1,1,47
577,1,2,57
578,2,1,35
579,2,2,57
580,1,1,35
581,2,2,57
582,1,1,35
583,2,2,57
584,1,1,35
585,2,2,60
586,1,1,38
587,1,1,61
