,y,prediction
1,1,1
2,1,1
3,2,2
4,1,1
5,1,1
6,1,1
7,1,1
8,2,2
9,1,1
10,1,1
12,1,1
13,2,2
14,1,1
15,1,1
16,1,1
17,2,2
18,2,2
19,2,2
20,1,1
21,2,2
22,1,1
23,1,1
25,2,2
27,1,1
28,1,1
29,1,2
30,1,1
31,2,2
34,1,1
36,1,1
37,2,2
38,1,2
39,1,1
40,1,1
41,1,1
42,1,1
43,2,2
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
51,1,1
53,2,2
54,2,2
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
68,1,1
69,1,1
71,1,1
72,1,2
73,1,1
74,1,1
75,1,2
76,1,1
77,1,1
78,2,2
79,1,1
80,1,1
81,2,2
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
114,2,2
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,2,2
121,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,2
135,2,2
136,1,2
137,1,1
138,2,2
139,1,1
140,1,1
141,1,1
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
176,1,1
177,1,1
178,1,1
179,1,1
180,2,2
181,1,1
183,1,1
184,1,1
185,2,2
187,1,1
189,1,1
190,1,1
191,1,2
192,1,1
193,1,2
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,2
200,1,1
202,1,1
204,1,1
205,2,2
206,1,1
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,1,2
213,1,1
214,1,1
215,1,1
216,1,1
217,1,1
218,1,1
219,1,1
221,2,2
222,1,1
223,1,2
224,1,1
225,1,1
226,1,1
228,2,2
229,1,1
230,1,1
231,2,2
232,1,1
233,1,1
234,1,1
235,1,2
236,1,1
237,1,1
238,1,1
240,1,1
241,1,1
242,1,1
243,2,2
244,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,1,1
250,1,1
251,2,2
252,1,1
253,1,1
254,1,1
255,1,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,2,2
262,1,1
263,1,1
264,1,1
266,1,1
267,1,1
268,1,1
269,2,2
270,1,1
271,2,2
272,1,1
273,1,1
274,1,1
275,1,1
276,1,1
277,1,1
278,1,1
279,1,1
280,2,2
281,1,1
282,1,1
283,1,1
284,1,1
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
295,1,1
296,1,1
297,1,1
298,1,2
299,2,2
300,1,1
301,1,1
302,1,2
303,1,1
304,1,1
306,1,1
307,1,1
308,1,1
309,1,1
311,2,2
312,1,1
314,1,1
315,2,2
316,1,2
317,1,1
318,1,2
319,1,2
320,1,1
321,1,1
322,1,1
323,1,1
324,1,1
326,1,1
327,2,2
328,1,1
329,1,1
330,2,2
331,1,1
332,1,1
333,1,1
334,1,1
335,1,1
337,1,1
338,1,1
340,1,1
341,1,1
342,1,1
343,1,2
344,1,1
345,1,1
346,1,2
347,1,1
348,1,1
349,1,1
350,1,1
351,1,1
352,1,1
353,1,1
354,1,1
355,1,1
356,1,1
357,2,2
358,1,1
359,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
377,1,1
378,1,1
