,y,prediction,leaf
0,2,2,9
1,1,1,13
3,2,2,9
4,1,1,13
5,1,1,13
6,1,1,13
7,1,1,13
8,2,2,9
9,1,1,13
11,1,1,13
12,1,1,13
13,2,2,9
14,1,1,13
16,1,1,13
17,2,2,9
18,2,2,9
19,2,2,9
20,1,1,13
21,2,2,9
22,1,1,13
23,1,1,13
24,1,1,13
25,2,2,9
26,1,1,13
27,1,1,13
28,1,1,10
30,1,1,13
31,2,2,9
32,1,1,13
33,1,1,13
34,1,1,13
35,1,1,8
36,1,1,10
38,1,1,8
39,1,1,13
40,1,1,13
41,1,1,13
42,1,1,10
43,2,2,9
45,1,1,13
46,1,1,13
47,1,1,13
48,1,1,13
50,1,1,13
51,1,1,13
52,1,1,13
53,2,2,9
54,2,2,9
55,1,1,13
56,1,1,13
57,1,1,13
58,1,1,13
59,1,1,13
60,1,1,10
61,1,1,13
62,1,1,13
63,1,1,13
64,1,1,13
66,1,1,13
67,1,1,13
68,1,1,13
69,1,1,10
70,1,1,8
71,1,1,13
72,1,1,8
73,1,1,13
74,1,1,13
75,1,1,8
76,1,1,8
77,1,1,13
78,2,2,9
79,1,1,13
80,1,1,13
81,2,2,9
82,1,1,10
83,1,1,13
84,1,1,13
85,1,1,13
86,1,1,13
87,1,1,13
88,1,1,13
89,1,1,10
90,1,1,10
92,1,1,13
93,1,1,13
95,1,1,13
96,1,1,13
97,1,1,13
98,1,1,13
99,1,1,13
100,1,1,13
101,1,1,13
102,1,1,13
103,1,1,13
104,1,1,13
105,1,1,13
106,1,1,13
107,1,1,13
109,1,1,13
110,1,1,13
111,1,1,10
112,1,1,8
113,1,1,13
114,2,2,9
115,1,1,13
116,1,1,10
118,1,1,8
119,1,1,10
121,1,1,13
122,2,2,9
123,1,1,13
124,1,1,13
125,1,1,13
126,1,1,13
127,1,1,13
128,1,1,13
129,1,1,13
130,1,1,13
131,1,1,13
132,1,1,8
133,1,1,13
134,1,1,8
135,2,2,9
136,1,1,8
137,1,1,13
138,2,2,9
139,1,1,13
140,1,1,13
141,1,1,13
142,1,1,10
143,1,1,13
144,1,1,13
145,1,1,13
146,1,1,13
147,1,1,13
148,1,1,13
151,1,1,13
152,1,1,13
153,1,1,10
154,1,1,8
155,1,1,13
157,1,1,13
158,1,1,13
159,1,1,13
160,1,1,13
161,1,1,13
164,1,1,13
165,1,1,13
166,1,1,13
167,1,1,13
168,1,1,13
169,1,1,13
170,1,1,10
171,1,1,13
172,1,1,8
173,1,1,13
174,1,1,13
175,1,1,13
176,1,1,13
177,1,1,13
178,1,1,13
179,1,1,13
180,2,2,9
181,1,1,10
182,1,1,10
183,1,1,13
184,1,1,13
185,2,2,9
186,1,1,13
187,1,1,10
188,1,1,13
189,1,1,13
190,1,1,13
191,1,1,8
192,1,1,13
194,1,1,13
195,1,1,10
196,1,1,13
197,1,1,13
198,1,1,13
199,1,1,8
200,1,1,13
201,1,1,13
202,1,1,13
203,1,1,13
204,1,1,13
205,2,2,9
206,1,1,13
207,1,1,13
208,1,1,13
209,1,1,13
210,1,1,13
211,1,1,13
212,1,1,8
213,1,1,10
214,1,1,13
215,1,1,13
216,1,1,13
217,1,1,13
218,1,1,13
219,1,1,10
220,1,1,13
221,2,2,9
222,1,1,13
223,1,1,8
224,1,1,13
225,1,1,13
226,1,1,13
227,1,1,13
228,2,2,9
229,1,1,13
230,1,1,10
231,2,2,9
232,1,1,13
233,1,1,10
234,1,1,13
235,1,1,8
236,1,1,13
237,1,1,13
238,1,1,13
239,1,1,13
240,1,1,13
241,1,1,13
242,1,1,13
243,2,2,9
244,1,1,8
245,1,1,13
246,1,1,8
247,1,1,13
248,1,1,13
249,1,1,13
250,1,1,13
251,2,2,9
253,1,1,13
254,1,1,13
255,1,1,13
256,1,1,10
257,1,1,13
258,1,1,13
260,1,1,13
261,2,2,9
262,1,1,13
264,1,1,8
265,1,1,10
266,1,1,13
267,1,1,13
268,1,1,13
269,2,2,9
270,1,1,13
271,2,2,9
272,1,1,13
274,1,1,13
275,1,1,13
276,1,1,13
278,1,1,13
279,1,1,13
280,2,2,9
281,1,1,13
282,1,1,10
283,1,1,13
284,1,1,13
285,1,1,13
286,1,1,13
287,1,1,13
288,1,1,13
289,1,1,10
290,1,1,10
291,1,1,13
292,1,1,13
293,1,1,13
294,1,1,13
295,1,1,13
296,1,1,13
298,1,1,8
299,2,2,9
300,1,1,13
302,1,1,8
303,1,1,13
304,1,1,13
305,1,1,13
306,1,1,13
307,1,1,13
308,1,1,13
309,1,1,13
310,1,1,13
311,2,2,9
313,1,1,8
314,1,1,13
315,2,2,9
316,1,1,8
317,1,1,13
318,1,1,8
319,1,1,8
321,1,1,8
322,1,1,13
323,1,1,13
324,1,1,13
325,1,1,13
326,1,1,13
327,2,2,9
328,1,1,13
329,1,1,13
330,2,2,9
331,1,1,13
332,1,1,13
333,1,1,13
334,1,1,13
335,1,1,13
336,1,1,13
337,1,1,13
338,1,1,10
339,1,1,13
342,1,1,13
343,1,1,8
345,1,1,13
346,1,1,8
348,1,1,13
349,1,1,10
350,1,1,13
351,1,1,13
352,1,1,13
354,1,1,13
356,1,1,13
357,2,2,9
359,1,1,13
360,1,1,13
361,1,1,13
362,1,1,13
363,1,1,13
364,1,1,13
366,1,1,13
367,1,1,8
368,1,1,13
370,1,1,13
371,1,1,13
372,1,1,13
373,1,1,10
374,1,1,13
375,1,1,13
376,1,1,10
377,1,1,13
378,1,1,13
379,1,1,13
380,2,2,9
382,1,1,13
383,1,1,13
384,1,1,13
385,2,2,9
386,1,1,13
387,1,1,13
388,1,1,13
389,1,1,13
390,1,1,13
391,1,1,13
392,1,1,13
393,1,1,10
394,1,1,13
395,1,1,13
396,1,1,13
397,1,1,13
398,1,1,10
399,2,2,9
400,1,1,13
401,1,1,13
402,2,2,9
403,1,1,13
404,1,1,13
405,1,1,13
406,1,1,13
407,1,1,13
408,1,1,13
409,1,1,13
410,1,1,13
411,1,1,13
412,1,1,13
413,1,1,13
414,2,2,9
415,1,1,13
416,1,1,8
417,2,2,9
419,1,1,13
420,1,1,13
421,1,1,13
423,1,1,13
425,1,1,8
426,1,1,13
427,1,1,13
428,1,1,13
429,1,1,10
430,1,1,13
431,1,1,13
432,1,1,13
433,1,1,13
434,1,1,8
435,1,1,13
436,1,1,8
437,1,1,13
438,1,1,13
439,1,1,13
440,1,1,13
441,1,1,13
442,1,1,13
443,1,1,13
444,1,1,13
445,1,1,13
447,1,1,13
450,1,1,13
451,1,1,13
452,1,1,13
453,1,1,8
454,1,1,13
455,1,1,13
457,1,1,13
458,1,1,13
459,1,1,13
460,1,1,13
461,1,1,13
462,1,1,13
463,1,1,13
464,1,1,10
465,1,1,13
467,1,1,13
468,1,1,13
469,1,1,13
470,1,1,13
471,1,1,13
472,1,1,8
473,1,1,10
474,1,1,8
475,1,1,10
476,1,1,10
479,1,1,13
481,1,1,13
482,1,1,8
483,1,1,10
484,1,1,8
485,1,1,13
487,1,1,10
488,1,1,13
489,1,1,13
490,1,1,8
491,2,2,9
492,2,2,9
494,1,1,13
495,1,1,13
496,1,1,13
497,1,1,13
498,1,1,13
500,1,1,13
501,1,1,13
502,1,1,13
503,1,1,13
504,1,1,13
505,2,2,9
507,1,1,13
508,1,1,8
509,1,1,10
510,1,1,10
511,1,1,13
512,1,1,8
513,1,1,10
514,1,1,10
515,1,1,13
516,1,1,13
517,1,1,13
518,1,1,13
519,1,1,13
520,1,1,13
521,1,1,13
522,1,1,13
523,2,2,9
524,1,1,10
525,1,1,13
526,1,1,13
527,1,1,13
528,1,1,10
529,1,1,13
530,1,1,13
532,2,2,9
533,1,1,13
534,2,2,9
536,1,1,13
537,1,1,10
538,1,1,13
539,1,1,8
541,1,1,13
542,2,2,9
543,1,1,13
544,1,1,13
545,1,1,13
546,1,1,13
547,1,1,10
548,1,1,8
549,1,1,13
550,1,1,10
551,1,1,13
553,1,1,8
554,1,1,13
555,1,1,13
556,2,2,9
557,1,1,8
558,1,1,13
559,1,1,13
561,1,1,8
562,1,1,8
563,1,1,13
564,1,1,13
565,2,2,9
566,1,1,13
568,2,2,9
570,1,1,13
571,1,1,8
572,1,1,13
573,1,1,13
574,1,1,13
575,1,1,13
576,1,1,10
577,1,1,13
578,1,1,13
579,2,2,9
580,1,1,13
581,1,1,13
582,1,1,13
583,1,1,13
584,1,1,13
585,1,1,13
586,1,1,10
587,1,1,10
588,1,1,10
589,1,1,13
590,2,2,9
592,1,1,13
593,2,2,9
594,1,1,13
595,2,2,9
596,1,1,13
597,1,1,13
598,2,2,9
599,2,2,9
600,1,1,13
601,1,1,13
603,1,1,13
604,1,1,13
605,1,1,13
606,1,1,13
607,1,1,13
609,1,1,10
610,1,1,13
611,1,1,13
612,1,1,13
613,2,2,9
614,1,1,13
615,1,1,13
617,1,1,13
618,1,1,13
619,1,1,10
620,1,1,13
621,1,1,13
622,1,1,8
623,1,1,13
624,1,1,10
625,1,1,13
627,1,1,10
628,1,1,13
629,1,1,13
630,1,1,13
631,1,1,13
633,1,1,13
634,1,1,13
635,1,1,13
636,1,1,13
637,1,1,13
638,1,1,13
640,1,1,13
641,1,1,13
642,1,1,13
643,1,1,13
644,1,1,13
645,1,1,8
646,1,1,13
647,1,1,13
649,1,1,8
650,1,1,13
651,1,1,13
652,1,1,13
653,2,2,9
654,2,2,9
655,1,1,13
656,1,1,13
657,1,1,13
658,1,1,13
659,1,1,10
660,1,1,13
661,1,1,13
662,2,2,9
663,2,2,9
664,1,1,13
665,1,1,13
667,1,1,13
668,1,1,13
669,1,1,13
670,1,1,13
671,1,1,10
672,1,1,13
673,1,1,8
674,1,1,13
675,1,1,10
676,1,1,10
678,1,1,13
679,1,1,13
680,1,1,8
681,1,1,13
682,1,1,8
683,1,1,13
684,1,1,13
686,1,1,10
687,1,1,13
688,1,1,13
689,1,1,13
690,1,1,13
691,1,1,13
692,1,1,13
693,1,1,13
694,2,2,9
695,1,1,13
696,1,1,13
697,2,2,9
698,2,2,9
699,1,1,13
700,2,2,9
701,1,1,13
702,1,1,13
703,1,1,13
704,1,1,13
705,1,1,13
706,1,1,13
707,1,1,10
708,1,1,13
709,1,1,13
710,1,1,13
711,1,1,13
712,1,1,13
713,1,1,13
714,1,1,13
715,1,1,13
716,1,1,13
