,y,prediction
1,2,2
5,1,1
15,2,2
27,5,2
36,5,2
54,5,5
58,2,2
66,5,5
68,1,1
82,2,2
83,1,1
87,2,2
96,2,2
102,2,2
106,2,2
110,1,1
116,1,1
135,2,2
144,2,2
149,1,1
156,2,2
162,5,5
175,2,2
185,1,1
191,1,1
195,2,2
203,1,1
205,2,2
208,2,2
216,5,5
218,1,1
224,1,1
233,1,1
235,2,2
236,1,1
242,1,1
243,5,2
252,2,2
260,1,1
261,2,2
271,2,2
275,1,1
278,1,1
280,2,2
287,1,1
288,5,2
292,2,2
294,2,2
296,1,1
304,2,2
311,1,1
316,2,2
320,1,1
328,2,2
329,1,1
330,2,2
351,2,2
352,2,2
354,2,2
355,2,2
358,2,2
361,2,2
363,2,2
370,2,2
371,1,1
374,1,1
376,2,2
378,5,5
389,1,1
390,2,5
405,2,2
406,2,2
408,2,2
409,2,2
410,1,1
417,2,2
422,1,1
425,1,1
428,1,1
430,2,2
437,1,1
444,5,5
445,2,2
449,1,1
456,2,2
460,2,2
465,2,2
466,2,2
470,1,1
480,2,2
481,2,2
492,2,2
493,2,2
502,2,2
504,2,2
506,1,1
517,2,2
526,2,2
531,2,2
532,2,2
543,5,5
545,1,1
548,1,1
552,2,5
560,1,1
569,1,1
579,2,2
580,2,2
590,1,1
594,5,5
595,2,2
604,2,2
606,2,5
615,2,2
618,2,2
624,2,2
626,1,1
627,2,2
628,2,2
635,1,1
639,2,2
640,2,2
642,2,2
645,2,2
647,1,1
653,1,1
654,2,2
661,2,2
671,1,1
673,2,2
676,2,2
685,2,2
686,1,1
692,1,1
696,2,2
699,2,2
704,1,1
711,2,5
712,2,2
713,1,1
721,2,2
727,2,2
728,1,1
731,1,1
735,2,2
744,2,2
747,2,2
748,2,2
749,1,1
750,2,2
753,2,2
757,2,2
759,5,5
771,2,2
772,2,2
776,1,1
779,1,1
782,1,1
783,2,2
784,2,2
787,2,2
789,2,2
793,2,2
797,1,1
802,2,2
807,2,2
809,1,1
814,2,2
821,1,1
824,1,1
825,2,2
834,2,2
838,2,2
849,2,2
851,1,1
854,1,1
866,1,1
869,1,1
876,5,5
879,2,2
881,1,1
882,5,2
887,1,1
888,2,2
890,1,1
897,2,2
903,5,2
906,2,2
910,2,2
931,2,2
938,1,1
940,2,2
941,1,1
945,5,2
948,5,2
963,2,2
965,1,1
966,2,2
972,5,5
975,5,5
976,2,2
977,1,1
978,2,2
979,2,2
989,1,1
996,2,2
999,2,2
1018,2,2
1022,1,1
1037,1,1
1039,2,2
1049,1,1
1054,2,2
1060,2,2
1069,2,2
1082,1,1
1085,1,1
1100,1,1
1106,1,1
1107,5,2
1109,1,1
1112,1,1
1120,2,2
1122,2,2
1124,1,1
1128,2,2
1129,2,2
1131,2,2
1134,5,5
1137,5,5
1139,1,1
1140,2,2
1141,2,2
1146,5,5
1169,1,1
1174,2,2
1175,1,1
1179,2,2
1188,5,5
1190,1,1
1207,2,2
1213,2,2
1217,1,1
1221,2,2
1227,2,2
1239,2,2
1249,2,2
1250,1,1
1252,2,2
1254,2,5
1260,2,2
1261,2,2
1265,1,1
1277,1,1
1283,1,1
1285,2,2
1302,2,2
1304,1,1
1306,2,2
1310,1,1
1312,2,2
1327,2,2
1332,2,2
1338,2,2
1344,2,2
1348,2,2
1350,5,5
1351,2,2
1365,2,2
1376,1,1
1380,2,2
1386,2,2
1387,2,2
1394,1,1
1396,2,2
1406,1,1
1421,1,1
1422,2,2
1423,2,2
1445,1,1
1448,1,1
1450,2,2
1460,1,1
1481,1,1
1487,1,1
1488,2,2
1499,1,1
1500,2,2
1501,2,2
1502,1,1
1512,5,5
1522,2,2
1524,2,5
1528,2,2
1533,2,2
1537,2,2
1541,1,1
1547,1,1
1550,1,1
1565,1,1
1567,2,2
1571,1,1
1579,2,2
1581,2,2
1588,2,2
1591,2,2
1592,1,1
1598,1,1
1600,2,2
1610,1,1
1611,2,2
1613,1,1
1619,1,1
1626,2,2
1633,2,2
1641,2,2
1643,1,1
1644,2,2
1645,2,2
1649,1,1
1654,2,2
1657,2,2
1659,2,2
1667,1,1
1686,2,5
1691,1,1
1692,2,2
1696,2,2
1710,2,2
1712,1,1
1716,2,2
1717,2,2
1718,1,1
1730,1,1
1732,2,2
1734,2,2
1735,2,2
1738,2,2
1746,5,2
1763,1,1
1769,1,1
1772,1,1
1777,2,2
1786,2,2
1790,1,1
1791,5,2
1795,2,2
1798,2,2
1802,1,1
1807,2,2
1813,2,2
1822,2,2
1826,1,1
1832,1,1
1834,2,2
1851,2,2
1854,2,2
1863,2,2
1864,2,2
1865,1,1
1870,2,2
1879,2,2
1880,1,1
1882,2,2
1885,2,2
1889,1,1
1893,5,5
1895,1,1
1907,1,1
1915,2,2
1917,2,2
1923,2,2
1924,2,2
1928,1,1
1929,2,2
1932,2,2
1942,2,2
1950,2,2
1958,1,1
1962,5,2
1963,2,2
1973,1,1
1976,1,1
1991,1,1
2002,2,2
2005,2,2
2017,2,2
2021,1,1
2035,2,2
2039,1,1
2049,2,2
2053,2,2
2057,1,1
2059,2,2
2063,1,1
2073,2,2
2083,2,2
2084,1,1
2088,2,2
2093,1,1
2095,2,2
2109,5,5
2112,2,2
2123,1,1
2124,2,2
2128,2,2
2134,2,2
2140,2,2
2142,2,2
2143,2,2
2153,1,1
2158,2,2
2160,5,5
2167,2,2
2169,5,2
2187,5,2
2188,2,2
2190,5,2
2191,2,2
2214,5,5
2218,2,2
2221,2,2
2227,2,2
2228,1,1
2238,2,2
2241,2,2
2249,1,1
2252,1,1
2253,2,2
2254,2,2
2255,1,1
2258,1,1
2269,2,2
2271,5,5
2284,2,2
2291,1,1
2295,2,2
2300,1,1
2304,2,2
2309,1,1
2323,2,2
2329,2,2
2330,1,1
2337,2,2
2348,1,1
2354,1,1
2355,2,2
2357,1,1
2358,2,2
2363,1,1
2366,1,1
2378,1,1
2384,1,1
2386,2,2
2388,2,2
2392,2,2
2393,1,1
2395,2,2
2400,2,2
2406,2,2
2410,2,2
2418,2,2
2419,2,2
2421,2,2
2422,2,2
2434,2,2
2437,2,2
2438,1,1
2439,2,2
2441,1,1
2450,1,1
2459,1,1
2461,2,2
2465,1,1
2468,1,1
2472,2,2
2481,2,2
2482,2,2
2494,2,2
2503,2,2
2507,1,1
2516,1,1
2521,2,2
2523,2,2
2525,1,1
2542,2,2
2550,2,2
2556,2,2
2587,2,2
2592,2,2
2601,2,2
2602,2,2
2610,2,2
2612,1,1
2613,2,2
2614,2,2
2616,2,2
2622,2,2
2624,1,1
2630,1,1
2641,2,2
2643,2,4
2648,1,1
2656,2,4
2662,2,4
2663,1,1
2668,2,4
2671,2,4
2690,1,1
2699,1,1
2704,2,2
2712,2,2
2719,4,4
2724,4,4
2725,4,4
2729,1,1
2730,2,2
2734,4,4
2739,2,2
2746,4,4
2750,1,1
2752,4,4
2763,2,2
2772,2,2
2789,1,1
2791,4,4
2792,1,1
2793,2,2
2797,4,4
2801,1,1
2810,1,1
2812,2,2
2819,1,1
2840,1,1
2844,2,2
2851,4,4
2857,4,4
2861,1,1
2869,2,2
2870,1,1
2873,1,1
2889,2,2
2890,2,4
2907,2,2
2911,4,4
2912,1,1
2913,4,4
2915,1,1
2919,2,2
2924,1,1
2926,4,4
2929,4,4
2932,4,4
2935,4,4
2942,1,1
2943,2,2
2944,4,4
2951,1,1
2952,2,2
2957,1,1
2962,4,4
2973,2,2
2974,2,2
2977,2,2
2978,1,1
2983,4,4
2984,1,1
2986,4,4
2993,1,1
2997,2,2
3002,1,1
3003,4,4
3004,4,4
3006,2,2
3007,4,4
