,y,prediction,leaf
0,3,2,7
1,2,2,7
3,3,2,7
5,1,1,5
6,2,2,7
7,2,2,7
8,1,1,5
10,2,2,7
11,1,1,5
12,5,2,7
14,1,1,5
15,2,2,7
16,2,2,7
17,1,1,5
18,5,2,7
19,2,2,7
20,1,1,5
21,5,2,7
22,2,2,7
23,1,1,5
24,2,2,7
26,1,1,5
27,5,2,7
28,2,2,7
30,5,2,7
31,2,2,7
32,1,1,5
34,2,2,7
36,5,2,7
37,2,2,7
38,1,1,5
39,5,2,7
41,1,1,5
42,2,2,7
43,2,2,7
44,1,1,5
45,5,2,7
46,2,2,7
47,1,1,5
48,5,2,7
49,2,2,7
52,2,2,7
53,1,1,5
54,5,2,7
55,2,2,7
56,1,1,5
57,5,2,7
58,2,2,7
59,1,1,5
60,2,2,7
61,2,2,7
62,1,1,5
63,5,2,7
64,2,2,7
66,5,2,7
67,2,2,7
68,1,1,5
69,2,2,7
71,1,1,5
72,5,2,7
73,2,2,7
76,2,2,7
77,1,1,5
79,2,2,7
80,1,1,5
82,2,2,7
83,1,1,5
84,5,2,7
85,2,2,7
86,1,1,5
87,2,2,7
88,2,2,7
89,1,1,5
90,2,2,7
91,2,2,7
92,1,1,5
93,2,2,7
94,2,2,7
95,1,1,5
96,2,2,7
97,2,2,7
98,1,1,5
99,2,2,7
100,2,2,7
101,1,1,5
102,2,2,7
103,2,2,7
104,1,1,5
105,2,2,7
106,2,2,7
108,5,2,7
110,1,1,5
111,5,2,7
112,2,2,7
113,1,1,5
114,2,2,7
115,2,2,7
116,1,1,5
117,2,2,7
118,2,2,7
119,1,1,5
120,2,2,7
121,2,2,7
122,1,1,5
123,2,2,7
125,1,1,5
126,2,2,7
127,2,2,7
128,1,1,5
129,2,2,7
130,2,2,7
131,1,1,5
132,2,2,7
133,2,2,7
134,1,1,5
135,2,2,7
136,2,2,7
137,1,1,5
138,2,2,7
139,2,2,7
141,2,2,7
143,1,1,5
144,2,2,7
145,2,2,7
146,1,1,5
147,2,2,7
149,1,1,5
150,2,2,7
151,2,2,7
152,1,1,5
153,2,2,7
154,2,2,7
155,1,1,5
156,2,2,7
157,2,2,7
158,1,1,5
159,2,2,7
160,2,2,7
161,1,1,5
162,5,2,7
163,2,2,7
164,1,1,5
165,5,2,7
166,2,2,7
167,1,1,5
168,2,2,7
169,2,2,7
170,1,1,5
171,2,2,7
172,2,2,7
173,1,1,5
174,2,2,7
175,2,2,7
177,2,2,7
178,2,2,7
179,1,1,5
180,2,2,7
181,2,2,7
182,1,1,5
184,2,2,7
185,1,1,5
186,2,2,7
187,2,2,7
188,1,1,5
189,2,2,7
190,2,2,7
191,1,1,5
194,1,1,5
195,2,2,7
197,1,1,5
198,2,2,7
199,2,2,7
200,1,1,5
201,2,2,7
202,2,2,7
203,1,1,5
204,2,2,7
205,2,2,7
206,1,1,5
207,2,2,7
208,2,2,7
209,1,1,5
210,2,2,7
211,2,2,7
212,1,1,5
213,2,2,7
214,2,2,7
215,1,1,5
216,5,2,7
217,2,2,7
218,1,1,5
220,2,2,7
221,1,1,5
222,2,2,7
223,2,2,7
224,1,1,5
225,5,2,7
226,2,2,7
227,1,1,5
228,5,2,7
229,2,2,7
230,1,1,5
232,2,2,7
233,1,1,5
234,5,2,7
235,2,2,7
236,1,1,5
237,5,2,7
238,2,2,7
239,1,1,5
240,2,2,7
241,2,2,7
242,1,1,5
243,5,2,7
244,2,2,7
245,1,1,5
246,5,2,7
247,2,2,7
248,1,1,5
250,2,2,7
252,2,2,7
253,2,2,7
254,1,1,5
255,2,2,7
256,2,2,7
257,1,1,5
258,2,2,7
259,2,2,7
260,1,1,5
261,2,2,7
262,2,2,7
263,1,1,5
264,2,2,7
265,2,2,7
266,1,1,5
267,2,2,7
268,2,2,7
269,1,1,5
270,5,2,7
271,2,2,7
272,1,1,5
273,5,2,7
274,2,2,7
275,1,1,5
276,2,2,7
277,2,2,7
278,1,1,5
279,5,2,7
280,2,2,7
282,5,2,7
283,2,2,7
284,1,1,5
285,2,2,7
286,2,2,7
287,1,1,5
288,5,2,7
290,1,1,5
291,5,2,7
292,2,2,7
293,1,1,5
294,2,2,7
295,2,2,7
296,1,1,5
297,5,2,7
298,2,2,7
299,1,1,5
300,5,2,7
301,2,2,7
302,1,1,5
303,2,2,7
304,2,2,7
305,1,1,5
306,2,2,7
307,2,2,7
308,1,1,5
309,2,2,7
310,2,2,7
311,1,1,5
312,2,2,7
313,2,2,7
314,1,1,5
315,2,2,7
316,2,2,7
317,1,1,5
318,2,2,7
320,1,1,5
321,2,2,7
322,2,2,7
323,1,1,5
325,2,2,7
326,1,1,5
327,5,2,7
328,2,2,7
329,1,1,5
330,2,2,7
331,2,2,7
332,1,1,5
333,2,2,7
334,2,2,7
336,2,2,7
337,2,2,7
338,1,1,5
339,2,2,7
340,2,2,7
341,1,1,5
342,2,2,7
343,2,2,7
344,1,1,5
345,2,2,7
346,2,2,7
347,1,1,5
349,2,2,7
350,1,1,5
351,2,2,7
352,2,2,7
354,2,2,7
355,2,2,7
356,1,1,5
357,2,2,7
358,2,2,7
359,1,1,5
360,2,2,7
361,2,2,7
362,1,1,5
363,2,2,7
364,2,2,7
365,1,1,5
366,2,2,7
367,2,2,7
368,1,1,5
369,2,2,7
370,2,2,7
371,1,1,5
372,2,2,7
373,2,2,7
374,1,1,5
375,2,2,7
376,2,2,7
377,1,1,5
378,5,2,7
380,1,1,5
381,5,2,7
382,2,2,7
383,1,1,5
384,2,2,7
386,1,1,5
387,2,2,7
388,2,2,7
389,1,1,5
390,2,2,7
391,2,2,7
392,1,1,5
393,2,2,7
394,2,2,7
395,1,1,5
396,2,2,7
397,2,2,7
398,1,1,5
399,2,2,7
400,2,2,7
401,1,1,5
402,2,2,7
403,2,2,7
404,1,1,5
405,2,2,7
406,2,2,7
408,2,2,7
409,2,2,7
410,1,1,5
411,2,2,7
412,2,2,7
413,1,1,5
414,2,2,7
415,2,2,7
416,1,1,5
417,2,2,7
418,2,2,7
419,1,1,5
420,2,2,7
421,2,2,7
422,1,1,5
423,2,2,7
424,2,2,7
425,1,1,5
426,2,2,7
427,2,2,7
428,1,1,5
429,2,2,7
430,2,2,7
431,1,1,5
432,5,2,7
433,2,2,7
435,5,2,7
436,2,2,7
437,1,1,5
438,2,2,7
439,2,2,7
440,1,1,5
441,5,2,7
443,1,1,5
444,5,2,7
445,2,2,7
446,1,1,5
447,2,2,7
448,2,2,7
449,1,1,5
450,5,2,7
451,2,2,7
453,5,2,7
454,2,2,7
455,1,1,5
456,2,2,7
457,2,2,7
458,1,1,5
459,5,2,7
460,2,2,7
461,1,1,5
462,5,2,7
463,2,2,7
464,1,1,5
465,2,2,7
466,2,2,7
467,1,1,5
469,2,2,7
470,1,1,5
471,2,2,7
472,2,2,7
473,1,1,5
474,2,2,7
475,2,2,7
476,1,1,5
477,2,2,7
478,2,2,7
479,1,1,5
480,2,2,7
481,2,2,7
482,1,1,5
483,2,2,7
484,2,2,7
485,1,1,5
486,5,2,7
487,2,2,7
488,1,1,5
489,5,2,7
490,2,2,7
492,2,2,7
493,2,2,7
494,1,1,5
495,2,2,7
496,2,2,7
499,2,2,7
500,1,1,5
501,2,2,7
502,2,2,7
503,1,1,5
504,2,2,7
505,2,2,7
506,1,1,5
507,2,2,7
509,1,1,5
510,2,2,7
511,2,2,7
512,1,1,5
513,2,2,7
514,2,2,7
515,1,1,5
516,2,2,7
517,2,2,7
518,1,1,5
519,2,2,7
520,2,2,7
521,1,1,5
522,2,2,7
523,2,2,7
524,1,1,5
525,2,2,7
526,2,2,7
527,1,1,5
528,2,2,7
529,2,2,7
530,1,1,5
531,2,2,7
532,2,2,7
533,1,1,5
534,2,2,7
535,2,2,7
536,1,1,5
537,2,2,7
538,2,2,7
540,5,2,7
541,2,2,7
542,1,1,5
543,5,2,7
544,2,2,7
545,1,1,5
546,2,2,7
547,2,2,7
548,1,1,5
549,2,2,7
550,2,2,7
551,1,1,5
552,2,2,7
553,2,2,7
554,1,1,5
555,2,2,7
556,2,2,7
557,1,1,5
558,2,2,7
559,2,2,7
560,1,1,5
561,2,2,7
562,2,2,7
563,1,1,5
564,2,2,7
565,2,2,7
566,1,1,5
567,2,2,7
568,2,2,7
569,1,1,5
570,2,2,7
571,2,2,7
572,1,1,5
573,2,2,7
575,1,1,5
576,2,2,7
577,2,2,7
578,1,1,5
579,2,2,7
580,2,2,7
581,1,1,5
583,2,2,7
584,1,1,5
585,2,2,7
586,2,2,7
587,1,1,5
588,2,2,7
589,2,2,7
590,1,1,5
591,2,2,7
592,2,2,7
593,1,1,5
594,5,2,7
595,2,2,7
596,1,1,5
597,5,2,7
598,2,2,7
599,1,1,5
600,2,2,7
601,2,2,7
602,1,1,5
603,2,2,7
604,2,2,7
605,1,1,5
606,2,2,7
607,2,2,7
608,1,1,5
609,2,2,7
610,2,2,7
611,1,1,5
612,2,2,7
613,2,2,7
614,1,1,5
615,2,2,7
616,2,2,7
617,1,1,5
618,2,2,7
619,2,2,7
620,1,1,5
621,2,2,7
622,2,2,7
623,1,1,5
624,2,2,7
625,2,2,7
626,1,1,5
627,2,2,7
628,2,2,7
629,1,1,5
630,2,2,7
631,2,2,7
632,1,1,5
633,2,2,7
635,1,1,5
636,2,2,7
637,2,2,7
638,1,1,5
639,2,2,7
640,2,2,7
641,1,1,5
642,2,2,7
643,2,2,7
644,1,1,5
645,2,2,7
646,2,2,7
647,1,1,5
648,5,2,7
649,2,2,7
651,5,2,7
652,2,2,7
653,1,1,5
654,2,2,7
655,2,2,7
657,2,2,7
658,2,2,7
659,1,1,5
660,2,2,7
661,2,2,7
662,1,1,5
664,2,2,7
665,1,1,5
666,2,2,7
667,2,2,7
668,1,1,5
669,2,2,7
671,1,1,5
672,2,2,7
673,2,2,7
674,1,1,5
676,2,2,7
677,1,1,5
679,2,2,7
680,1,1,5
681,2,2,7
682,2,2,7
683,1,1,5
684,2,2,7
685,2,2,7
686,1,1,5
687,2,2,7
688,2,2,7
690,2,2,7
691,2,2,7
692,1,1,5
693,2,2,7
694,2,2,7
695,1,1,5
696,2,2,7
697,2,2,7
698,1,1,5
699,2,2,7
700,2,2,7
704,1,1,5
705,5,2,7
706,2,2,7
707,1,1,5
708,2,2,7
709,2,2,7
710,1,1,5
711,2,2,7
712,2,2,7
713,1,1,5
714,2,2,7
716,1,1,5
717,2,2,7
718,2,2,7
719,1,1,5
721,2,2,7
722,1,1,5
723,2,2,7
724,2,2,7
725,1,1,5
726,2,2,7
727,2,2,7
728,1,1,5
729,2,2,7
730,2,2,7
731,1,1,5
732,2,2,7
733,2,2,7
734,1,1,5
735,2,2,7
736,2,2,7
738,2,2,7
739,2,2,7
740,1,1,5
