,y,prediction
1,2,2
2,1,1
3,3,2
4,2,2
5,1,1
6,2,2
7,2,2
8,1,1
9,5,2
10,2,2
11,1,1
12,5,2
13,2,2
14,1,1
15,2,2
16,2,2
17,1,1
18,5,2
19,2,2
21,5,2
22,2,2
23,1,1
24,2,2
25,2,2
26,1,1
27,5,2
29,1,1
30,5,2
31,2,2
32,1,1
33,2,2
34,2,2
35,1,1
36,5,2
38,1,1
39,5,2
40,2,2
41,1,1
42,2,2
43,2,2
44,1,1
45,5,2
46,2,2
47,1,1
48,5,2
49,2,2
50,1,1
51,2,2
52,2,2
53,1,1
54,5,2
55,2,2
56,1,1
57,5,2
58,2,2
59,1,1
60,2,2
61,2,2
62,1,1
64,2,2
65,1,1
66,5,2
67,2,2
68,1,1
69,2,2
70,2,2
71,1,1
72,5,2
73,2,2
74,1,1
75,5,2
78,2,2
79,2,2
80,1,1
81,5,2
82,2,2
83,1,1
84,5,2
85,2,2
86,1,1
87,2,2
88,2,2
89,1,1
90,2,2
91,2,2
92,1,1
93,2,2
95,1,1
96,2,2
97,2,2
98,1,1
99,2,2
100,2,2
101,1,1
102,2,2
103,2,2
104,1,1
105,2,2
106,2,2
107,1,1
108,5,2
109,2,2
110,1,1
111,5,2
113,1,1
115,2,2
116,1,1
117,2,2
118,2,2
119,1,1
120,2,2
122,1,1
124,2,2
125,1,1
126,2,2
127,2,2
128,1,1
130,2,2
131,1,1
132,2,2
133,2,2
134,1,1
135,2,2
137,1,1
139,2,2
140,1,1
141,2,2
142,2,2
143,1,1
144,2,2
145,2,2
147,2,2
148,2,2
149,1,1
150,2,2
151,2,2
152,1,1
153,2,2
154,2,2
155,1,1
156,2,2
157,2,2
158,1,1
160,2,2
161,1,1
162,5,2
163,2,2
164,1,1
165,5,2
166,2,2
167,1,1
168,2,2
169,2,2
170,1,1
171,2,2
172,2,2
173,1,1
174,2,2
175,2,2
176,1,1
177,2,2
178,2,2
179,1,1
180,2,2
181,2,2
182,1,1
183,2,2
184,2,2
185,1,1
188,1,1
189,2,2
190,2,2
191,1,1
192,2,2
193,2,2
194,1,1
195,2,2
196,2,2
197,1,1
198,2,2
199,2,2
200,1,1
201,2,2
202,2,2
203,1,1
205,2,2
206,1,1
207,2,2
208,2,2
209,1,1
210,2,2
211,2,2
212,1,1
214,2,2
215,1,1
216,5,2
217,2,2
218,1,1
219,5,2
220,2,2
221,1,1
222,2,2
223,2,2
224,1,1
225,5,2
226,2,2
227,1,1
228,5,2
229,2,2
231,2,2
232,2,2
233,1,1
234,5,2
235,2,2
236,1,1
237,5,2
238,2,2
239,1,1
240,2,2
241,2,2
242,1,1
243,5,2
244,2,2
245,1,1
248,1,1
249,2,2
250,2,2
251,1,1
252,2,2
253,2,2
254,1,1
255,2,2
256,2,2
257,1,1
258,2,2
259,2,2
260,1,1
261,2,2
262,2,2
263,1,1
264,2,2
265,2,2
266,1,1
267,2,2
268,2,2
269,1,1
271,2,2
272,1,1
273,5,2
274,2,2
275,1,1
276,2,2
277,2,2
278,1,1
279,5,2
280,2,2
281,1,1
282,5,2
283,2,2
284,1,1
286,2,2
287,1,1
288,5,2
289,2,2
290,1,1
292,2,2
293,1,1
294,2,2
295,2,2
296,1,1
298,2,2
299,1,1
300,5,2
301,2,2
302,1,1
303,2,2
304,2,2
305,1,1
306,2,2
307,2,2
308,1,1
309,2,2
310,2,2
311,1,1
312,2,2
313,2,2
314,1,1
315,2,2
316,2,2
317,1,1
318,2,2
319,2,2
320,1,1
323,1,1
324,5,2
325,2,2
326,1,1
327,5,2
328,2,2
329,1,1
330,2,2
331,2,2
332,1,1
333,2,2
335,1,1
336,2,2
337,2,2
338,1,1
339,2,2
341,1,1
342,2,2
343,2,2
344,1,1
345,2,2
346,2,2
347,1,1
348,2,2
349,2,2
350,1,1
351,2,2
352,2,2
353,1,1
354,2,2
355,2,2
356,1,1
357,2,2
358,2,2
359,1,1
360,2,2
361,2,2
362,1,1
363,2,2
364,2,2
365,1,1
366,2,2
367,2,2
368,1,1
369,2,2
370,2,2
371,1,1
372,2,2
373,2,2
374,1,1
375,2,2
376,2,2
377,1,1
378,5,2
379,2,2
380,1,1
381,5,2
382,2,2
383,1,1
384,2,2
385,2,2
386,1,1
387,2,2
388,2,2
389,1,1
390,2,2
391,2,2
393,2,2
394,2,2
396,2,2
397,2,2
398,1,1
400,2,2
401,1,1
402,2,2
403,2,2
405,2,2
406,2,2
407,1,1
408,2,2
409,2,2
410,1,1
411,2,2
413,1,1
416,1,1
417,2,2
418,2,2
420,2,2
421,2,2
422,1,1
423,2,2
424,2,2
425,1,1
426,2,2
427,2,2
428,1,1
429,2,2
430,2,2
431,1,1
432,5,2
433,2,2
434,1,1
435,5,2
436,2,2
437,1,1
438,2,2
439,2,2
440,1,1
442,2,2
443,1,1
444,5,2
445,2,2
446,1,1
447,2,2
448,2,2
449,1,1
450,5,2
451,2,2
452,1,1
453,5,2
455,1,1
456,2,2
457,2,2
459,5,2
460,2,2
461,1,1
463,2,2
464,1,1
465,2,2
466,2,2
468,2,2
469,2,2
470,1,1
471,2,2
472,2,2
473,1,1
474,2,2
475,2,2
476,1,1
477,2,2
478,2,2
479,1,1
480,2,2
481,2,2
482,1,1
483,2,2
484,2,2
485,1,1
486,5,2
488,1,1
489,5,2
490,2,2
491,1,1
492,2,2
493,2,2
494,1,1
497,1,1
498,2,2
499,2,2
500,1,1
501,2,2
502,2,2
503,1,1
504,2,2
506,1,1
507,2,2
508,2,2
509,1,1
511,2,2
514,2,2
516,2,2
517,2,2
518,1,1
519,2,2
520,2,2
521,1,1
522,2,2
523,2,2
524,1,1
525,2,2
526,2,2
527,1,1
528,2,2
529,2,2
530,1,1
531,2,2
532,2,2
533,1,1
535,2,2
536,1,1
538,2,2
539,1,1
540,5,2
541,2,2
543,5,2
545,1,1
548,1,1
549,2,2
550,2,2
551,1,1
552,2,2
553,2,2
554,1,1
555,2,2
556,2,2
557,1,1
558,2,2
559,2,2
560,1,1
