,y,prediction
0,2,2
1,2,2
2,2,2
3,2,2
4,2,2
5,2,2
6,2,2
7,2,2
9,2,2
10,2,2
11,2,2
12,2,2
13,2,2
15,2,2
16,2,2
18,2,2
19,1,1
20,1,1
21,1,1
22,2,2
23,2,2
24,2,2
25,2,2
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
32,2,2
33,2,2
34,2,2
35,2,2
36,2,2
37,1,1
38,2,2
39,2,2
40,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,1,1
47,2,2
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,2,2
54,2,2
56,2,2
57,2,2
58,1,1
59,1,1
60,1,1
62,2,2
63,1,1
64,2,2
65,2,2
66,1,1
67,1,1
68,1,1
69,1,1
70,2,2
71,1,1
72,2,2
73,2,1
74,1,1
75,2,2
78,2,2
79,1,1
80,1,1
81,1,1
82,2,2
83,2,2
84,1,1
85,2,2
87,2,2
88,1,1
89,1,1
91,2,2
92,1,1
93,1,1
94,2,2
95,2,2
96,1,1
97,1,1
98,1,1
99,2,2
100,2,2
101,1,1
102,1,1
103,1,1
104,1,1
105,2,2
107,1,1
108,2,2
109,1,1
110,1,1
112,1,1
113,1,1
115,1,1
116,1,1
117,2,2
119,2,2
120,1,1
121,2,2
122,2,2
123,1,1
124,1,1
125,1,1
126,2,2
127,2,2
128,1,1
129,2,2
130,1,1
131,2,2
132,2,2
133,1,1
134,2,2
135,2,1
136,1,1
137,1,1
138,2,2
139,1,1
140,1,1
141,2,2
142,1,1
143,1,1
145,1,1
146,2,2
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,1,1
154,1,1
155,1,1
156,2,2
157,1,1
158,1,1
159,1,1
160,1,1
161,2,2
162,2,2
163,1,1
164,2,2
165,1,1
166,1,1
167,2,2
170,1,1
171,2,2
172,2,2
173,1,1
174,1,1
175,1,1
176,1,1
177,2,2
178,1,1
179,1,1
180,2,2
181,2,2
182,2,2
183,1,1
184,2,1
185,1,1
186,2,2
187,1,1
188,1,1
189,1,1
190,2,2
191,1,1
192,1,1
193,2,2
194,2,2
195,1,1
196,2,2
197,2,2
198,2,2
201,2,2
202,2,2
204,1,1
205,2,2
206,1,1
207,2,2
208,1,1
209,1,1
210,2,2
211,1,1
212,2,2
214,2,2
215,2,2
216,1,1
217,1,1
218,2,2
219,2,2
220,1,1
221,1,1
222,1,1
223,2,2
224,1,1
225,1,1
226,1,1
227,1,1
228,1,1
229,2,2
231,1,1
232,1,1
233,2,2
234,1,1
235,1,1
236,2,2
237,2,2
238,1,1
239,2,2
241,1,1
242,1,1
243,1,1
245,1,1
246,1,1
247,1,1
248,1,1
249,1,1
250,2,2
251,1,1
252,2,2
253,2,2
254,2,2
255,2,2
256,2,2
257,2,2
258,2,2
259,2,2
260,2,2
261,2,2
262,2,2
263,2,2
264,2,2
265,2,2
266,1,1
267,1,1
268,1,1
270,1,1
271,1,1
272,2,2
273,1,1
274,2,2
275,1,1
276,1,1
277,2,2
278,1,1
279,1,1
280,2,2
282,2,2
285,1,1
286,1,1
287,1,1
288,1,1
289,1,1
290,1,1
292,1,1
293,1,1
294,1,1
295,1,1
296,1,1
297,2,2
299,1,1
300,2,2
301,1,1
302,2,2
303,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,1,1
309,1,1
310,1,1
311,1,1
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,2,2
318,1,1
319,1,1
321,2,2
322,1,1
323,2,2
324,1,1
325,1,1
326,1,1
327,1,1
328,2,2
329,2,2
330,2,2
331,1,1
333,1,1
334,1,1
336,1,1
337,2,2
338,1,1
339,2,2
340,1,1
341,1,1
342,1,1
343,2,2
344,1,1
