,y,prediction
1,1,1
2,1,1
4,1,1
5,1,1
7,1,1
8,1,1
9,1,1
11,1,1
12,1,1
13,2,2
14,1,1
15,2,2
16,1,1
17,1,1
18,2,2
19,1,1
20,2,2
21,1,1
22,1,1
23,1,1
24,2,2
26,2,2
27,1,1
28,2,2
29,1,1
32,2,2
33,1,1
34,2,2
35,2,2
36,1,1
37,2,2
40,1,1
42,1,1
43,1,1
44,2,2
45,2,1
46,1,1
47,2,2
48,1,1
49,2,2
50,1,1
51,2,2
52,1,1
53,2,2
54,1,1
56,2,2
60,2,2
61,1,1
62,2,2
63,2,2
64,1,1
65,1,1
66,2,2
67,1,1
69,1,1
71,2,2
72,1,1
73,1,1
74,1,1
76,2,2
82,1,1
83,1,1
84,1,1
85,2,2
86,1,1
88,1,1
90,2,2
92,1,1
93,1,1
94,1,1
95,1,1
97,1,1
98,2,2
99,1,1
100,1,1
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,2,2
107,1,1
108,2,2
109,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,2,2
117,2,2
118,1,1
119,2,2
120,1,1
122,2,2
123,2,2
126,1,1
128,1,1
130,2,2
132,2,2
133,1,1
135,1,1
136,2,2
137,1,1
139,2,2
140,2,2
141,1,1
142,2,2
143,2,2
144,1,1
145,1,1
146,1,1
147,2,2
148,1,1
149,2,2
150,1,1
151,1,1
152,1,1
153,2,2
154,1,1
155,1,1
156,1,1
158,1,1
160,1,1
162,2,2
164,1,1
168,1,1
169,1,1
170,1,1
171,1,1
172,1,1
173,1,1
174,1,1
175,1,1
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,1,1
184,1,1
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
203,1,1
204,2,2
205,1,1
207,1,1
209,1,1
211,1,1
212,2,2
213,1,1
214,2,2
215,1,1
216,2,2
218,1,1
219,1,1
220,1,1
222,1,1
223,1,1
224,1,1
225,1,1
226,1,1
227,1,1
228,2,2
229,1,1
231,1,1
232,2,2
233,1,1
234,1,1
235,1,1
236,2,2
237,1,1
238,2,2
239,1,1
240,2,2
241,1,1
243,1,1
244,2,2
245,1,1
246,2,2
247,1,1
248,2,2
249,1,1
250,2,2
251,2,2
252,1,1
253,2,2
254,1,1
259,2,2
261,2,2
262,1,1
263,2,2
264,1,1
266,1,1
267,1,1
268,1,1
269,1,1
270,1,1
271,1,1
272,1,1
273,1,1
274,1,1
275,1,1
276,2,2
277,1,1
279,1,1
280,2,2
281,1,1
282,1,1
283,1,1
284,2,2
285,1,1
286,2,2
287,1,1
289,1,1
290,1,1
291,1,1
292,2,2
293,1,1
294,2,2
296,2,2
298,2,2
299,2,2
300,1,1
301,2,2
302,1,1
303,2,2
304,1,1
305,1,1
306,2,2
307,2,2
308,1,1
309,2,2
310,1,1
311,2,2
312,1,1
313,1,1
314,1,1
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
323,1,1
324,2,2
325,1,1
326,2,2
327,1,1
328,2,2
330,1,1
331,1,1
332,2,2
333,1,1
335,1,1
336,2,2
338,1,1
339,1,1
340,2,2
341,1,1
342,2,2
343,1,1
344,2,2
345,1,1
346,2,2
347,2,2
348,1,1
349,2,1
350,1,1
351,2,1
352,1,1
354,2,2
355,2,2
356,1,1
359,2,2
360,1,1
361,1,1
362,1,1
363,1,1
365,1,1
366,2,1
367,1,1
368,2,2
369,1,1
370,2,2
372,1,1
373,2,2
374,1,1
375,2,2
377,1,1
379,2,2
382,1,1
383,2,2
384,1,1
385,1,1
387,2,2
388,1,1
389,2,2
391,2,2
392,1,1
393,2,2
397,1,1
398,1,1
399,1,1
400,1,1
401,2,2
402,1,1
403,1,1
405,1,1
406,1,1
407,1,1
408,1,1
410,1,1
411,1,1
412,2,2
413,1,1
415,1,1
416,2,2
418,2,2
420,1,1
421,2,2
422,1,1
424,1,1
425,1,1
426,2,2
427,2,2
428,1,1
429,2,2
