,y,prediction
0,2,2
1,1,1
2,1,1
4,1,1
6,1,1
7,1,1
8,2,2
10,1,1
11,1,1
12,1,1
13,2,2
14,1,1
15,1,1
16,1,1
17,2,2
18,2,2
19,2,2
20,1,1
22,1,1
24,1,1
26,1,1
27,1,1
28,1,1
29,1,1
32,1,1
33,1,1
34,1,1
35,1,1
37,2,2
38,1,1
39,1,1
41,1,1
42,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
54,2,2
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
70,1,1
71,1,1
72,1,1
75,1,1
76,1,1
77,1,1
78,2,2
79,1,1
80,1,1
81,2,2
83,1,1
84,1,1
85,1,1
86,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
112,1,1
113,1,1
114,2,2
116,1,1
117,1,1
118,1,1
119,1,1
120,2,2
121,1,1
122,2,2
123,1,1
124,1,1
125,1,1
126,1,1
128,1,1
129,1,1
130,1,1
132,1,1
133,1,1
134,1,1
136,1,1
138,2,2
142,1,1
143,1,1
144,1,1
145,1,1
146,1,1
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
153,1,1
154,1,1
155,1,1
156,1,1
157,1,1
158,1,1
159,1,1
162,1,1
163,1,1
165,1,1
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
172,1,1
173,1,1
174,1,1
175,1,1
176,1,1
178,1,1
179,1,1
182,1,1
184,1,1
186,1,1
187,1,1
188,1,1
189,1,1
191,1,1
192,1,1
193,1,1
195,1,1
196,1,1
198,1,1
200,1,1
201,1,1
202,1,1
203,1,1
204,1,1
206,1,1
209,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
216,1,1
220,1,1
221,2,2
222,1,1
223,1,1
224,1,1
226,1,1
227,1,1
228,2,2
229,1,1
230,1,1
232,1,1
234,1,1
235,1,1
236,1,1
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,2,2
245,1,1
246,1,1
247,1,1
248,1,1
250,1,1
251,2,2
252,1,1
253,1,1
254,1,1
256,1,1
257,1,1
258,1,1
259,1,1
260,1,1
261,2,2
262,1,1
263,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,2,2
270,1,1
271,2,2
272,1,1
273,1,1
275,1,1
277,1,1
278,1,1
280,2,2
281,1,1
282,1,1
284,1,1
286,1,1
287,1,1
288,1,1
290,1,1
291,1,1
294,1,1
295,1,1
296,1,1
297,1,1
298,1,1
301,1,1
303,1,1
305,1,1
306,1,1
308,1,1
309,1,1
310,1,1
312,1,1
313,1,1
314,1,1
315,2,2
316,1,1
318,1,1
319,1,1
320,1,1
321,1,1
322,1,1
324,1,1
325,1,1
326,1,1
327,2,2
328,1,1
329,1,1
330,2,2
331,1,1
332,1,1
335,1,1
336,1,1
337,1,1
339,1,1
340,1,1
341,1,1
343,1,1
344,1,1
345,1,1
346,1,1
347,1,1
348,1,1
349,1,1
351,1,1
352,1,1
353,1,1
354,1,1
355,1,1
358,1,1
360,1,1
361,1,1
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
370,1,1
371,1,1
372,1,1
373,1,1
374,1,1
375,1,1
376,1,1
378,1,1
379,1,1
380,2,2
381,1,1
383,1,1
384,1,1
387,1,1
388,1,1
390,1,1
391,1,1
392,1,1
393,1,1
394,1,1
396,1,1
397,1,1
398,1,1
399,2,2
400,1,1
401,1,1
402,2,2
403,1,1
405,1,1
406,1,1
407,1,1
408,1,1
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,2,2
415,1,1
416,1,1
418,1,1
420,1,1
422,2,2
424,1,1
425,1,1
426,1,1
427,1,1
428,1,1
429,1,1
430,1,1
432,1,1
433,1,1
434,1,1
435,1,1
437,1,1
438,1,1
440,1,1
441,1,1
442,1,1
443,1,1
444,1,1
445,1,1
446,1,1
447,1,1
448,1,1
449,1,1
450,1,1
452,1,1
453,1,1
454,1,1
456,1,1
457,1,1
458,1,1
459,1,1
460,1,1
461,1,1
462,1,1
463,1,1
464,1,1
465,1,1
466,1,1
467,1,1
468,1,1
469,1,1
471,1,1
472,1,1
474,1,1
476,1,1
477,1,1
478,1,1
479,1,1
480,1,1
481,1,1
482,1,1
483,1,1
485,1,1
486,1,1
487,1,1
488,1,1
489,1,1
490,1,1
491,2,2
492,2,2
493,1,1
494,1,1
496,1,1
497,1,1
499,1,1
501,1,1
502,1,1
503,1,1
504,1,1
505,2,2
506,1,1
507,1,1
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
514,1,1
515,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,1,1
522,1,1
523,2,2
524,1,1
525,1,1
527,1,1
528,1,1
529,1,1
530,1,1
531,1,1
532,2,2
533,1,1
534,2,2
535,1,1
536,1,1
537,1,1
538,1,1
539,1,1
540,1,1
541,1,1
542,2,2
543,1,1
545,1,1
546,1,1
548,1,1
550,1,1
551,1,1
552,1,1
553,1,1
554,1,1
555,1,1
557,1,1
558,1,1
559,1,1
560,1,1
562,1,1
563,1,1
564,1,1
565,2,2
567,1,1
569,1,1
570,1,1
571,1,1
572,1,1
574,1,1
575,1,1
576,1,1
577,1,1
578,1,1
580,1,1
581,1,1
583,1,1
584,1,1
586,1,1
587,1,1
589,1,1
590,2,2
591,1,1
592,1,1
593,2,2
594,1,1
595,2,2
596,1,1
598,2,2
599,2,2
600,1,1
601,1,1
602,1,1
604,1,1
605,1,1
606,1,1
607,1,1
608,1,1
609,1,1
610,1,1
611,1,1
612,1,1
613,2,2
616,1,1
618,1,1
619,1,1
620,1,1
621,1,1
622,1,1
623,1,1
624,1,1
625,1,1
626,1,1
627,1,1
628,1,1
629,1,1
630,1,1
631,1,1
632,1,1
633,1,1
634,1,1
635,1,1
636,1,1
638,1,1
639,1,1
641,1,1
645,1,1
646,1,1
647,1,1
648,1,1
649,1,1
651,1,1
652,1,1
653,2,2
655,1,1
656,1,1
657,1,1
658,1,1
659,1,1
660,1,1
661,1,1
663,2,2
664,1,1
665,1,1
666,1,1
667,1,1
668,1,1
669,1,1
670,1,1
671,1,1
673,1,1
674,1,1
676,1,1
677,1,1
678,1,1
679,1,1
680,1,1
681,1,1
682,1,1
683,1,1
685,1,1
686,1,1
687,1,1
688,1,1
689,1,1
691,1,1
692,1,1
693,1,1
694,2,2
695,1,1
696,1,1
697,2,2
698,2,2
699,1,1
700,2,2
701,1,1
702,1,1
703,1,1
704,1,1
705,1,1
706,1,1
707,1,1
708,1,1
709,1,1
710,1,1
711,1,1
712,1,1
713,1,1
714,1,1
715,1,1
716,1,1
718,1,1
719,1,1
720,1,1
721,1,1
722,1,1
723,1,1
724,1,1
725,2,2
728,1,1
729,1,1
731,1,1
732,2,2
734,1,1
735,1,1
736,1,1
737,2,2
738,1,1
739,1,1
740,1,1
741,1,1
742,1,1
743,1,1
744,1,1
745,1,1
746,1,1
747,1,1
748,2,2
749,1,1
750,1,1
751,1,1
752,1,1
753,1,1
754,1,1
755,1,1
756,1,1
757,1,1
758,1,1
759,1,1
760,1,1
761,1,1
762,1,1
763,1,1
765,1,1
766,1,1
767,1,1
769,1,1
770,1,1
771,1,1
773,1,1
774,1,1
775,1,1
776,2,2
777,1,1
778,1,1
780,1,1
781,1,1
782,1,1
784,1,1
786,1,1
787,1,1
788,2,2
792,1,1
793,1,1
794,2,2
795,2,2
796,1,1
798,2,2
799,1,1
800,1,1
801,1,1
802,2,2
803,1,1
804,1,1
806,1,1
807,1,1
808,1,1
809,1,1
810,1,1
811,1,1
813,2,2
814,2,2
815,1,1
