,y,prediction
0,3,5
2,1,1
3,3,5
4,2,2
5,1,1
6,2,2
7,2,2
8,1,1
9,5,2
10,2,2
11,1,1
12,5,2
13,2,2
14,1,1
15,2,2
16,2,2
17,1,1
18,5,2
19,2,2
20,1,1
21,5,2
22,2,2
23,1,1
24,2,2
25,2,2
26,1,1
27,5,2
28,2,2
29,1,1
30,5,2
31,2,2
32,1,1
33,2,2
34,2,2
35,1,1
36,5,2
37,2,2
38,1,1
39,5,2
40,2,2
41,1,1
42,2,2
43,2,2
44,1,1
45,5,2
46,2,2
47,1,1
48,5,2
49,2,2
50,1,1
51,2,2
52,2,2
53,1,1
54,5,2
55,2,2
56,1,1
57,5,2
59,1,1
60,2,2
61,2,2
62,1,1
63,5,2
64,2,2
65,1,1
67,2,2
68,1,1
69,2,2
70,2,2
71,1,1
72,5,2
73,2,2
74,1,1
75,5,2
76,2,2
77,1,1
78,2,2
79,2,2
80,1,1
81,5,2
83,1,1
84,5,2
85,2,2
86,1,1
88,2,2
89,1,1
90,2,2
91,2,2
92,1,1
93,2,2
94,2,2
95,1,1
97,2,2
98,1,1
99,2,2
100,2,2
101,1,1
102,2,2
103,2,2
104,1,1
105,2,2
107,1,1
108,5,2
109,2,2
110,1,1
111,5,2
112,2,2
113,1,1
114,2,2
115,2,2
116,1,1
117,2,2
118,2,2
119,1,1
120,2,2
121,2,2
122,1,1
123,2,2
124,2,2
125,1,1
126,2,2
127,2,2
128,1,1
129,2,2
130,2,2
131,1,1
132,2,2
133,2,2
134,1,1
136,2,2
137,1,1
138,2,2
139,2,2
140,1,1
141,2,2
142,2,2
143,1,1
145,2,2
146,1,1
147,2,2
148,2,2
150,2,2
151,2,2
152,1,1
153,2,2
154,2,2
155,1,1
157,2,2
158,1,1
159,2,2
160,2,2
161,1,1
162,5,2
163,2,2
164,1,1
165,5,2
166,2,2
167,1,1
168,2,2
169,2,2
170,1,1
171,2,2
172,2,2
173,1,1
174,2,2
176,1,1
177,2,2
178,2,2
179,1,1
180,2,2
181,2,2
182,1,1
183,2,2
184,2,2
186,2,2
187,2,2
188,1,1
189,2,2
190,2,2
191,1,1
192,2,2
193,2,2
194,1,1
195,2,2
196,2,2
197,1,1
198,2,2
199,2,2
200,1,1
201,2,2
202,2,2
204,2,2
205,2,2
206,1,1
207,2,2
209,1,1
210,2,2
211,2,2
212,1,1
213,2,2
214,2,2
215,1,1
217,2,2
219,5,5
220,2,2
221,1,1
222,2,2
223,2,2
224,1,1
225,5,2
226,2,2
227,1,1
228,5,2
229,2,2
230,1,1
231,2,2
232,2,2
