,y,prediction,leaf
1499,2,1,291
447,2,1,440
633,1,1,438
2462,1,1,291
239,1,1,320
910,1,1,312
958,1,1,315
2583,1,1,296
443,1,1,443
2439,1,1,315
1068,1,1,315
1888,1,1,296
1940,1,1,315
510,1,1,296
1266,1,1,315
1347,1,1,296
1833,1,1,296
20,1,1,315
2065,1,1,314
776,1,1,480
602,1,1,296
1541,1,1,355
1899,1,1,296
794,1,1,315
2171,1,1,291
1805,1,1,289
524,1,1,296
1400,1,1,296
2118,1,1,315
1472,1,1,296
947,1,1,315
1075,1,1,315
2562,1,1,314
179,1,1,321
1116,1,1,296
1657,1,1,289
922,1,1,246
916,1,1,315
1129,1,1,296
1549,1,1,179
2369,1,1,296
481,1,1,481
1189,1,1,296
935,1,1,315
625,1,1,296
2212,1,1,303
60,1,1,315
2220,1,1,291
1138,1,1,296
195,1,1,344
295,2,1,344
571,1,1,399
2365,1,1,291
636,1,1,481
686,1,1,511
1800,1,1,289
2185,1,1,315
2488,1,1,296
797,1,1,481
1565,1,1,288
2515,1,1,296
1813,1,1,289
811,1,1,315
1552,2,1,336
1424,1,1,315
829,1,1,245
579,1,1,315
1508,1,1,291
10,1,1,315
112,1,1,315
285,2,1,433
1566,1,1,288
2018,1,1,289
740,1,1,298
1972,1,1,291
43,1,1,315
2091,1,1,315
1254,1,1,315
546,1,1,296
147,1,1,315
413,2,1,437
1299,1,1,296
2302,1,1,296
472,2,1,289
407,1,1,439
1314,1,1,303
194,1,1,323
2502,1,1,296
1397,1,1,289
2329,1,1,291
2409,1,1,289
2149,1,1,296
2328,1,1,291
1858,1,1,312
414,1,1,439
490,1,1,487
1383,1,1,289
971,1,1,315
1578,1,1,288
570,1,1,438
798,1,1,481
1027,1,1,315
2168,1,1,291
2433,1,1,315
615,1,1,291
1226,1,1,291
2222,1,1,289
1463,1,1,296
69,1,1,315
1790,1,1,291
1637,1,1,289
1592,1,1,315
545,1,1,487
1139,1,1,296
85,1,1,296
1569,1,1,178
1321,1,1,303
2295,1,1,289
2318,1,1,291
1791,1,1,291
1007,1,1,315
1468,1,1,296
1630,1,1,289
1132,1,1,296
1515,1,1,291
71,1,1,315
2572,1,1,291
836,1,1,315
32,1,1,296
800,1,1,481
2200,1,1,302
2096,1,1,315
292,1,1,315
2161,1,1,291
370,1,1,315
1925,1,1,315
1029,1,1,315
182,1,1,323
678,1,1,315
1363,1,1,296
16,1,1,315
