,y,prediction,leaf
1499,2,1,18
447,2,1,26
633,1,1,26
2462,1,1,18
239,1,1,21
910,1,1,19
958,1,1,19
2583,1,1,18
443,1,1,26
2439,1,1,19
1068,1,1,19
1888,1,1,18
1940,1,1,19
510,1,1,18
1266,1,1,19
1347,1,1,18
1833,1,1,18
20,1,1,19
2065,1,1,19
776,1,1,31
602,1,1,18
1541,1,1,23
1899,1,1,18
794,1,1,19
2171,1,1,18
1805,1,1,18
524,1,1,18
1400,1,1,18
2118,1,1,19
1472,1,1,18
947,1,1,19
1075,1,1,19
2562,1,1,19
179,1,1,20
1116,1,1,18
1657,1,1,18
922,1,1,31
916,1,1,19
1129,1,1,18
1549,1,1,23
2369,1,1,18
481,1,1,31
1189,1,1,18
935,1,1,19
625,1,1,18
2212,1,1,18
60,1,1,19
2220,1,1,18
1138,1,1,18
195,1,1,20
295,2,1,20
571,1,1,25
2365,1,1,18
636,1,1,31
686,1,1,31
1800,1,1,18
2185,1,1,19
2488,1,1,18
797,1,1,31
1565,1,1,18
2515,1,1,18
1813,1,1,18
811,1,1,19
1552,2,1,20
1424,1,1,19
829,1,1,31
579,1,1,19
1508,1,1,18
10,1,1,19
112,1,1,19
285,2,1,26
1566,1,1,18
2018,1,1,18
740,1,1,18
1972,1,1,18
43,1,1,19
2091,1,1,19
1254,1,1,19
546,1,1,18
147,1,1,19
413,2,1,26
1299,1,1,18
2302,1,1,18
472,2,1,18
407,1,1,26
1314,1,1,18
194,1,1,20
2502,1,1,18
1397,1,1,18
2329,1,1,18
2409,1,1,18
2149,1,1,18
2328,1,1,18
1858,1,1,19
414,1,1,26
490,1,1,31
1383,1,1,18
971,1,1,19
1578,1,1,18
570,1,1,26
798,1,1,31
1027,1,1,19
2168,1,1,18
2433,1,1,19
615,1,1,18
1226,1,1,18
2222,1,1,18
1463,1,1,18
69,1,1,19
1790,1,1,18
1637,1,1,18
1592,1,1,19
545,1,1,31
1139,1,1,18
85,1,1,18
1569,1,1,23
1321,1,1,18
2295,1,1,18
2318,1,1,18
1791,1,1,18
1007,1,1,19
1468,1,1,18
1630,1,1,18
1132,1,1,18
1515,1,1,18
71,1,1,19
2572,1,1,18
836,1,1,19
32,1,1,18
800,1,1,31
2200,1,1,18
2096,1,1,19
292,1,1,19
2161,1,1,18
370,1,1,19
1925,1,1,19
1029,1,1,19
182,1,1,20
678,1,1,19
1363,1,1,18
16,1,1,19
2106,1,1,19
2232,1,1,18
2223,1,1,18
2367,1,1,18
1388,1,1,18
1161,1,1,18
1512,1,1,18
1386,1,1,18
1290,1,1,18
1455,1,1,18
1292,1,1,19
170,1,1,20
457,1,1,19
938,1,1,19
307,1,1,19
1171,1,1,19
1082,1,1,19
2565,1,1,18
28,1,1,19
2207,1,1,18
1241,1,1,18
357,1,1,26
1728,1,1,19
2347,1,1,26
1627,1,1,18
1427,1,1,19
1618,1,1,20
2513,1,1,18
1478,1,1,18
2316,1,1,18
1507,1,1,18
1828,1,1,31
2383,1,1,18
550,1,1,19
553,2,1,31
1419,1,1,19
243,1,1,20
438,2,1,19
651,1,1,26
603,1,1,18
337,1,1,21
1648,1,1,19
1595,1,1,19
2527,1,1,19
2551,1,1,18
515,1,1,31
2139,1,1,18
1707,1,1,18
1465,1,1,18
