,y,prediction,leaf
0,1,1,274
1,1,1,274
3,1,1,274
4,1,1,274
5,1,1,259
6,1,1,259
7,1,1,274
8,1,1,274
9,1,1,259
10,1,1,274
11,1,1,274
12,1,1,259
13,1,1,274
14,1,1,274
15,1,1,266
16,1,1,275
17,1,1,275
19,1,1,275
20,1,1,274
21,1,1,274
22,1,1,274
23,1,1,274
24,1,1,263
25,1,1,274
26,1,1,274
27,1,1,259
28,1,1,274
29,1,1,259
30,1,1,448
31,1,1,274
33,1,1,63
34,1,1,274
35,2,1,259
36,1,1,63
37,1,1,274
38,1,1,274
39,1,1,274
41,1,1,274
42,1,1,274
43,1,1,274
44,1,1,259
45,1,1,259
46,1,1,274
47,1,1,275
48,1,1,316
49,1,1,319
51,1,1,316
52,1,1,275
53,1,1,275
54,1,1,275
56,1,1,274
58,1,1,274
60,1,1,274
61,1,1,274
62,1,1,274
63,1,1,274
64,1,1,274
65,1,1,274
66,1,1,259
67,1,1,332
68,1,1,274
70,1,1,332
71,1,1,274
72,1,1,274
73,1,1,259
74,1,1,259
75,1,1,274
76,1,1,259
77,1,1,274
78,1,1,332
79,1,1,274
80,1,1,330
81,1,1,275
82,1,1,275
83,1,1,267
84,1,1,275
85,1,1,259
86,1,1,259
87,1,1,274
88,1,1,259
89,1,1,274
91,1,1,274
92,1,1,274
93,1,1,259
94,1,1,274
95,1,1,274
96,1,1,259
97,1,1,274
98,1,1,274
99,1,1,259
100,1,1,274
101,1,1,259
102,1,1,274
103,1,1,274
105,1,1,274
106,1,1,274
107,1,1,259
108,1,1,259
110,1,1,267
111,1,1,267
112,1,1,275
113,1,1,267
114,1,1,267
115,1,1,274
116,1,1,259
117,1,1,259
118,1,1,259
119,1,1,332
120,1,1,259
121,1,1,274
122,1,1,347
123,1,1,274
124,1,1,347
125,1,1,274
126,1,1,274
127,1,1,332
128,1,1,332
129,1,1,332
130,1,1,274
131,1,1,274
132,1,1,332
133,1,1,274
134,1,1,274
136,1,1,274
138,1,1,332
139,1,1,274
140,1,1,448
142,1,1,274
143,1,1,332
144,1,1,274
145,1,1,332
147,1,1,274
148,1,1,274
149,1,1,259
150,1,1,259
151,1,1,274
152,1,1,332
153,1,1,332
154,1,1,274
155,1,1,347
156,1,1,274
157,1,1,274
158,1,1,345
159,2,1,345
160,2,2,143
161,1,1,346
162,1,1,346
163,1,1,272
164,1,1,495
165,1,1,330
166,1,1,345
167,1,1,275
168,1,1,344
169,1,1,330
170,1,1,345
171,1,1,495
172,1,1,275
173,1,1,347
174,1,1,332
175,2,2,449
176,1,1,347
177,1,1,275
178,1,1,275
179,1,1,345
180,1,1,275
181,1,1,448
182,1,1,347
183,1,1,259
184,1,1,274
185,1,1,274
186,1,1,274
187,1,1,274
188,1,1,347
189,1,1,178
190,1,1,63
191,1,1,345
192,1,1,345
193,1,1,263
195,1,1,332
196,1,1,347
197,1,1,495
198,1,1,332
199,1,1,347
200,1,1,350
201,1,1,347
202,2,1,347
203,1,1,354
204,1,1,212
206,1,1,85
207,1,1,274
208,1,1,347
209,1,1,495
210,1,1,350
211,1,1,347
212,1,1,85
214,1,1,347
215,1,1,493
216,1,1,347
217,1,1,347
218,2,1,350
219,1,1,85
220,1,1,273
221,1,1,349
222,1,1,85
223,1,1,492
224,1,1,350
225,1,1,274
226,1,1,274
227,1,1,274
228,1,1,274
229,1,1,85
230,1,1,85
231,1,1,274
232,1,1,259
233,1,1,351
234,1,1,351
235,1,1,275
236,1,1,351
237,1,1,275
238,2,1,345
239,1,1,345
240,1,1,344
241,1,1,259
242,1,1,351
243,1,1,351
245,1,1,494
246,1,1,351
247,1,1,267
248,1,1,275
249,1,1,275
250,2,1,494
252,1,1,348
253,2,2,217
254,1,1,199
255,1,1,355
256,2,1,353
257,1,1,213
258,2,1,320
259,1,1,421
260,1,1,346
261,1,1,346
262,2,1,332
263,1,1,324
264,1,1,320
265,1,1,417
266,2,2,335
267,1,1,218
268,1,1,320
269,1,1,346
270,1,1,274
271,1,1,495
273,2,1,332
274,2,1,421
275,1,1,218
277,2,2,62
278,1,1,495
279,2,2,243
280,1,1,423
281,2,1,345
282,1,1,213
283,2,2,216
284,2,2,441
286,1,1,386
287,1,1,213
288,1,1,273
289,1,1,274
290,1,1,274
291,1,1,274
292,1,1,274
293,1,1,274
294,1,1,274
295,2,1,332
296,2,2,198
297,1,1,387
298,1,1,321
299,2,2,198
302,1,1,386
303,2,2,418
305,2,1,387
306,1,1,322
307,1,1,273
308,2,2,385
309,1,1,322
310,1,1,273
311,1,1,273
312,1,1,274
313,1,1,332
314,1,1,332
315,2,2,333
316,1,1,322
317,1,1,320
318,2,1,320
