,y,prediction
0,2,2
1,2,2
2,2,2
3,2,2
4,2,2
5,2,1
6,2,2
7,2,1
8,2,2
9,2,2
10,2,1
11,2,2
12,2,2
13,2,1
14,2,2
15,2,2
16,2,2
17,2,2
18,2,2
19,2,2
20,2,1
21,2,1
22,2,2
23,2,2
24,2,2
25,2,1
26,2,2
27,2,2
28,2,2
29,2,2
30,2,2
31,2,2
32,2,2
33,2,1
35,2,1
36,2,2
37,2,2
39,2,2
41,2,2
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,1
48,2,2
49,2,2
50,2,1
51,2,2
52,2,2
53,2,2
54,2,2
55,2,2
56,2,2
57,2,1
58,2,2
59,2,2
60,2,1
61,2,2
62,2,2
63,2,2
64,2,1
65,2,2
66,2,2
67,2,1
68,2,2
69,2,2
70,2,2
71,2,2
72,2,2
73,2,2
74,2,2
75,2,2
76,2,2
77,2,2
78,2,2
80,2,2
81,2,1
82,2,2
84,2,2
85,2,2
86,2,2
88,2,2
89,2,1
90,2,2
92,2,2
93,2,2
94,2,2
95,2,1
97,2,2
98,2,1
99,2,2
100,2,2
101,2,2
102,2,2
103,2,2
104,2,2
105,2,2
106,2,2
107,2,2
109,2,1
110,2,2
112,2,2
113,2,1
114,2,2
115,2,2
117,2,2
119,2,2
120,2,2
121,2,2
122,2,2
123,2,2
124,2,2
125,2,2
126,2,2
127,2,2
128,2,2
129,2,2
130,2,2
131,2,2
132,2,2
133,2,2
134,2,2
135,2,2
136,2,2
137,2,2
138,2,2
139,2,2
140,2,2
141,2,2
142,2,2
143,2,2
144,2,2
145,2,2
146,2,2
147,2,2
148,2,2
149,2,2
150,2,1
151,2,2
152,2,1
153,2,2
154,2,2
155,2,2
156,2,2
159,2,2
160,2,2
161,2,2
162,2,2
163,2,1
165,2,2
166,2,2
167,2,2
168,2,2
170,2,1
171,2,2
172,2,2
173,2,2
174,2,2
175,2,2
176,2,1
177,2,2
178,2,2
179,2,2
180,2,2
181,2,2
182,2,2
183,2,2
184,2,1
187,2,1
188,2,2
190,2,2
191,2,2
192,2,2
193,2,2
194,2,2
195,2,2
196,2,2
198,2,2
199,2,1
200,2,2
202,2,2
203,2,2
205,2,2
206,2,2
207,2,2
209,2,2
210,2,2
214,2,1
215,2,2
216,2,1
217,2,1
218,2,2
219,2,2
220,2,2
221,2,2
222,2,2
223,2,2
224,2,2
225,2,2
226,2,2
227,2,2
228,2,2
230,2,2
231,2,2
232,2,2
234,2,2
235,2,1
236,2,1
237,2,2
238,2,2
239,2,2
240,2,2
241,2,2
242,2,2
243,2,2
244,2,2
245,2,2
246,2,2
247,2,2
248,2,2
250,2,1
251,2,2
253,2,2
254,2,2
255,2,2
256,2,2
257,2,2
258,2,2
259,2,2
261,2,2
262,2,2
263,2,2
264,2,2
265,2,2
266,2,2
267,2,2
268,2,2
269,2,2
270,2,2
271,2,2
272,2,2
273,2,2
274,2,2
275,2,2
276,2,2
277,2,2
278,2,2
279,2,2
280,2,2
281,2,2
282,2,2
283,2,2
284,2,2
285,2,2
286,2,2
287,2,2
288,2,2
289,2,2
290,2,2
291,2,2
292,2,2
293,2,2
294,2,1
296,2,2
297,2,2
298,2,2
299,2,2
301,2,1
302,2,2
303,2,2
304,2,2
306,2,2
307,2,2
308,2,1
309,2,2
310,2,1
311,2,2
312,2,2
313,2,2
314,2,2
315,2,1
316,2,2
317,2,2
318,2,2
319,2,2
320,2,2
321,2,2
322,2,2
323,2,1
326,2,2
327,2,2
328,2,2
329,2,2
330,2,2
331,2,2
332,2,2
333,2,1
334,2,2
335,2,2
336,2,2
337,2,2
338,2,2
339,2,1
340,2,2
341,2,2
342,2,2
343,2,2
344,2,2
345,2,2
346,2,2
347,2,2
