,y,prediction,leaf
0,2,2,63
1,2,2,63
3,2,2,63
4,2,2,63
5,2,1,47
6,2,2,49
7,2,1,47
8,2,2,63
9,2,2,63
10,2,2,57
11,2,2,57
12,2,2,63
13,2,1,47
14,2,2,63
16,2,2,63
17,2,2,63
18,2,2,52
19,2,2,34
20,2,1,59
21,2,2,63
22,2,1,61
23,2,2,49
24,2,2,63
25,2,2,63
27,2,1,61
28,2,2,58
29,2,1,43
30,2,1,56
31,2,2,58
32,2,1,47
34,2,1,47
35,2,1,59
36,2,1,61
37,2,2,63
38,2,2,63
40,2,2,63
42,2,1,61
44,2,2,63
45,2,2,63
46,2,2,36
47,2,2,58
48,2,2,63
49,2,2,63
50,2,1,47
51,2,2,63
52,2,2,63
53,2,2,63
54,2,2,63
55,2,2,63
56,2,2,63
57,2,1,47
58,2,2,63
59,2,2,63
61,2,2,57
62,2,1,46
63,2,1,46
64,2,1,47
65,2,2,63
66,2,2,63
67,2,1,55
68,2,2,63
69,2,1,45
70,2,2,63
71,2,2,63
72,2,2,63
73,2,2,63
74,2,2,63
75,2,2,63
76,2,2,63
77,2,2,63
78,2,2,63
79,2,2,34
80,2,2,63
81,2,2,63
82,2,2,58
83,2,2,58
84,2,2,63
85,2,2,63
86,2,1,46
87,2,2,63
88,2,1,47
89,2,1,47
90,2,2,63
91,2,2,63
92,2,2,63
93,2,2,63
94,2,2,39
95,2,1,47
96,2,2,63
97,2,2,63
98,2,2,63
100,2,1,50
101,2,2,63
103,2,2,63
104,2,1,61
105,2,2,63
106,2,1,61
107,2,2,63
108,2,1,61
109,2,1,45
110,2,1,56
111,2,1,47
112,2,2,39
113,2,1,47
114,2,2,39
115,2,2,63
116,2,2,39
117,2,2,39
118,2,2,63
119,2,2,63
120,2,2,39
121,2,2,39
123,2,2,63
124,2,2,32
125,2,2,63
126,2,2,39
128,2,2,63
129,2,2,63
130,2,2,63
131,2,2,63
132,2,2,63
133,2,2,63
134,2,2,63
135,2,2,63
136,2,2,63
137,2,2,63
138,2,1,46
139,2,1,46
140,2,2,63
141,2,2,60
142,2,2,63
143,2,2,60
144,2,2,49
145,2,2,63
146,2,2,63
148,2,2,39
149,2,2,63
150,2,2,63
151,2,2,63
152,2,2,52
153,2,2,63
154,2,2,63
156,2,2,63
157,2,2,63
158,2,2,63
159,2,2,32
160,2,2,63
161,2,2,39
162,2,2,63
163,2,1,46
164,2,2,39
165,2,2,63
166,2,2,44
168,2,2,63
169,2,2,63
170,2,2,63
172,2,2,63
173,2,2,63
174,2,1,61
175,2,2,63
176,2,1,47
178,2,2,63
180,2,2,63
181,2,2,63
182,2,2,63
183,2,2,63
184,2,1,56
185,2,1,55
186,2,2,39
187,2,2,44
188,2,2,63
189,2,2,63
190,2,1,46
191,2,2,63
192,2,2,63
194,2,2,42
195,2,2,57
196,2,2,63
197,2,2,63
198,2,2,63
199,2,1,46
200,2,2,63
201,2,2,63
202,2,2,63
203,2,2,63
204,2,2,63
205,2,2,63
206,2,2,63
207,2,2,63
208,2,2,63
209,2,2,63
210,2,2,63
211,2,1,46
212,2,2,63
213,2,2,63
214,2,1,43
215,2,2,63
216,2,1,43
217,2,1,43
218,2,2,63
220,2,2,39
221,2,2,63
222,2,2,63
223,2,2,63
224,2,2,36
225,2,2,36
226,2,2,63
227,2,2,63
228,2,2,63
229,2,2,32
230,2,2,63
231,2,2,63
232,2,2,63
233,2,1,43
234,2,2,63
235,2,1,47
236,2,1,47
237,2,2,42
240,2,2,51
241,2,2,63
243,2,1,61
244,2,2,36
245,2,2,63
246,2,2,63
247,2,2,57
249,2,1,62
250,2,1,47
251,2,2,63
252,2,2,63
253,2,2,63
254,2,2,63
255,2,1,61
256,2,2,63
257,2,2,63
259,2,2,63
260,2,2,39
261,2,1,62
262,2,1,46
265,2,2,63
266,2,2,63
267,2,2,63
268,2,1,46
269,2,2,63
271,2,1,56
273,2,2,44
274,2,2,63
275,2,1,43
276,2,2,63
278,2,2,63
280,2,2,63
281,2,2,63
282,2,2,63
284,2,2,63
285,2,2,63
287,2,2,58
288,2,2,36
289,2,2,63
290,2,2,63
291,2,2,63
292,2,2,63
293,2,2,63
294,2,1,47
295,2,2,63
296,2,2,36
299,2,2,63
300,2,2,63
301,2,1,47
302,2,2,63
303,2,2,63
304,2,2,36
305,2,2,63
306,2,1,47
308,2,2,57
309,2,2,63
310,2,2,58
311,2,2,63
312,2,2,63
313,2,2,36
314,2,2,63
315,2,1,55
316,2,2,63
317,2,2,39
318,2,2,63
319,2,2,63
320,2,2,36
321,2,2,63
322,2,2,63
323,2,1,47
324,2,2,63
325,2,1,47
326,2,2,63
327,2,2,57
328,2,2,63
329,2,2,63
330,2,2,63
331,2,2,39
332,2,2,63
333,2,1,56
334,2,2,63
336,2,2,63
337,2,2,58
338,2,2,63
339,2,1,47
340,2,2,36
341,2,2,39
342,2,2,63
343,2,2,63
345,2,2,39
347,2,2,63
348,2,2,63
349,2,2,58
350,2,2,63
351,2,1,47
352,2,2,63
353,2,2,36
354,2,2,36
355,2,2,39
356,2,2,34
357,2,1,43
358,2,1,46
359,2,2,63
360,2,1,55
361,2,2,57
362,2,2,63
363,2,2,36
364,2,1,47
365,2,2,63
366,2,2,63
367,2,2,36
368,2,2,36
369,2,2,63
370,2,2,63
373,2,2,63
374,2,1,61
375,2,1,56
377,2,2,63
378,2,1,46
379,2,2,39
380,2,2,39
381,2,1,47
382,2,2,63
383,2,2,63
384,2,2,63
385,2,2,36
386,2,2,36
387,2,2,63
388,2,2,63
389,2,2,63
390,2,2,63
392,2,2,63
393,2,2,34
394,2,2,63
395,2,2,63
396,2,1,56
397,2,2,63
398,2,2,63
399,2,1,43
400,2,1,55
401,2,2,63
402,2,2,57
403,2,2,42
404,2,2,63
405,2,2,63
406,2,2,63
407,2,1,43
408,2,2,63
409,2,2,63
410,2,2,63
411,2,2,63
412,2,2,63
414,2,2,63
415,2,2,63
416,2,2,63
417,2,2,63
418,2,2,63
419,2,2,63
420,2,2,63
421,2,2,63
422,2,2,63
423,2,2,58
424,2,2,63
425,2,2,63
426,2,1,61
428,2,2,63
429,2,1,46
431,2,2,51
432,2,2,63
433,2,2,63
434,2,1,47
435,2,2,39
436,2,2,63
437,2,1,47
438,2,1,59
440,2,2,63
441,2,2,54
442,2,2,63
443,2,2,32
444,2,1,47
445,2,2,63
446,2,2,63
448,2,1,43
450,2,2,63
451,2,2,63
453,2,1,46
454,2,1,46
455,2,1,37
456,2,2,63
457,2,2,63
458,2,2,63
459,2,2,63
461,2,2,63
462,2,1,46
464,2,2,57
465,2,2,63
466,2,1,47
467,2,2,63
469,2,1,55
470,2,1,55
471,2,1,56
472,2,2,63
473,2,1,61
474,2,2,36
475,2,2,63
476,2,1,56
477,2,2,63
478,2,1,40
479,2,2,52
480,2,2,63
481,2,1,55
483,2,2,63
485,2,2,57
486,2,2,63
487,2,2,63
488,2,2,63
489,2,1,62
490,2,2,57
491,2,2,63
492,2,2,63
493,2,2,63
494,2,2,63
495,2,2,60
498,2,2,63
499,2,2,63
500,2,1,47
501,2,2,63
502,2,2,39
503,2,2,63
504,2,2,63
505,2,2,63
507,2,2,63
508,2,2,63
509,2,2,63
510,2,2,63
511,2,2,39
512,2,2,39
513,2,2,63
514,2,2,63
515,2,2,57
516,2,2,42
517,2,2,60
518,2,2,63
519,2,2,42
520,2,2,60
521,2,2,60
523,2,2,63
524,2,2,63
525,2,2,39
526,2,2,63
527,2,2,63
528,2,2,63
530,2,2,63
531,2,2,63
532,2,2,63
533,2,1,59
534,2,1,56
536,2,2,60
537,2,1,43
539,2,2,34
541,2,2,58
542,2,2,39
543,2,2,42
544,2,2,39
545,2,1,47
546,2,2,63
548,2,2,63
549,2,1,43
550,2,1,56
551,2,2,63
552,2,2,54
553,2,2,57
555,2,2,63
557,2,2,63
558,2,2,63
559,2,1,46
561,2,2,63
562,2,2,36
563,2,2,63
564,2,2,63
565,2,2,63
566,2,1,47
567,2,1,47
568,2,1,45
569,2,2,63
570,2,2,63
571,2,2,63
572,2,2,63
573,2,2,63
574,2,2,63
576,2,2,63
577,2,2,63
578,2,1,47
579,2,2,32
580,2,2,63
581,2,1,45
582,2,2,63
583,2,2,63
584,2,2,63
585,2,1,43
586,2,2,51
587,2,2,39
588,2,1,61
589,2,1,47
590,2,2,49
591,2,2,63
592,2,2,63
593,2,2,36
594,2,2,63
595,2,2,63
596,2,1,47
597,2,2,34
598,2,2,63
599,2,1,61
600,2,2,63
601,2,2,63
602,2,1,59
603,2,2,63
604,2,2,63
605,2,2,63
606,2,1,45
607,2,2,63
608,2,2,63
610,2,2,63
611,2,2,63
612,2,2,63
613,2,2,63
614,2,2,63
615,2,2,63
616,2,2,63
617,2,1,47
618,2,2,63
619,2,1,56
620,2,2,63
621,2,2,57
622,2,1,47
623,2,2,63
624,2,2,54
625,2,2,63
626,2,2,63
627,2,1,47
628,2,2,63
629,2,2,57
630,2,2,63
631,2,1,47
632,2,2,63
633,2,1,47
634,2,2,63
635,2,2,63
636,2,2,63
637,2,2,63
638,2,2,63
639,2,2,63
640,2,2,63
641,2,2,63
642,2,2,63
643,2,2,34
644,2,2,63
645,2,1,61
646,2,2,63
647,2,2,63
648,2,2,63
649,2,2,63
650,2,1,45
651,2,2,63
652,2,2,63
653,2,2,63
654,2,2,63
655,2,2,60
656,2,2,63
657,2,2,63
658,2,2,63
659,2,1,56
660,2,2,63
661,2,1,47
662,2,2,63
663,2,2,63
664,2,2,63
665,2,2,63
666,2,1,47
667,2,2,63
668,2,2,63
669,2,1,45
670,2,2,63
671,2,2,63
672,2,2,63
673,2,2,63
675,2,1,45
676,2,2,63
677,2,2,63
678,2,2,63
679,2,1,45
680,2,2,63
681,2,1,47
682,2,2,63
683,2,2,63
684,2,2,63
685,2,2,63
686,2,2,63
687,2,2,63
688,2,2,39
689,2,2,63
691,2,2,63
692,2,2,63
693,2,2,63
694,2,1,47
695,2,2,63
696,2,2,63
697,2,2,63
698,2,2,63
699,2,2,63
700,2,2,63
701,2,1,45
702,2,2,57
703,2,2,63
704,2,2,63
705,2,1,45
706,2,2,63
708,2,2,57
709,2,2,63
710,2,2,63
711,2,2,63
712,2,2,63
713,2,2,63
714,2,2,63
715,2,2,63
717,2,2,63
718,2,2,63
719,2,2,63
720,2,2,63
721,2,2,63
722,2,2,63
723,2,2,63
724,2,2,63
725,2,2,60
726,2,2,63
727,2,2,63
728,2,1,47
729,2,2,63
730,2,2,63
731,2,2,39
732,2,2,63
733,2,2,63
734,2,2,63
735,2,2,63
736,2,2,63
738,2,1,62
740,2,1,46
741,2,2,63
742,2,1,46
743,2,1,45
744,2,1,43
745,2,2,63
747,2,1,47
748,2,2,63
749,2,2,63
750,2,2,63
751,2,1,56
752,2,2,63
753,2,2,63
754,2,1,47
755,2,1,47
756,2,1,47
757,2,2,63
758,2,2,63
759,2,2,63
760,2,1,47
761,2,2,63
762,2,2,44
763,2,2,63
764,2,2,44
765,2,2,63
766,2,2,57
767,2,2,57
768,2,1,47
769,2,2,36
770,2,2,63
771,2,2,63
772,2,2,63
773,2,1,46
774,2,2,60
775,2,2,39
776,2,1,35
777,2,1,47
778,2,2,63
779,2,2,32
780,2,2,36
781,2,1,47
782,2,2,63
785,2,2,63
787,2,2,63
788,2,2,63
789,2,2,49
790,2,2,63
791,2,2,63
793,2,2,63
794,2,2,42
795,2,2,63
797,2,2,63
798,2,1,46
799,2,2,63
800,2,2,63
801,2,2,63
802,2,2,63
803,2,2,63
804,2,2,63
805,2,2,63
806,2,2,63
807,2,2,60
808,2,2,32
809,2,2,63
810,2,2,63
811,2,2,63
812,2,2,63
813,2,1,45
814,2,2,63
815,2,2,32
816,2,2,63
817,2,2,63
818,2,2,63
819,2,2,63
820,2,2,63
821,2,2,63
822,2,1,46
823,2,2,63
824,2,1,46
825,2,2,63
827,2,2,63
828,2,2,63
829,2,2,63
830,2,2,63
831,2,2,42
832,2,2,39
833,2,2,39
834,2,2,39
835,2,2,63
836,2,2,58
838,2,2,58
839,2,2,63
840,2,2,36
841,2,2,32
842,2,2,63
843,2,1,45
844,2,2,63
845,2,2,63
846,2,1,47
847,2,2,63
848,2,2,63
849,2,2,63
850,2,2,63
851,2,2,63
852,2,1,56
854,2,2,42
855,2,2,58
856,2,2,58
857,2,2,63
858,2,1,46
859,2,2,63
860,2,1,43
861,2,1,43
862,2,2,63
863,2,2,57
865,2,2,63
866,2,2,63
867,2,1,56
868,2,1,47
869,2,2,39
870,2,1,62
871,2,2,63
872,2,2,63
873,2,2,39
874,2,2,39
875,2,1,55
877,2,1,46
878,2,2,63
879,2,2,63
880,2,2,63
881,2,2,63
882,2,2,39
883,2,2,63
884,2,2,63
885,2,2,63
888,2,2,63
889,2,2,32
890,2,2,63
891,2,2,57
892,2,2,63
893,2,1,43
894,2,2,63
895,2,2,34
896,2,2,63
897,2,1,47
898,2,2,63
900,2,2,39
901,2,2,57
902,2,2,63
903,2,2,52
904,2,2,63
905,2,2,63
906,2,2,32
907,2,2,63
908,2,2,63
909,2,1,61
910,2,2,63
911,2,2,63
912,2,2,63
914,2,2,34
915,2,2,63
916,2,2,63
918,2,2,63
919,2,2,63
920,2,2,36
921,2,2,36
922,2,2,63
924,2,2,63
925,2,2,57
926,2,2,63
927,2,2,63
929,2,2,63
930,2,2,63
931,2,2,63
932,2,2,63
933,2,1,61
934,2,2,63
935,2,2,63
936,2,1,47
937,2,2,63
939,2,1,45
940,2,2,58
942,2,2,63
943,2,2,63
944,2,2,63
945,2,1,47
946,2,1,47
947,2,1,56
948,2,1,47
949,2,1,47
950,2,2,63
951,2,2,36
952,2,2,63
953,2,2,63
954,2,2,44
955,2,2,44
956,2,2,44
957,2,2,63
958,2,1,46
959,2,2,63
960,2,2,63
961,2,2,57
962,2,2,39
963,2,2,63
964,2,2,63
965,2,2,63
966,2,1,47
967,2,2,63
968,2,1,47
970,2,2,63
971,2,2,63
972,2,2,63
973,2,2,63
975,2,2,57
976,2,2,63
977,2,2,63
978,2,2,63
979,2,2,63
980,2,2,34
981,2,2,63
982,2,2,63
984,2,2,39
985,2,2,63
986,2,2,63
987,2,2,63
989,2,2,63
991,2,2,63
992,2,2,63
993,2,2,63
994,2,2,58
995,2,2,63
996,2,2,63
998,2,2,63
999,2,2,63
1000,2,2,63
1001,2,2,63
1002,2,2,63
1003,2,2,63
1004,2,2,39
1005,2,2,39
1006,2,2,63
1007,2,2,63
1008,2,2,63
1009,2,2,63
1010,2,2,63
1011,2,2,63
1012,2,2,63
1013,2,2,63
1014,2,2,63
1015,2,2,63
1016,2,2,63
1017,2,1,47
1018,2,2,63
1019,2,2,63
1020,2,1,45
1021,2,1,62
1022,2,2,63
1023,2,2,63
1024,2,2,39
1025,2,2,63
1026,2,2,63
1027,2,2,60
1028,2,2,63
1029,2,2,63
1030,2,2,36
