,y,prediction,leaf
106,2,2,30
25,1,1,31
78,2,2,13
101,2,2,13
12,1,1,31
57,1,1,31
4,1,1,31
15,1,1,31
31,1,1,31
8,1,1,31
123,2,2,4
97,2,2,13
96,2,2,29
104,2,2,13
36,1,1,31
99,2,2,13
117,2,2,13
131,3,3,5
168,3,3,5
30,1,1,31
17,1,1,31
90,2,2,29
50,1,1,31
91,2,2,30
110,2,2,30
19,1,1,31
45,1,1,31
120,2,2,30
80,2,2,30
77,2,2,30
139,3,3,28
150,3,3,5
49,1,1,31
13,1,1,31
135,3,3,5
53,1,1,31
109,2,2,30
9,1,1,31
61,2,2,13
54,1,1,31
0,1,1,31
71,2,1,31
171,3,3,5
163,3,3,5
44,1,1,31
125,2,2,30
85,2,2,13
70,2,2,13
6,1,1,31
67,2,2,13
153,3,3,5
147,3,3,5
154,3,3,5
5,1,1,31
86,2,2,29
3,1,1,31
141,3,3,5
158,3,3,5
137,3,3,12
75,2,2,29
88,2,2,30
111,2,2,13
157,3,3,5
145,3,3,5
119,2,2,30
172,3,3,5
55,1,1,31
63,2,2,13
69,2,2,30
103,2,2,29
140,3,3,28
47,1,1,31
116,2,2,30
161,3,3,28
174,3,3,5
34,1,1,31
167,3,3,5
151,3,3,5
